Task,TapTime,Milliseconds
ipm ,11:11:09.067,1416
ipm ,11:11:11.434,0
ipm ,11:11:14.050,42
ipm ,11:11:16.316,447
ipm ,11:11:19.500,307
ipm ,11:11:21.716,0
ipm ,11:11:23.683,0
ipm ,11:11:25.666,0
ipm ,11:11:27.833,0
ipm ,11:11:29.832,0
ipm ,11:11:32.099,0
ipm ,11:11:34.465,0
ipm ,11:11:36.631,449
ipm ,11:11:39.614,547
ipm ,11:11:41.948,0
ipm ,11:11:44.515,0
ipm ,11:11:47.398,0
ipm ,11:11:50.197,0
ipm ,11:11:53.247,0
ipm ,11:11:56.497,0
ipm ,11:12:01.096,249
ipm ,11:12:03.546,299
ipm ,11:12:07.313,0
ipm ,11:12:09.428,364
ipm ,11:12:14.011,353
ipm ,11:12:16.895,449
ipm ,11:12:18.512,0
ipm ,11:12:20.428,0
ipm ,11:12:25.044,266
ipm ,11:12:28.527,282
ipm ,11:12:32.827,316
ipm ,11:12:36.193,349
ipm ,11:12:39.360,0
ipm ,11:12:43.110,0
ipm ,11:12:45.126,0
ipm ,11:12:47.876,233
ipm ,11:12:51.108,266
ipm ,11:12:54.608,232
ipm ,11:12:57.458,283
ipm ,11:12:59.075,0
ipm ,11:12:59.207,0
ipm ,11:13:01.091,0
ipm ,11:13:03.225,0
ipm ,11:13:07.907,247
ipm ,11:13:11.173,305
ipm ,11:13:14.690,249
ipm ,11:13:17.190,0
ipm ,11:13:19.523,349
ipm ,11:13:22.289,249
ipm ,11:13:24.956,382
ipm ,11:13:27.489,316
ipm ,11:13:30.438,666
ipm ,11:13:33.438,332
ipm ,11:13:36.788,245
ipm ,11:13:39.655,0
ipm ,11:13:42.155,0
ipm ,11:13:44.204,336
ipm ,11:13:46.321,452
ipm ,11:13:49.603,232
ipm ,11:13:51.754,0
ipm ,11:13:54.387,0
ipm ,11:13:57.169,245
ipm ,11:14:01.052,16
ipm ,11:14:03.819,249
ipm ,11:14:05.453,0
ipm ,11:14:07.836,266
ipm ,11:14:09.819,316
ipm ,11:14:12.319,0
ipm ,11:14:14.301,380
ipm ,11:14:17.169,0
ipm ,11:14:19.318,349
ipm ,11:14:21.568,0
ipm ,11:14:24.268,0
ipm ,11:14:27.617,249
ipm ,11:14:30.167,266
ipm ,11:14:32.551,0
ipm ,11:14:36.500,332
ipm ,11:14:40.882,382
ipm ,11:14:43.982,282
ipm ,11:14:46.715,16
ipm ,11:14:50.782,482
ipm ,11:14:54.015,116
ipm ,11:14:56.098,230
ipm ,11:14:59.482,0
ipm ,11:15:01.431,266
ipm ,11:15:02.231,0
ipm ,11:15:05.697,245
ipm ,11:15:08.530,299
ipm ,11:15:10.463,280
ipm ,11:15:12.764,0
ipm ,11:15:15.014,0
ipm ,11:15:16.947,0
ipm ,11:15:19.897,0
ipm ,11:15:22.629,399
ipm ,11:15:25.979,349
ipm ,11:15:29.978,416
ipm ,11:15:32.795,432
ipm ,11:15:36.195,299
ipm ,11:15:39.361,266
ipm ,11:15:41.944,449
ipm ,11:15:43.395,0
ipm ,11:15:43.410,0
ipm ,11:15:43.660,0
ipm ,11:15:44.744,0
ipm ,11:15:45.994,0
ipm ,11:15:48.543,467
ipm ,11:15:53.077,516
ipm ,11:15:55.110,0
ipm ,11:15:58.076,249
ipm ,11:16:01.326,480
ipm ,11:16:04.459,1382
ipm ,11:16:06.909,0
ipm ,11:16:10.559,0
ipm ,11:16:12.742,0
ipm ,11:16:15.975,256
ipm ,11:16:19.058,275
ipm ,11:16:20.942,0
ipm ,11:16:22.941,0
ipm ,11:16:24.124,0
ipm ,11:16:26.458,0
ipm ,11:16:28.774,262
ipm ,11:16:31.973,460
ipm ,11:16:35.906,326
ipm ,11:16:38.373,282
ipm ,11:16:40.273,0
ipm ,11:16:42.522,99
ipm ,11:16:46.239,0
ipm ,11:16:48.922,280
ipm ,11:16:51.239,0
ipm ,11:16:53.755,266
ipm ,11:16:56.571,324
ipm ,11:16:58.038,0
ipm ,11:17:00.288,301
ipm ,11:17:05.371,549
ipm ,11:17:08.721,0
ipm ,11:17:11.587,232
ipm ,11:17:13.287,0
ipm ,11:17:15.553,232
ipm ,11:17:18.686,433
ipm ,11:17:21.153,0
ipm ,11:17:21.502,0
ipm ,11:17:23.353,0
ipm ,11:17:26.086,0
ipm ,11:17:28.736,0
ipm ,11:17:31.802,0
ipm ,11:17:35.685,235
ipm ,11:17:36.985,0
ipm ,11:17:39.351,263
ipm ,11:17:43.751,368
ipm ,11:17:47.550,273
ipm ,11:17:50.000,283
ipm ,11:17:51.517,0
ipm ,11:17:53.450,0
ipm ,11:17:55.167,0
ipm ,11:17:57.217,0
ipm ,11:17:59.566,130
ipm ,11:18:01.216,0
ipm ,11:18:02.300,0
ipm ,11:18:05.000,0
ipm ,11:18:07.632,262
ipm ,Sex,
ipm ,Test Duration in seconds,421
ipm ,Number of False Positives,74
ipm ,Average response time ,335
ipm ,Fastest response time ,16
ipm ,Slowest response time ,1416
ipm ,Count of response time over 500ms ,6
