Task,TapTime,Milliseconds
sap,10:24:32.957,310
sap,10:24:37.705,293
sap,10:24:42.056,280
sap,10:24:44.639,326
sap,10:24:49.305,258
sap,10:24:52.388,424
sap,10:24:56.305,191
sap,10:24:59.954,16
sap,10:25:02.754,434
sap,10:25:06.087,262
sap,10:25:09.004,0
sap,10:25:14.003,280
sap,10:25:17.503,283
sap,10:25:19.970,371
sap,10:25:21.936,293
sap,10:25:24.819,247
sap,10:25:27.303,0
sap,10:25:30.602,249
sap,10:25:33.985,233
sap,10:25:36.885,266
sap,10:25:39.118,299
sap,10:25:41.484,266
sap,10:25:43.901,0
sap,10:25:46.117,292
sap,10:25:48.084,399
sap,10:25:51.201,0
sap,10:25:54.750,266
sap,10:25:57.266,316
sap,10:26:00.250,266
sap,10:26:03.749,266
sap,10:26:05.866,0
sap,10:26:08.032,349
sap,10:26:12.515,280
sap,10:26:14.965,318
sap,10:26:17.565,283
sap,10:26:21.948,266
sap,10:26:24.264,383
sap,10:26:28.147,266
sap,10:26:31.897,0
sap,10:26:35.897,283
sap,10:26:40.363,283
sap,10:26:43.646,251
sap,10:26:47.996,249
sap,10:26:52.012,314
sap,10:26:55.346,0
sap,10:26:58.395,0
sap,10:27:03.011,266
sap,10:27:06.377,299
sap,10:27:10.711,295
sap,10:27:14.327,316
sap,10:27:18.276,266
sap,10:27:20.343,399
sap,10:27:23.209,333
sap,10:27:26.142,317
sap,10:27:30.759,283
sap,10:27:34.542,266
sap,10:27:37.592,316
sap,10:27:42.091,283
sap,10:27:44.591,316
sap,10:27:47.458,0
sap,10:27:50.224,349
sap,10:27:52.823,349
sap,10:27:57.256,297
sap,10:27:59.573,499
sap,10:28:02.356,816
sap,10:28:04.906,299
sap,10:28:08.505,272
sap,10:28:12.338,266
sap,10:28:15.805,266
sap,10:28:19.488,283
sap,10:28:22.221,349
sap,10:28:26.654,297
sap,10:28:30.871,333
sap,10:28:34.587,449
sap,10:28:37.587,516
sap,10:28:40.186,249
sap,10:28:42.186,116
sap,10:28:44.586,249
sap,10:28:46.536,0
sap,10:28:49.586,0
sap,10:28:52.252,383
sap,10:28:54.818,349
sap,10:28:57.835,233
sap,10:29:00.952,0
sap,10:29:04.134,220
sap,10:29:06.868,333
sap,10:29:11.401,0
sap,10:29:15.050,249
sap,10:29:18.083,349
sap,10:29:20.950,283
sap,10:29:22.717,0
sap,10:29:26.216,283
sap,10:29:29.232,280
sap,10:29:32.132,266
sap,10:29:34.065,374
sap,10:29:37.249,249
sap,10:29:39.865,266
sap,10:29:42.498,264
sap,10:29:45.415,283
sap,10:29:48.664,270
sap,10:29:50.564,0
sap,10:29:53.363,299
sap,10:29:56.230,299
sap,10:29:59.030,257
sap,10:30:01.829,566
sap,10:30:06.529,266
sap,10:30:09.562,299
sap,10:30:11.495,366
sap,10:30:15.445,316
sap,10:30:18.328,266
sap,10:30:22.678,264
sap,10:30:25.294,366
sap,10:30:28.944,0
sap,10:30:31.627,233
sap,10:30:36.010,282
sap,10:30:40.543,310
sap,10:30:43.043,420
sap,10:30:46.643,282
sap,10:30:51.109,353
sap,10:30:54.792,399
sap,10:30:56.808,416
sap,10:31:01.108,283
sap,10:31:05.341,283
sap,10:31:07.807,349
sap,10:31:12.624,233
sap,10:31:15.907,383
sap,10:31:17.923,314
sap,10:31:22.873,483
sap,10:31:27.539,264
sap,10:31:29.972,345
sap,Sex,
sap,Test Duration in seconds,421
sap,Number of False Positives,16
sap,Average response time ,309
sap,Fastest response time ,16
sap,Slowest response time ,816
sap,Count of response time over 500ms ,3
