Task,TapTime,Milliseconds
vtp,10:56:18.406,449
vtp,10:56:20.906,305
vtp,10:56:23.623,0
vtp,10:56:28.322,304
vtp,10:56:32.439,287
vtp,10:56:35.922,266
vtp,10:56:40.104,316
vtp,10:56:43.338,283
vtp,10:56:46.572,0
vtp,10:56:49.487,299
vtp,10:56:53.437,316
vtp,10:56:57.104,0
vtp,10:56:59.636,383
vtp,10:57:02.670,416
vtp,10:57:04.686,433
vtp,10:57:08.719,333
vtp,10:57:12.135,283
vtp,10:57:15.686,0
vtp,10:57:18.151,366
vtp,10:57:22.168,316
vtp,10:57:27.084,299
vtp,10:57:31.584,533
vtp,10:57:34.134,483
vtp,10:57:38.783,368
vtp,10:57:42.383,0
vtp,10:57:44.917,361
vtp,10:57:49.199,349
vtp,10:57:51.066,0
vtp,10:57:53.199,447
vtp,10:57:56.548,388
vtp,10:58:00.365,0
vtp,10:58:02.564,382
vtp,10:58:06.381,399
vtp,10:58:10.547,366
vtp,10:58:13.414,366
vtp,10:58:18.080,614
vtp,10:58:22.163,316
vtp,10:58:25.529,349
vtp,10:58:29.012,261
vtp,10:58:31.379,399
vtp,10:58:33.679,0
vtp,10:58:33.911,0
vtp,10:58:37.962,0
vtp,10:58:42.011,166
vtp,10:58:45.562,383
vtp,10:58:47.128,0
vtp,10:58:47.594,0
vtp,10:58:47.860,0
vtp,10:58:50.010,366
vtp,10:58:51.561,0
vtp,10:58:55.310,332
vtp,10:58:58.010,280
vtp,10:59:01.910,247
vtp,10:59:03.993,416
vtp,10:59:08.026,316
vtp,10:59:12.542,299
vtp,10:59:17.091,316
vtp,10:59:19.908,599
vtp,10:59:23.791,349
vtp,10:59:27.091,395
vtp,10:59:29.541,499
vtp,10:59:32.740,366
vtp,10:59:36.557,316
vtp,10:59:39.690,382
vtp,10:59:43.873,279
vtp,10:59:46.490,496
vtp,10:59:50.906,0
vtp,10:59:53.422,292
vtp,10:59:55.888,575
vtp,10:59:58.905,442
vtp,11:00:01.838,399
vtp,11:00:06.287,364
vtp,11:00:09.321,349
vtp,11:00:12.336,366
vtp,11:00:15.887,316
vtp,11:00:19.370,332
vtp,11:00:24.319,293
vtp,11:00:27.286,382
vtp,11:00:29.802,414
vtp,11:00:32.519,0
vtp,11:00:34.968,332
vtp,11:00:39.518,349
vtp,11:00:43.968,333
vtp,11:00:46.551,495
vtp,11:00:50.217,316
vtp,11:00:52.617,449
vtp,11:00:56.467,313
vtp,11:01:00.666,299
vtp,11:01:04.983,0
vtp,11:01:09.682,316
vtp,11:01:11.999,499
vtp,11:01:13.965,380
vtp,11:01:16.765,399
vtp,11:01:21.081,316
vtp,11:01:23.231,466
vtp,11:01:26.247,482
vtp,11:01:28.831,399
vtp,11:01:31.597,366
vtp,11:01:35.730,299
vtp,11:01:38.013,430
vtp,11:01:41.363,266
vtp,11:01:43.813,293
vtp,11:01:47.712,282
vtp,11:01:51.229,179
vtp,11:01:55.745,316
vtp,11:01:58.811,516
vtp,11:02:01.095,466
vtp,11:02:04.978,0
vtp,11:02:08.677,516
vtp,11:02:11.577,417
vtp,11:02:15.693,332
vtp,11:02:18.060,432
vtp,11:02:20.543,316
vtp,11:02:23.309,349
vtp,11:02:27.076,316
vtp,11:02:29.010,0
vtp,11:02:33.292,332
vtp,11:02:38.275,316
vtp,11:02:42.574,349
vtp,11:02:45.574,416
vtp,11:02:48.574,349
vtp,11:02:51.507,283
vtp,11:02:55.940,240
vtp,11:02:58.407,422
vtp,11:03:01.739,352
vtp,11:03:04.939,182
vtp,11:03:08.472,297
vtp,11:03:12.505,316
vtp,11:03:16.255,315
vtp,11:03:19.988,293
vtp,Sex,
vtp,Test Duration in seconds,423
vtp,Number of False Positives,19
vtp,Average response time ,360
vtp,Fastest response time ,166
vtp,Slowest response time ,614
vtp,Count of response time over 500ms ,6
