Task,TapTime,Milliseconds
JRA,11:10:23.107,316
JRA,11:10:25.640,246
JRA,11:10:29.040,249
JRA,11:10:32.990,260
JRA,11:10:36.323,0
JRA,11:10:39.972,316
JRA,11:10:42.772,293
JRA,11:10:45.322,0
JRA,11:10:50.355,347
JRA,11:10:54.621,272
JRA,11:10:57.720,300
JRA,11:11:00.770,249
JRA,11:11:04.153,264
JRA,11:11:06.836,582
JRA,11:11:11.403,283
JRA,11:11:14.536,283
JRA,11:11:18.952,299
JRA,11:11:21.919,0
JRA,11:11:23.985,247
JRA,11:11:28.101,183
JRA,11:11:31.201,264
JRA,11:11:34.667,283
JRA,11:11:37.900,249
JRA,11:11:41.633,316
JRA,11:11:43.800,416
JRA,11:11:47.999,349
JRA,11:11:51.500,0
JRA,11:11:55.399,349
JRA,11:11:58.699,0
JRA,11:12:01.031,564
JRA,11:12:03.115,533
JRA,11:12:07.248,333
JRA,11:12:11.147,299
JRA,11:12:14.230,316
JRA,11:12:18.763,291
JRA,11:12:21.380,333
JRA,11:12:24.229,316
JRA,11:12:27.863,283
JRA,11:12:30.762,316
JRA,11:12:34.412,299
JRA,11:12:37.595,0
JRA,11:12:41.595,283
JRA,11:12:44.061,323
JRA,11:12:46.411,366
JRA,11:12:48.694,258
JRA,11:12:51.910,266
JRA,11:12:53.844,333
JRA,11:12:58.726,291
JRA,11:13:01.526,416
JRA,11:13:05.443,0
JRA,11:13:10.092,316
JRA,11:13:14.425,316
JRA,11:13:17.008,269
JRA,11:13:19.158,497
JRA,11:13:21.441,333
JRA,11:13:24.041,333
JRA,11:13:26.641,333
JRA,11:13:28.657,283
JRA,11:13:31.674,433
JRA,11:13:34.723,283
JRA,11:13:37.106,367
JRA,11:13:41.473,233
JRA,11:13:43.389,283
JRA,11:13:44.739,0
JRA,11:13:49.188,283
JRA,11:13:52.021,283
JRA,11:13:54.521,283
JRA,11:13:58.721,283
JRA,11:14:00.920,349
JRA,11:14:04.671,0
JRA,11:14:07.503,311
JRA,11:14:12.270,277
JRA,11:14:16.286,382
JRA,11:14:19.336,123
JRA,11:14:22.086,516
JRA,11:14:26.235,266
JRA,11:14:27.502,0
JRA,11:14:31.868,299
JRA,11:14:36.567,266
JRA,11:14:39.317,429
JRA,11:14:42.867,299
JRA,11:14:45.100,399
JRA,11:14:47.750,316
JRA,11:14:51.483,0
JRA,11:14:53.816,316
JRA,11:14:58.082,249
JRA,11:15:02.715,283
JRA,11:15:05.198,280
JRA,11:15:09.248,253
JRA,11:15:11.164,319
JRA,11:15:13.514,319
JRA,11:15:14.864,0
JRA,11:15:14.997,0
JRA,11:15:16.214,0
JRA,11:15:16.497,0
JRA,11:15:18.364,0
JRA,11:15:18.413,0
JRA,11:15:22.963,333
JRA,11:15:27.430,333
JRA,11:15:31.496,266
JRA,11:15:34.279,316
JRA,11:15:36.628,266
JRA,11:15:38.512,283
JRA,11:15:41.278,249
JRA,11:15:43.395,280
JRA,11:15:46.478,249
JRA,11:15:47.778,0
JRA,11:15:50.725,298
JRA,11:15:53.572,348
JRA,11:15:55.953,265
JRA,11:16:00.268,281
JRA,11:16:02.849,264
JRA,11:16:05.765,0
JRA,11:16:08.996,273
JRA,11:16:11.179,292
JRA,11:16:16.044,299
JRA,11:16:18.060,358
JRA,11:16:20.609,308
JRA,11:16:24.559,283
JRA,11:16:27.892,328
JRA,11:16:29.957,411
JRA,11:16:32.974,294
JRA,11:16:35.490,283
JRA,11:16:40.323,316
JRA,11:16:45.255,287
JRA,11:16:49.572,287
JRA,11:16:51.471,266
JRA,11:16:53.421,308
JRA,11:16:57.987,282
JRA,11:17:00.070,298
JRA,11:17:01.787,0
JRA,11:17:04.337,314
JRA,11:17:07.670,333
JRA,11:17:12.236,299
JRA,11:17:16.302,272
JRA,11:17:20.485,283
JRA,Sex,
JRA,Test Duration in seconds,420
JRA,Number of False Positives,20
JRA,Average response time ,310
JRA,Fastest response time ,123
JRA,Slowest response time ,582
JRA,Count of response time over 500ms ,4
