Task,TapTime,Milliseconds
emo,09:36:29.155,959
emo,09:36:33.022,299
emo,09:36:35.455,266
emo,09:36:38.254,199
emo,09:36:40.972,0
emo,09:36:42.305,0
emo,09:36:46.837,316
emo,09:36:49.104,316
emo,09:36:51.404,283
emo,09:36:54.937,283
emo,09:36:57.370,297
emo,09:37:00.053,0
emo,09:37:02.503,383
emo,09:37:05.952,299
emo,09:37:07.886,299
emo,09:37:09.219,0
emo,09:37:13.418,299
emo,09:37:16.152,299
emo,09:37:19.568,316
emo,09:37:21.152,0
emo,09:37:25.734,349
emo,09:37:28.133,524
emo,09:37:28.951,0
emo,09:37:31.584,399
emo,09:37:33.784,399
emo,09:37:36.300,316
emo,09:37:39.684,0
emo,09:37:41.168,0
emo,09:37:43.117,332
emo,09:37:46.017,0
emo,09:37:48.133,0
emo,09:37:50.616,0
emo,09:37:55.182,266
emo,09:37:58.116,0
emo,09:38:03.015,299
emo,09:38:07.915,399
emo,09:38:10.332,0
emo,09:38:13.948,336
emo,09:38:16.464,416
emo,09:38:20.414,280
emo,09:38:24.547,299
emo,09:38:28.597,35
emo,09:38:32.030,316
emo,09:38:34.680,299
emo,09:38:39.596,313
emo,09:38:44.612,329
emo,09:38:47.312,333
emo,09:38:49.195,283
emo,09:38:50.612,0
emo,09:38:51.995,0
emo,09:38:56.611,299
emo,09:39:00.378,333
emo,09:39:02.461,483
emo,09:39:05.961,316
emo,09:39:08.844,266
emo,09:39:12.543,299
emo,09:39:15.310,399
emo,09:39:18.610,299
emo,09:39:22.609,366
emo,09:39:25.726,0
emo,09:39:30.092,316
emo,09:39:33.959,649
emo,09:39:35.875,316
emo,09:39:37.325,0
emo,09:39:40.575,266
emo,09:39:44.791,282
emo,09:39:46.991,0
emo,09:39:48.391,0
emo,09:39:50.274,299
emo,09:39:54.874,299
emo,09:39:58.323,483
emo,09:40:02.773,133
emo,09:40:03.090,0
emo,09:40:05.207,424
emo,09:40:09.306,291
emo,09:40:13.123,283
emo,09:40:17.589,322
emo,09:40:21.089,0
emo,09:40:24.605,0
emo,09:40:26.689,0
emo,09:40:27.922,0
emo,09:40:30.188,349
emo,09:40:32.555,0
emo,09:40:32.954,0
emo,09:40:33.204,0
emo,09:40:36.171,266
emo,09:40:40.004,366
emo,09:40:43.187,549
emo,09:40:46.237,466
emo,09:40:49.270,366
emo,09:40:51.436,333
emo,09:40:55.853,283
emo,09:40:58.036,466
emo,09:41:00.286,249
emo,09:41:02.669,0
emo,09:41:06.052,0
emo,09:41:08.386,0
emo,09:41:12.502,0
emo,09:41:12.768,0
emo,09:41:14.918,530
emo,09:41:16.716,0
emo,09:41:17.267,0
emo,09:41:18.835,0
emo,09:41:22.251,1082
emo,09:41:22.518,0
emo,09:41:22.784,0
emo,09:41:23.017,0
emo,09:41:23.200,0
emo,09:41:25.301,0
emo,09:41:25.517,0
emo,09:41:25.883,0
emo,09:41:26.116,0
emo,09:41:26.334,0
emo,09:41:26.567,0
emo,09:41:26.817,0
emo,09:41:27.351,0
emo,09:41:27.567,0
emo,09:41:27.801,0
emo,09:41:28.250,0
emo,09:41:28.484,0
emo,09:41:28.684,0
emo,09:41:29.150,0
emo,09:41:32.167,300
emo,09:41:35.567,466
emo,09:41:39.349,316
emo,09:41:41.699,399
emo,09:41:45.249,314
emo,09:41:48.616,316
emo,09:41:51.382,483
emo,09:41:54.799,433
emo,09:41:58.298,333
emo,09:41:59.382,0
emo,09:42:02.964,399
emo,09:42:08.031,533
emo,09:42:08.898,0
emo,09:42:11.614,916
emo,09:42:14.730,366
emo,09:42:17.364,496
emo,09:42:21.595,433
emo,09:42:25.413,316
emo,09:42:30.211,383
emo,09:42:31.613,0
emo,09:42:34.094,399
emo,09:42:37.243,377
emo,09:42:39.429,333
emo,09:42:43.662,366
emo,09:42:47.894,266
emo,09:42:50.511,483
emo,09:42:55.427,333
emo,09:42:58.877,449
emo,09:43:02.043,349
emo,09:43:05.893,333
emo,09:43:10.460,166
emo,09:43:12.759,599
emo,09:43:15.026,399
emo,09:43:19.776,349
emo,09:43:22.342,383
emo,09:43:26.342,0
emo,09:43:29.091,0
emo,Sex,
emo,Test Duration in seconds,421
emo,Number of False Positives,58
emo,Average response time ,367
emo,Fastest response time ,35
emo,Slowest response time ,1082
emo,Count of response time over 500ms ,9
