Task,TapTime,Milliseconds
GLP,09:18:58.597,399
GLP,09:19:01.181,0
GLP,09:19:03.864,0
GLP,09:19:06.296,299
GLP,09:19:10.380,0
GLP,09:19:14.413,0
GLP,09:19:17.096,366
GLP,09:19:20.545,283
GLP,09:19:23.062,0
GLP,09:19:25.295,299
GLP,09:19:27.511,449
GLP,09:19:28.545,0
GLP,09:19:31.029,0
GLP,09:19:32.362,0
GLP,09:19:36.011,283
GLP,09:19:38.745,0
GLP,09:19:40.995,0
GLP,09:19:43.711,0
GLP,09:19:48.643,316
GLP,09:19:53.110,316
GLP,09:19:55.493,433
GLP,09:19:58.176,316
GLP,09:20:01.792,266
GLP,09:20:03.726,333
GLP,09:20:05.043,0
GLP,09:20:07.509,249
GLP,09:20:12.125,273
GLP,09:20:15.475,216
GLP,09:20:18.058,266
GLP,09:20:18.875,0
GLP,09:20:18.974,0
GLP,09:20:22.524,266
GLP,09:20:24.175,0
GLP,09:20:28.007,331
GLP,09:20:32.107,255
GLP,09:20:33.141,0
GLP,09:20:34.173,0
GLP,09:20:36.657,133
GLP,09:20:36.807,0
GLP,09:20:37.590,0
GLP,09:20:38.407,0
GLP,09:20:42.606,282
GLP,09:20:43.923,0
GLP,09:20:48.639,316
GLP,09:20:49.539,0
GLP,09:20:49.972,0
GLP,09:20:52.922,332
GLP,09:20:56.655,332
GLP,09:20:57.139,0
GLP,09:21:00.588,266
GLP,09:21:03.855,0
GLP,09:21:04.404,0
GLP,09:21:06.588,0
GLP,09:21:09.304,249
GLP,09:21:12.588,0
GLP,09:21:15.304,316
GLP,09:21:18.170,297
GLP,09:21:20.871,0
GLP,09:21:24.236,182
GLP,09:21:27.370,316
GLP,09:21:29.653,380
GLP,09:21:32.954,0
GLP,09:21:35.437,0
GLP,09:21:38.070,0
GLP,09:21:42.520,266
GLP,09:21:44.985,780
GLP,09:21:47.085,299
GLP,09:21:49.351,347
GLP,09:21:51.185,199
GLP,09:21:53.633,316
GLP,09:21:58.601,299
GLP,09:22:01.251,0
GLP,09:22:05.600,282
GLP,09:22:06.767,0
GLP,09:22:10.483,366
GLP,09:22:13.317,0
GLP,09:22:16.266,331
GLP,09:22:18.916,266
GLP,09:22:21.483,899
GLP,09:22:21.666,0
GLP,09:22:25.732,149
GLP,09:22:27.999,349
GLP,09:22:29.782,0
GLP,09:22:31.466,0
GLP,09:22:33.982,0
GLP,09:22:36.415,0
GLP,09:22:39.265,0
GLP,09:22:41.465,0
GLP,09:22:45.114,332
GLP,09:22:47.015,0
GLP,09:22:51.414,1097
GLP,09:22:55.730,282
GLP,09:22:57.447,0
GLP,09:23:00.080,0
GLP,09:23:00.513,0
GLP,09:23:00.562,0
GLP,09:23:01.697,0
GLP,09:23:04.613,0
GLP,09:23:08.379,332
GLP,09:23:11.095,316
GLP,09:23:13.429,0
GLP,09:23:17.545,299
GLP,09:23:19.595,483
GLP,09:23:21.678,299
GLP,09:23:25.028,0
GLP,09:23:27.995,283
GLP,09:23:30.895,0
GLP,09:23:31.027,0
GLP,09:23:34.410,366
GLP,09:23:37.044,333
GLP,09:23:41.460,349
GLP,09:23:43.876,299
GLP,09:23:45.260,0
GLP,09:23:48.860,283
GLP,09:23:51.626,95
GLP,09:23:51.776,0
GLP,09:23:53.326,0
GLP,09:23:57.342,299
GLP,09:24:00.809,299
GLP,09:24:02.859,0
GLP,09:24:06.525,216
GLP,09:24:09.841,66
GLP,09:24:13.442,0
GLP,09:24:14.875,0
GLP,09:24:17.474,299
GLP,09:24:20.491,316
GLP,09:24:23.041,0
GLP,09:24:25.207,233
GLP,09:24:27.990,83
GLP,09:24:30.673,299
GLP,09:24:33.290,0
GLP,09:24:35.940,0
GLP,09:24:38.557,0
GLP,09:24:43.506,266
GLP,09:24:46.539,299
GLP,09:24:48.838,266
GLP,09:24:52.155,300
GLP,09:24:55.005,0
GLP,09:24:58.588,283
GLP,09:25:00.704,266
GLP,09:25:04.121,264
GLP,09:25:06.770,266
GLP,09:25:09.554,281
GLP,09:25:11.554,183
GLP,09:25:13.287,0
GLP,09:25:16.054,549
GLP,09:25:17.204,0
GLP,09:25:20.470,299
GLP,09:25:22.137,0
GLP,09:25:26.086,316
GLP,09:25:28.702,266
GLP,09:25:31.919,283
GLP,09:25:34.619,0
GLP,09:25:38.435,266
GLP,09:25:40.719,0
GLP,09:25:42.835,399
GLP,09:25:45.052,0
GLP,09:25:47.768,333
GLP,09:25:50.301,266
GLP,09:25:53.634,332
GLP,09:25:55.650,349
GLP,09:25:58.200,299
GLP,Sex,
GLP,Test Duration in seconds,421
GLP,Number of False Positives,70
GLP,Average response time ,314
GLP,Fastest response time ,66
GLP,Slowest response time ,1097
GLP,Count of response time over 500ms ,4
