Task,TapTime,Milliseconds
ACB,10:39:49.789,0
ACB,10:39:53.338,266
ACB,10:39:58.104,233
ACB,10:40:01.087,283
ACB,10:40:04.671,0
ACB,10:40:04.920,0
ACB,10:40:07.203,296
ACB,10:40:10.087,0
ACB,10:40:13.120,49
ACB,10:40:15.419,274
ACB,10:40:19.669,507
ACB,10:40:23.485,216
ACB,10:40:26.252,249
ACB,10:40:29.618,216
ACB,10:40:31.119,0
ACB,10:40:33.785,0
ACB,10:40:33.968,0
ACB,10:40:37.034,235
ACB,10:40:40.184,285
ACB,10:40:44.251,249
ACB,10:40:47.551,0
ACB,10:40:49.917,183
ACB,10:40:52.450,279
ACB,10:40:54.833,79
ACB,10:40:58.300,0
ACB,10:41:00.766,0
ACB,10:41:02.716,0
ACB,10:41:05.116,0
ACB,10:41:07.465,93
ACB,10:41:09.166,0
ACB,10:41:11.965,260
ACB,10:41:14.348,254
ACB,10:41:17.165,0
ACB,10:41:19.047,230
ACB,10:41:21.747,260
ACB,10:41:24.830,166
ACB,10:41:25.847,0
ACB,10:41:26.997,0
ACB,10:41:28.297,0
ACB,10:41:29.397,0
ACB,10:41:30.697,0
ACB,10:41:30.963,0
ACB,10:41:32.747,0
ACB,10:41:35.064,0
ACB,10:41:38.097,0
ACB,10:41:38.312,0
ACB,10:41:40.646,0
ACB,10:41:40.729,0
ACB,10:41:43.062,133
ACB,10:41:46.379,249
ACB,10:41:47.846,0
ACB,10:41:49.862,0
ACB,10:41:51.212,0
ACB,10:41:51.444,0
ACB,10:41:52.395,0
ACB,10:41:52.512,0
ACB,10:41:52.611,0
ACB,10:41:53.411,0
ACB,10:41:53.578,0
ACB,10:41:54.112,0
ACB,10:41:56.461,199
ACB,10:41:57.461,0
ACB,10:41:59.043,0
ACB,10:42:01.044,294
ACB,10:42:05.077,264
ACB,10:42:07.327,243
ACB,10:42:10.910,226
ACB,10:42:13.960,343
ACB,10:42:16.643,0
ACB,10:42:18.643,0
ACB,10:42:21.276,0
ACB,10:42:23.609,45
ACB,10:42:26.459,0
ACB,10:42:28.942,445
ACB,10:42:33.775,273
ACB,10:42:36.675,283
ACB,10:42:38.875,216
ACB,10:42:41.341,0
ACB,10:42:44.208,0
ACB,10:42:46.257,266
ACB,10:42:49.691,0
ACB,10:42:49.940,0
ACB,10:42:52.290,233
ACB,10:42:55.506,249
ACB,10:42:58.123,0
ACB,10:43:00.590,0
ACB,10:43:03.656,0
ACB,10:43:05.856,0
ACB,10:43:08.606,0
ACB,10:43:08.788,0
ACB,10:43:11.138,149
ACB,10:43:12.989,199
ACB,10:43:14.839,0
ACB,10:43:15.038,0
ACB,10:43:18.238,295
ACB,10:43:21.588,261
ACB,10:43:25.937,261
ACB,10:43:30.070,1083
ACB,10:43:32.403,349
ACB,10:43:35.370,183
ACB,10:43:37.270,283
ACB,10:43:40.353,233
ACB,10:43:42.953,233
ACB,10:43:44.886,233
ACB,10:43:46.470,0
ACB,10:43:47.903,0
ACB,10:43:49.569,0
ACB,10:43:51.036,0
ACB,10:43:53.419,0
ACB,10:43:56.069,0
ACB,10:44:00.635,249
ACB,10:44:05.334,242
ACB,10:44:08.917,332
ACB,10:44:13.251,266
ACB,10:44:17.116,316
ACB,10:44:20.500,345
ACB,10:44:24.199,272
ACB,10:44:28.866,264
ACB,10:44:32.915,266
ACB,10:44:34.898,332
ACB,10:44:39.332,361
ACB,10:44:41.798,283
ACB,10:44:44.231,227
ACB,10:44:48.131,253
ACB,10:44:51.781,0
ACB,10:44:56.347,279
ACB,10:44:59.063,452
ACB,10:45:03.863,349
ACB,10:45:06.329,416
ACB,10:45:10.929,283
ACB,10:45:15.495,249
ACB,10:45:18.412,433
ACB,10:45:21.295,316
ACB,10:45:25.078,299
ACB,10:45:28.011,272
ACB,10:45:31.311,333
ACB,10:45:34.860,249
ACB,10:45:39.894,333
ACB,10:45:42.943,414
ACB,10:45:45.273,533
ACB,10:45:49.190,308
ACB,10:45:53.539,261
ACB,10:45:58.089,493
ACB,10:46:00.338,593
ACB,10:46:03.821,345
ACB,10:46:07.021,273
ACB,10:46:10.671,262
ACB,10:46:13.587,312
ACB,10:46:17.870,349
ACB,10:46:20.720,331
ACB,10:46:25.119,333
ACB,10:46:28.736,283
ACB,10:46:31.136,561
ACB,10:46:34.519,266
ACB,10:46:38.201,252
ACB,10:46:41.402,0
ACB,10:46:45.451,301
ACB,10:46:48.550,267
ACB,Sex,
ACB,Test Duration in seconds,421
ACB,Number of False Positives,62
ACB,Average response time ,290
ACB,Fastest response time ,45
ACB,Slowest response time ,1083
ACB,Count of response time over 500ms ,5
