Task,TapTime,Milliseconds
ALB,10:07:43.375,266
ALB,10:07:46.758,249
ALB,10:07:49.359,0
ALB,10:07:53.391,282
ALB,10:07:56.325,0
ALB,10:08:00.558,0
ALB,10:08:02.707,340
ALB,10:08:07.640,247
ALB,10:08:09.690,383
ALB,10:08:11.873,233
ALB,10:08:13.939,280
ALB,10:08:16.823,219
ALB,10:08:20.339,99
ALB,10:08:23.389,349
ALB,10:08:25.373,0
ALB,10:08:26.906,0
ALB,10:08:31.088,316
ALB,10:08:34.371,227
ALB,10:08:37.754,49
ALB,10:08:40.521,283
ALB,10:08:44.571,266
ALB,10:08:48.320,216
ALB,10:08:52.853,216
ALB,10:08:53.670,0
ALB,10:08:55.620,0
ALB,10:08:58.187,0
ALB,10:09:00.537,0
ALB,10:09:02.536,366
ALB,10:09:04.686,316
ALB,10:09:08.952,249
ALB,10:09:12.702,266
ALB,10:09:15.252,348
ALB,10:09:19.301,264
ALB,10:09:22.518,0
ALB,10:09:25.967,199
ALB,10:09:30.617,249
ALB,10:09:32.817,583
ALB,10:09:37.866,347
ALB,10:09:41.299,458
ALB,10:09:45.882,230
ALB,10:09:49.465,32
ALB,10:09:49.582,0
ALB,10:09:53.515,397
ALB,10:09:58.531,499
ALB,10:10:02.698,266
ALB,10:10:05.915,0
ALB,10:10:08.214,383
ALB,10:10:11.231,332
ALB,10:10:13.947,316
ALB,10:10:16.897,266
ALB,10:10:21.230,266
ALB,10:10:24.396,366
ALB,10:10:26.646,0
ALB,10:10:30.113,0
ALB,10:10:32.612,0
ALB,10:10:34.962,466
ALB,10:10:38.062,433
ALB,10:10:41.378,283
ALB,10:10:45.411,288
ALB,10:10:48.561,266
ALB,10:10:51.510,216
ALB,10:10:55.460,233
ALB,10:10:57.910,349
ALB,10:11:00.510,216
ALB,10:11:05.043,283
ALB,10:11:07.943,316
ALB,10:11:12.675,249
ALB,10:11:16.459,233
ALB,10:11:20.558,266
ALB,10:11:22.858,433
ALB,10:11:25.508,0
ALB,10:11:29.408,249
ALB,10:11:31.091,66
ALB,10:11:33.557,300
ALB,10:11:37.774,283
ALB,10:11:40.423,416
ALB,10:11:43.556,266
ALB,10:11:45.956,266
ALB,10:11:50.272,249
ALB,10:11:54.257,0
ALB,10:11:56.455,299
ALB,10:12:00.472,249
ALB,10:12:03.439,0
ALB,10:12:06.738,249
ALB,10:12:09.655,696
ALB,10:12:11.671,449
ALB,10:12:15.020,133
ALB,10:12:17.587,299
ALB,10:12:20.170,416
ALB,10:12:24.787,233
ALB,10:12:28.269,249
ALB,10:12:30.902,411
ALB,10:12:34.603,0
ALB,10:12:38.219,333
ALB,10:12:42.236,0
ALB,10:12:45.285,266
ALB,10:12:49.251,233
ALB,10:12:51.851,275
ALB,10:12:52.851,0
ALB,10:12:54.767,283
ALB,10:12:58.901,283
ALB,10:13:01.617,266
ALB,10:13:04.667,249
ALB,10:13:07.400,249
ALB,10:13:09.650,299
ALB,10:13:12.566,280
ALB,10:13:14.782,414
ALB,10:13:18.049,0
ALB,10:13:18.132,0
ALB,10:13:20.282,333
ALB,10:13:23.115,499
ALB,10:13:27.031,222
ALB,10:13:31.214,266
ALB,10:13:35.448,233
ALB,10:13:39.680,199
ALB,10:13:42.347,66
ALB,10:13:42.514,0
ALB,10:13:43.464,0
ALB,10:13:45.713,366
ALB,10:13:46.514,0
ALB,10:13:49.697,0
ALB,10:13:52.729,249
ALB,10:13:55.763,0
ALB,10:13:58.213,333
ALB,10:14:01.246,233
ALB,10:14:05.545,266
ALB,10:14:08.162,259
ALB,10:14:12.045,235
ALB,10:14:16.244,233
ALB,10:14:20.311,233
ALB,10:14:23.994,0
ALB,10:14:26.193,316
ALB,10:14:28.960,283
ALB,10:14:31.060,0
ALB,10:14:35.543,266
ALB,10:14:38.793,0
ALB,10:14:40.426,0
ALB,10:14:40.625,0
ALB,10:14:40.808,0
ALB,10:14:40.958,0
ALB,10:14:41.142,0
ALB,Sex,
ALB,Test Duration in seconds,420
ALB,Number of False Positives,36
ALB,Average response time ,289
ALB,Fastest response time ,32
ALB,Slowest response time ,696
ALB,Count of response time over 500ms ,2
