Task,TapTime,Milliseconds
claudia,10:21:22.545,0
claudia,10:21:24.894,766
claudia,10:21:29.743,314
claudia,10:21:32.142,365
claudia,10:21:34.593,291
claudia,10:21:36.876,257
claudia,10:21:38.276,0
claudia,10:21:41.226,257
claudia,10:21:43.126,0
claudia,10:21:44.643,0
claudia,10:21:46.608,306
claudia,10:21:49.258,23
claudia,10:21:53.691,456
claudia,10:21:55.458,0
claudia,10:21:56.791,0
claudia,10:21:58.125,0
claudia,10:21:59.675,0
claudia,10:22:02.541,0
claudia,10:22:07.141,362
claudia,10:22:11.890,349
claudia,10:22:14.706,499
claudia,10:22:17.856,316
claudia,10:22:22.606,399
claudia,10:22:26.772,299
claudia,10:22:29.288,416
claudia,10:22:32.138,439
claudia,10:22:35.054,449
claudia,10:22:38.188,249
claudia,10:22:41.071,0
claudia,10:22:45.320,364
claudia,10:22:50.120,375
claudia,10:22:55.070,333
claudia,10:22:57.819,930
claudia,10:23:01.185,500
claudia,10:23:01.669,0
claudia,10:23:06.502,433
claudia,10:23:10.318,308
claudia,10:23:12.451,426
claudia,10:23:15.451,383
claudia,10:23:20.018,255
claudia,10:23:21.601,0
claudia,10:23:25.784,316
claudia,10:23:28.050,449
claudia,10:23:32.866,380
claudia,10:23:33.767,0
claudia,10:23:36.266,399
claudia,10:23:40.099,366
claudia,10:23:44.499,299
claudia,10:23:47.665,280
claudia,10:23:51.099,0
claudia,10:23:52.998,0
claudia,10:23:56.381,284
claudia,10:23:59.697,366
claudia,10:24:02.397,399
claudia,10:24:07.147,368
claudia,10:24:09.780,497
claudia,10:24:14.696,331
claudia,10:24:17.463,533
claudia,10:24:21.079,349
claudia,10:24:25.812,316
claudia,10:24:29.928,332
claudia,10:24:32.745,382
claudia,10:24:36.744,349
claudia,10:24:38.961,366
claudia,10:24:41.961,566
claudia,10:24:44.510,449
claudia,10:24:46.577,0
claudia,10:24:46.943,0
claudia,10:24:48.027,0
claudia,10:24:50.010,283
claudia,10:24:53.910,383
claudia,10:24:57.509,383
claudia,10:25:00.159,366
claudia,10:25:02.176,397
claudia,10:25:06.608,321
claudia,10:25:08.942,587
claudia,10:25:12.191,413
claudia,10:25:14.691,414
claudia,10:25:17.907,449
claudia,10:25:20.107,564
claudia,10:25:24.574,217
claudia,10:25:27.123,466
claudia,10:25:30.690,0
claudia,10:25:32.090,0
claudia,10:25:33.457,0
claudia,10:25:35.040,0
claudia,10:25:37.273,0
claudia,10:25:40.506,316
claudia,10:25:43.556,833
claudia,10:25:47.538,349
claudia,10:25:50.555,299
claudia,10:25:54.605,283
claudia,10:25:58.804,283
claudia,10:26:02.087,308
claudia,10:26:05.703,401
claudia,10:26:08.203,416
claudia,10:26:11.187,0
claudia,10:26:15.552,366
claudia,10:26:18.853,333
claudia,10:26:23.519,533
claudia,10:26:25.669,416
claudia,10:26:29.602,387
claudia,10:26:34.368,369
claudia,10:26:37.384,312
claudia,10:26:41.084,278
claudia,10:26:45.734,330
claudia,10:26:49.084,433
claudia,10:26:52.216,299
claudia,10:26:55.250,1373
claudia,10:26:58.382,372
claudia,10:27:01.266,283
claudia,10:27:05.215,187
claudia,10:27:08.266,0
claudia,10:27:12.115,336
claudia,10:27:15.131,1130
claudia,10:27:19.581,533
claudia,10:27:22.464,349
claudia,10:27:25.548,0
claudia,10:27:28.497,0
claudia,10:27:32.896,183
claudia,10:27:37.813,433
claudia,10:27:42.662,264
claudia,10:27:47.662,348
claudia,10:27:51.411,71
claudia,10:27:54.112,0
claudia,10:27:58.728,557
claudia,10:28:02.211,366
claudia,10:28:06.010,366
claudia,10:28:10.060,378
claudia,10:28:14.259,256
claudia,10:28:16.359,464
claudia,10:28:20.293,266
claudia,10:28:22.542,440
claudia,Sex,mujer
claudia,Age,12
claudia,Test Duration in seconds,420
claudia,Number of False Positives,28
claudia,Average response time ,392
claudia,Fastest response time ,23
claudia,Slowest response time ,1373
claudia,Count of response time over 500ms ,13
