Task,TapTime,Milliseconds
FST,10:55:12.355,283
FST,10:55:14.372,233
FST,10:55:16.755,0
FST,10:55:20.671,266
FST,10:55:23.270,333
FST,10:55:25.187,316
FST,10:55:26.954,0
FST,10:55:30.120,249
FST,10:55:32.153,283
FST,10:55:34.470,266
FST,10:55:37.853,0
FST,10:55:42.202,266
FST,10:55:44.152,387
FST,10:55:47.019,274
FST,10:55:49.451,249
FST,10:55:51.652,316
FST,10:55:55.951,416
FST,10:56:00.167,99
FST,10:56:00.434,0
FST,10:56:03.434,366
FST,10:56:05.450,383
FST,10:56:07.750,0
FST,10:56:08.133,0
FST,10:56:12.783,249
FST,10:56:15.882,330
FST,10:56:18.283,0
FST,10:56:21.732,266
FST,10:56:23.948,349
FST,10:56:24.932,0
FST,10:56:28.698,233
FST,10:56:30.748,349
FST,10:56:33.764,233
FST,10:56:36.531,266
FST,10:56:40.147,216
FST,10:56:43.030,267
FST,10:56:46.713,350
FST,10:56:49.663,333
FST,10:56:52.946,283
FST,10:56:54.213,0
FST,10:56:58.545,283
FST,10:57:00.612,416
FST,10:57:05.045,249
FST,10:57:07.461,399
FST,10:57:10.578,0
FST,10:57:14.161,267
FST,10:57:17.960,566
FST,10:57:21.477,283
FST,10:57:24.676,283
FST,10:57:29.259,266
FST,10:57:32.142,283
FST,10:57:33.476,0
FST,10:57:35.543,349
FST,10:57:37.575,347
FST,10:57:39.642,0
FST,10:57:40.008,0
FST,10:57:43.542,283
FST,10:57:46.675,0
FST,10:57:51.157,299
FST,10:57:55.940,283
FST,10:58:00.623,230
FST,10:58:04.706,316
FST,10:58:05.571,0
FST,10:58:07.989,266
FST,10:58:11.972,229
FST,10:58:13.855,114
FST,10:58:17.089,0
FST,10:58:20.904,49
FST,10:58:24.404,349
FST,10:58:27.437,354
FST,10:58:29.770,697
FST,10:58:33.353,257
FST,10:58:35.736,283
FST,10:58:36.403,0
FST,10:58:36.920,0
FST,10:58:39.286,280
FST,10:58:42.819,214
FST,10:58:47.119,513
FST,10:58:50.519,0
FST,10:58:54.501,249
FST,10:58:59.134,416
FST,10:59:01.317,399
FST,10:59:05.534,283
FST,10:59:09.050,266
FST,10:59:11.383,333
FST,10:59:13.500,383
FST,10:59:17.349,299
FST,10:59:19.533,283
FST,10:59:21.432,316
FST,10:59:23.549,566
FST,10:59:25.549,0
FST,10:59:28.798,283
FST,10:59:31.631,297
FST,10:59:33.465,0
FST,10:59:33.931,0
FST,10:59:37.215,0
FST,10:59:40.780,329
FST,10:59:45.447,266
FST,10:59:47.147,0
FST,10:59:50.796,283
FST,10:59:52.846,466
FST,10:59:55.279,299
FST,10:59:58.479,280
FST,11:00:01.996,0
FST,11:00:05.179,0
FST,11:00:08.978,237
FST,11:00:13.744,299
FST,11:00:16.294,382
FST,11:00:20.677,299
FST,11:00:22.777,399
FST,11:00:26.527,0
FST,11:00:26.576,0
FST,11:00:26.859,0
FST,11:00:29.609,675
FST,11:00:33.459,216
FST,11:00:35.942,366
FST,11:00:39.226,516
FST,11:00:42.025,283
FST,11:00:42.375,0
FST,11:00:44.758,295
FST,11:00:47.658,259
FST,11:00:51.608,233
FST,11:00:53.708,399
FST,11:00:56.741,233
FST,11:01:00.208,0
FST,11:01:00.424,0
FST,11:01:02.674,0
FST,11:01:07.040,297
FST,11:01:07.957,0
FST,11:01:11.707,314
FST,11:01:12.624,0
FST,11:01:16.490,316
FST,11:01:17.023,0
FST,11:01:19.690,383
FST,11:01:22.439,399
FST,11:01:26.122,283
FST,11:01:30.121,283
FST,11:01:33.455,216
FST,11:01:37.504,266
FST,11:01:38.622,0
FST,11:01:42.205,0
FST,11:01:45.570,266
FST,11:01:49.137,244
FST,11:01:51.820,249
FST,11:01:53.920,283
FST,11:01:57.569,266
FST,11:01:58.170,0
FST,11:02:02.352,249
FST,11:02:04.819,316
FST,11:02:07.752,249
FST,11:02:10.618,316
FST,11:02:12.918,281
FST,Sex,
FST,Test Duration in seconds,421
FST,Number of False Positives,39
FST,Average response time ,308
FST,Fastest response time ,49
FST,Slowest response time ,697
FST,Count of response time over 500ms ,6
