Task,TapTime,Milliseconds
2025-03-05 10:13:57,10:14:01.352,272
2025-03-05 10:13:57,10:14:03.252,302
2025-03-05 10:13:57,10:14:05.635,218
2025-03-05 10:13:57,10:14:08.369,0
2025-03-05 10:13:57,10:14:09.335,0
2025-03-05 10:13:57,10:14:13.118,316
2025-03-05 10:13:57,10:14:15.834,485
2025-03-05 10:13:57,10:14:20.634,351
2025-03-05 10:13:57,10:14:24.534,266
2025-03-05 10:13:57,10:14:28.251,0
2025-03-05 10:13:57,10:14:29.283,0
2025-03-05 10:13:57,10:14:33.533,257
2025-03-05 10:13:57,10:14:36.500,284
2025-03-05 10:13:57,10:14:40.749,281
2025-03-05 10:13:57,10:14:45.249,249
2025-03-05 10:13:57,10:14:47.549,283
2025-03-05 10:13:57,10:14:50.999,0
2025-03-05 10:13:57,10:14:51.748,0
2025-03-05 10:13:57,10:14:53.782,307
2025-03-05 10:13:57,10:14:57.698,296
2025-03-05 10:13:57,10:15:01.131,316
2025-03-05 10:13:57,10:15:03.831,299
2025-03-05 10:13:57,10:15:07.496,299
2025-03-05 10:13:57,10:15:11.080,333
2025-03-05 10:13:57,10:15:15.031,269
2025-03-05 10:13:57,10:15:19.580,183
2025-03-05 10:13:57,10:15:21.563,366
2025-03-05 10:13:57,10:15:24.346,274
2025-03-05 10:13:57,10:15:26.013,0
2025-03-05 10:13:57,10:15:26.079,0
2025-03-05 10:13:57,10:15:30.679,281
2025-03-05 10:13:57,10:15:34.212,273
2025-03-05 10:13:57,10:15:36.229,299
2025-03-05 10:13:57,10:15:39.013,0
2025-03-05 10:13:57,10:15:39.595,0
2025-03-05 10:13:57,10:15:44.079,0
2025-03-05 10:13:57,10:15:45.978,42
2025-03-05 10:13:57,10:15:48.211,475
2025-03-05 10:13:57,10:15:51.978,308
2025-03-05 10:13:57,10:15:54.845,0
2025-03-05 10:13:57,10:15:56.811,0
2025-03-05 10:13:57,10:15:59.244,0
2025-03-05 10:13:57,10:16:03.010,283
2025-03-05 10:13:57,10:16:07.260,333
2025-03-05 10:13:57,10:16:11.560,292
2025-03-05 10:13:57,10:16:15.326,199
2025-03-05 10:13:57,10:16:20.192,251
2025-03-05 10:13:57,10:16:24.525,332
2025-03-05 10:13:57,10:16:27.309,0
2025-03-05 10:13:57,10:16:29.309,416
2025-03-05 10:13:57,10:16:31.375,370
2025-03-05 10:13:57,10:16:33.691,284
2025-03-05 10:13:57,10:16:36.491,99
2025-03-05 10:13:57,10:16:40.358,266
2025-03-05 10:13:57,10:16:42.441,266
2025-03-05 10:13:57,10:16:45.207,282
2025-03-05 10:13:57,10:16:48.673,270
2025-03-05 10:13:57,10:16:50.624,0
