Task,TapTime,Milliseconds
2025-02-28 01:46:19,13:46:22.368,380
2025-02-28 01:46:19,13:46:25.168,333
2025-02-28 01:46:19,13:46:27.701,266
2025-02-28 01:46:19,13:46:31.284,297
2025-02-28 01:46:19,13:46:33.867,366
2025-02-28 01:46:19,13:46:35.984,349
2025-02-28 01:46:19,13:46:38.650,216
2025-02-28 01:46:19,13:46:41.433,232
2025-02-28 01:46:19,13:46:43.999,233
2025-02-28 01:46:19,13:46:46.983,264
2025-02-28 01:46:19,13:46:49.433,0
2025-02-28 01:46:19,13:46:52.499,266
2025-02-28 01:46:19,13:46:55.166,0
2025-02-28 01:46:19,13:46:58.332,347
2025-02-28 01:46:19,13:47:00.315,371
2025-02-28 01:46:19,13:47:02.765,266
2025-02-28 01:46:19,13:47:05.148,316
2025-02-28 01:46:19,13:47:08.848,283
2025-02-28 01:46:19,13:47:12.181,282
2025-02-28 01:46:19,13:47:15.081,297
2025-02-28 01:46:19,13:47:17.214,295
2025-02-28 01:46:19,13:47:21.313,283
2025-02-28 01:46:19,13:47:24.213,288
2025-02-28 01:46:19,13:47:26.429,399
2025-02-28 01:46:19,13:47:29.930,280
2025-02-28 01:46:19,13:47:33.646,283
2025-02-28 01:46:19,13:47:35.895,399
2025-02-28 01:46:19,13:47:40.478,316
2025-02-28 01:46:19,13:47:43.928,299
2025-02-28 01:46:19,13:47:48.494,332
2025-02-28 01:46:19,13:47:51.561,360
2025-02-28 01:46:19,13:47:53.744,316
2025-02-28 01:46:19,13:47:58.494,288
2025-02-28 01:46:19,13:48:02.493,279
2025-02-28 01:46:19,13:48:06.643,282
2025-02-28 01:46:19,13:48:09.310,0
2025-02-28 01:46:19,13:48:13.292,314
2025-02-28 01:46:19,13:48:15.592,0
2025-02-28 01:46:19,13:48:17.892,332
2025-02-28 01:46:19,13:48:20.058,499
2025-02-28 01:46:19,13:48:22.292,266
2025-02-28 01:46:19,13:48:26.374,282
2025-02-28 01:46:19,13:48:27.941,0
2025-02-28 01:46:19,13:48:30.208,316
2025-02-28 01:46:19,13:48:32.474,316
2025-02-28 01:46:19,13:48:36.923,299
2025-02-28 01:46:19,13:48:38.873,316
2025-02-28 01:46:19,13:48:43.773,282
2025-02-28 01:46:19,13:48:46.806,316
2025-02-28 01:46:19,13:48:51.539,316
2025-02-28 01:46:19,13:48:55.372,349
2025-02-28 01:46:19,13:48:59.888,266
2025-02-28 01:46:19,13:49:02.455,345
2025-02-28 01:46:19,13:49:07.021,266
2025-02-28 01:46:19,13:49:09.288,399
2025-02-28 01:46:19,13:49:13.987,166
2025-02-28 01:46:19,13:49:16.204,383
2025-02-28 01:46:19,13:49:19.153,332
2025-02-28 01:46:19,13:49:23.303,283
2025-02-28 01:46:19,13:49:28.270,290
2025-02-28 01:46:19,13:49:32.169,282
2025-02-28 01:46:19,13:49:35.969,282
2025-02-28 01:46:19,13:49:38.352,314
2025-02-28 01:46:19,13:49:41.518,299
2025-02-28 01:46:19,13:49:44.485,0
