Task,TapTime,Milliseconds
2025-02-28 01:25:01,13:25:04.883,249
2025-02-28 01:25:01,13:25:04.916,0
2025-02-28 01:25:01,13:25:07.733,366
2025-02-28 01:25:01,13:25:11.100,266
2025-02-28 01:25:01,13:25:14.416,297
2025-02-28 01:25:01,13:25:17.949,249
2025-02-28 01:25:01,13:25:18.266,0
2025-02-28 01:25:01,13:25:18.398,0
2025-02-28 01:25:01,13:25:20.449,0
2025-02-28 01:25:01,13:25:23.099,314
2025-02-28 01:25:01,13:25:25.865,274
2025-02-28 01:25:01,13:25:29.165,257
2025-02-28 01:25:01,13:25:31.598,0
2025-02-28 01:25:01,13:25:33.665,299
2025-02-28 01:25:01,13:25:35.764,303
2025-02-28 01:25:01,13:25:39.164,314
2025-02-28 01:25:01,13:25:43.430,244
2025-02-28 01:25:01,13:25:46.647,283
2025-02-28 01:25:01,13:25:49.130,0
2025-02-28 01:25:01,13:25:51.297,0
2025-02-28 01:25:01,13:25:53.330,432
2025-02-28 01:25:01,13:25:55.080,0
2025-02-28 01:25:01,13:25:57.546,316
2025-02-28 01:25:01,13:26:00.945,316
2025-02-28 01:25:01,13:26:05.046,0
2025-02-28 01:25:01,13:26:08.478,279
2025-02-28 01:25:01,13:26:10.995,299
2025-02-28 01:25:01,13:26:15.994,299
2025-02-28 01:25:01,13:26:20.427,240
2025-02-28 01:25:01,13:26:22.894,399
2025-02-28 01:25:01,13:26:25.444,257
2025-02-28 01:25:01,13:26:27.710,283
2025-02-28 01:25:01,13:26:29.993,180
2025-02-28 01:25:01,13:26:31.976,264
2025-02-28 01:25:01,13:26:34.027,0
2025-02-28 01:25:01,13:26:36.443,245
2025-02-28 01:25:01,13:26:38.876,249
2025-02-28 01:25:01,13:26:40.543,0
2025-02-28 01:25:01,13:26:42.676,0
2025-02-28 01:25:01,13:26:45.425,239
2025-02-28 01:25:01,13:26:47.958,332
2025-02-28 01:25:01,13:26:51.941,286
2025-02-28 01:25:01,13:26:55.408,316
2025-02-28 01:25:01,13:26:59.107,264
2025-02-28 01:25:01,13:27:01.474,0
2025-02-28 01:25:01,13:27:04.457,0
2025-02-28 01:25:01,13:27:07.974,0
2025-02-28 01:25:01,13:27:10.906,283
2025-02-28 01:25:01,13:27:14.739,830
2025-02-28 01:25:01,13:27:17.256,299
2025-02-28 01:25:01,13:27:19.839,283
2025-02-28 01:25:01,13:27:22.223,0
2025-02-28 01:25:01,13:27:24.188,99
2025-02-28 01:25:01,13:27:27.255,232
2025-02-28 01:25:01,13:27:29.672,0
2025-02-28 01:25:01,13:27:31.688,0
2025-02-28 01:25:01,13:27:36.304,316
2025-02-28 01:25:01,13:27:38.304,416
2025-02-28 01:25:01,13:27:41.320,299
2025-02-28 01:25:01,13:27:45.420,532
2025-02-28 01:25:01,13:27:48.954,0
2025-02-28 01:25:01,13:27:51.370,283
2025-02-28 01:25:01,13:27:55.153,266
2025-02-28 01:25:01,13:27:58.686,266
2025-02-28 01:25:01,13:28:00.902,349
2025-02-28 01:25:01,13:28:03.119,233
2025-02-28 01:25:01,13:28:05.569,0
2025-02-28 01:25:01,13:28:07.885,0
2025-02-28 01:25:01,13:28:10.685,498
2025-02-28 01:25:01,13:28:13.151,266
2025-02-28 01:25:01,13:28:17.034,283
2025-02-28 01:25:01,13:28:21.117,366
2025-02-28 01:25:01,13:28:24.634,282
2025-02-28 01:25:01,13:28:27.500,282
2025-02-28 01:25:01,13:28:30.133,316
2025-02-28 01:25:01,13:28:32.383,366
2025-02-28 01:25:01,13:28:34.516,267
2025-02-28 01:25:01,13:28:36.716,0
2025-02-28 01:25:01,13:28:38.716,0
2025-02-28 01:25:01,13:28:40.599,249
2025-02-28 01:25:01,13:28:43.882,266
2025-02-28 01:25:01,13:28:47.081,266
2025-02-28 01:25:01,13:28:49.232,283
2025-02-28 01:25:01,13:28:53.614,66
2025-02-28 01:25:01,13:28:56.264,316
2025-02-28 01:25:01,13:28:59.314,232
2025-02-28 01:25:01,13:29:03.464,249
2025-02-28 01:25:01,13:29:05.264,0
2025-02-28 01:25:01,13:29:07.964,283
2025-02-28 01:25:01,13:29:12.479,266
2025-02-28 01:25:01,13:29:16.413,332
2025-02-28 01:25:01,13:29:19.245,232
2025-02-28 01:25:01,13:29:21.779,0
2025-02-28 01:25:01,13:29:24.862,0
2025-02-28 01:25:01,13:29:27.562,0
2025-02-28 01:25:01,13:29:32.511,299
2025-02-28 01:25:01,13:29:35.911,299
2025-02-28 01:25:01,13:29:39.644,299
2025-02-28 01:25:01,13:29:42.911,0
2025-02-28 01:25:01,13:29:45.693,282
2025-02-28 01:25:01,13:29:49.993,316
2025-02-28 01:25:01,13:29:52.626,349
2025-02-28 01:25:01,13:29:55.143,266
2025-02-28 01:25:01,13:29:57.826,264
2025-02-28 01:25:01,13:30:00.325,266
2025-02-28 01:25:01,13:30:03.209,266
2025-02-28 01:25:01,13:30:07.625,282
2025-02-28 01:25:01,13:30:11.074,266
2025-02-28 01:25:01,13:30:12.776,0
2025-02-28 01:25:01,13:30:17.274,266
2025-02-28 01:25:01,13:30:19.707,433
2025-02-28 01:25:01,13:30:23.190,283
2025-02-28 01:25:01,13:30:25.640,299
2025-02-28 01:25:01,13:30:28.257,0
2025-02-28 01:25:01,13:30:32.656,316
2025-02-28 01:25:01,13:30:35.373,299
2025-02-28 01:25:01,13:30:39.506,299
2025-02-28 01:25:01,13:30:42.172,299
2025-02-28 01:25:01,13:30:43.937,0
2025-02-28 01:25:01,13:30:44.321,0
2025-02-28 01:25:01,13:30:44.321,0
2025-02-28 01:25:01,13:30:48.171,299
2025-02-28 01:25:01,13:30:48.172,0
2025-02-28 01:25:01,13:30:51.455,269
2025-02-28 01:25:01,13:30:53.454,408
2025-02-28 01:25:01,13:30:58.104,1899
2025-02-28 01:25:01,13:31:01.836,0
2025-02-28 01:25:01,13:31:05.553,367
2025-02-28 01:25:01,13:31:05.554,0
2025-02-28 01:25:01,13:31:08.336,332
2025-02-28 01:25:01,13:31:10.585,316
2025-02-28 01:25:01,13:31:10.585,0
2025-02-28 01:25:01,13:31:12.970,566
2025-02-28 01:25:01,13:31:12.971,0
2025-02-28 01:25:01,13:31:17.919,297
2025-02-28 01:25:01,13:31:17.920,0
2025-02-28 01:25:01,13:31:21.619,282
2025-02-28 01:25:01,13:31:24.120,0
2025-02-28 01:25:01,13:31:24.451,0
2025-02-28 01:25:01,13:31:27.386,186
2025-02-28 01:25:01,13:31:27.484,0
2025-02-28 01:25:01,13:31:27.484,0
2025-02-28 01:25:01,13:31:32.017,282
2025-02-28 01:25:01,13:31:36.317,249
2025-02-28 01:25:01,13:31:38.434,366
2025-02-28 01:25:01,13:31:40.584,0
2025-02-28 01:25:01,13:31:44.317,0
2025-02-28 01:25:01,13:31:48.650,249
2025-02-28 01:25:01,13:31:52.150,283
2025-02-28 01:25:01,13:31:53.950,0
2025-02-28 01:25:01,13:31:58.199,266
2025-02-28 01:25:01,13:32:02.599,266
2025-02-28 01:25:01,Sex,
2025-02-28 01:25:01,Test Duration in seconds,420
2025-02-28 01:25:01,Number of False Positives,46
2025-02-28 01:25:01,Average response time ,314
2025-02-28 01:25:01,Fastest response time ,66
2025-02-28 01:25:01,Slowest response time ,1899
2025-02-28 01:25:01,Count of response time over 500ms ,4
