Task,TapTime,Milliseconds
2025-03-05 09:46:04,09:46:07.828,299
2025-03-05 09:46:04,09:46:12.362,308
2025-03-05 09:46:04,09:46:14.461,346
2025-03-05 09:46:04,09:46:16.411,326
2025-03-05 09:46:04,09:46:18.561,276
2025-03-05 09:46:04,09:46:22.344,266
2025-03-05 09:46:04,09:46:25.161,0
2025-03-05 09:46:04,09:46:27.727,316
2025-03-05 09:46:04,09:46:30.094,283
2025-03-05 09:46:04,09:46:32.310,299
2025-03-05 09:46:04,09:46:36.010,66
2025-03-05 09:46:04,09:46:37.976,299
2025-03-05 09:46:04,09:46:41.143,266
2025-03-05 09:46:04,09:46:44.426,83
2025-03-05 09:46:04,09:46:47.459,249
2025-03-05 09:46:04,09:46:51.542,266
2025-03-05 09:46:04,09:46:54.525,316
2025-03-05 09:46:04,09:46:57.375,232
2025-03-05 09:46:04,09:47:01.108,292
2025-03-05 09:46:04,09:47:05.941,266
2025-03-05 09:46:04,09:47:08.424,411
2025-03-05 09:46:04,09:47:12.624,283
2025-03-05 09:46:04,09:47:14.541,333
2025-03-05 09:46:04,09:47:18.557,272
2025-03-05 09:46:04,09:47:21.723,289
2025-03-05 09:46:04,09:47:23.224,0
2025-03-05 09:46:04,09:47:25.840,0
2025-03-05 09:46:04,09:47:30.556,339
2025-03-05 09:46:04,09:47:33.506,297
2025-03-05 09:46:04,09:47:35.805,330
2025-03-05 09:46:04,09:47:38.439,299
2025-03-05 09:46:04,09:47:40.789,383
2025-03-05 09:46:04,09:47:44.005,256
2025-03-05 09:46:04,09:47:48.939,300
2025-03-05 09:46:04,09:47:52.521,316
2025-03-05 09:46:04,09:47:56.955,283
2025-03-05 09:46:04,09:48:00.787,311
2025-03-05 09:46:04,09:48:04.270,266
2025-03-05 09:46:04,09:48:06.721,0
2025-03-05 09:46:04,09:48:10.303,289
2025-03-05 09:46:04,09:48:14.169,278
2025-03-05 09:46:04,09:48:18.636,299
2025-03-05 09:46:04,09:48:21.286,473
2025-03-05 09:46:04,09:48:23.852,306
2025-03-05 09:46:04,09:48:25.869,289
2025-03-05 09:46:04,09:48:28.118,294
2025-03-05 09:46:04,09:48:30.252,249
2025-03-05 09:46:04,09:48:32.335,266
2025-03-05 09:46:04,09:48:37.168,299
2025-03-05 09:46:04,09:48:41.351,272
2025-03-05 09:46:04,09:48:43.634,289
2025-03-05 09:46:04,09:48:46.168,233
2025-03-05 09:46:04,09:48:50.717,316
2025-03-05 09:46:04,09:48:53.217,349
2025-03-05 09:46:04,09:48:55.783,316
2025-03-05 09:46:04,09:48:59.134,0
2025-03-05 09:46:04,09:49:02.616,272
2025-03-05 09:46:04,09:49:06.316,316
2025-03-05 09:46:04,09:49:11.299,366
2025-03-05 09:46:04,09:49:14.532,399
2025-03-05 09:46:04,09:49:17.482,416
2025-03-05 09:46:04,09:49:21.631,299
2025-03-05 09:46:04,09:49:24.731,394
