Task,TapTime,Milliseconds
2025-02-28 10:52:46,10:52:49.361,366
2025-02-28 10:52:46,10:52:53.811,349
2025-02-28 10:52:46,10:52:56.660,399
2025-02-28 10:52:46,10:52:59.860,259
2025-02-28 10:52:46,10:53:03.210,283
2025-02-28 10:52:46,10:53:05.593,333
2025-02-28 10:52:46,10:53:08.060,0
2025-02-28 10:52:46,10:53:12.576,316
2025-02-28 10:52:46,10:53:15.309,383
2025-02-28 10:52:46,10:53:19.092,299
2025-02-28 10:52:46,10:53:22.659,0
2025-02-28 10:52:46,10:53:24.858,466
2025-02-28 10:52:46,10:53:29.175,316
2025-02-28 10:52:46,10:53:33.124,533
2025-02-28 10:52:46,10:53:36.957,299
2025-02-28 10:52:46,10:53:40.573,316
2025-02-28 10:52:46,10:53:43.840,296
2025-02-28 10:52:46,10:53:48.723,332
2025-02-28 10:52:46,10:53:51.856,284
2025-02-28 10:52:46,10:53:54.072,330
2025-02-28 10:52:46,10:53:56.405,264
2025-02-28 10:52:46,10:53:59.622,280
2025-02-28 10:52:46,10:54:01.655,466
2025-02-28 10:52:46,10:54:06.155,299
2025-02-28 10:52:46,10:54:10.871,349
2025-02-28 10:52:46,10:54:12.954,366
2025-02-28 10:52:46,10:54:15.487,299
2025-02-28 10:52:46,10:54:19.987,332
2025-02-28 10:52:46,10:54:24.303,316
2025-02-28 10:52:46,10:54:27.686,299
2025-02-28 10:52:46,10:54:29.703,359
2025-02-28 10:52:46,10:54:33.869,330
2025-02-28 10:52:46,10:54:37.152,299
2025-02-28 10:52:46,10:54:39.952,233
2025-02-28 10:52:46,10:54:44.735,299
2025-02-28 10:52:46,10:54:47.518,366
2025-02-28 10:52:46,10:54:50.118,266
2025-02-28 10:52:46,10:54:53.501,249
2025-02-28 10:52:46,10:54:55.467,349
2025-02-28 10:52:46,10:54:57.367,316
2025-02-28 10:52:46,10:55:02.133,349
2025-02-28 10:52:46,10:55:04.833,316
2025-02-28 10:52:46,10:55:08.683,366
2025-02-28 10:52:46,10:55:10.999,349
2025-02-28 10:52:46,10:55:13.382,561
2025-02-28 10:52:46,10:55:16.082,299
2025-02-28 10:52:46,10:55:19.182,266
2025-02-28 10:52:46,10:55:21.165,382
2025-02-28 10:52:46,10:55:25.132,283
2025-02-28 10:52:46,10:55:28.314,266
2025-02-28 10:52:46,10:55:31.382,0
2025-02-28 10:52:46,10:55:34.397,416
2025-02-28 10:52:46,10:55:38.047,333
2025-02-28 10:52:46,10:55:41.697,297
2025-02-28 10:52:46,10:55:45.263,349
2025-02-28 10:52:46,10:55:49.146,299
2025-02-28 10:52:46,10:55:52.479,299
2025-02-28 10:52:46,10:55:56.379,333
2025-02-28 10:52:46,10:55:59.745,249
2025-02-28 10:52:46,10:56:02.028,383
2025-02-28 10:52:46,10:56:04.128,283
2025-02-28 10:52:46,10:56:06.228,249
2025-02-28 10:52:46,10:56:08.911,239
2025-02-28 10:52:46,10:56:12.194,253
2025-02-28 10:52:46,10:56:15.444,303
2025-02-28 10:52:46,10:56:17.860,283
2025-02-28 10:52:46,10:56:21.277,299
2025-02-28 10:52:46,10:56:23.543,566
2025-02-28 10:52:46,10:56:25.626,382
2025-02-28 10:52:46,10:56:29.743,299
2025-02-28 10:52:46,10:56:34.609,280
2025-02-28 10:52:46,10:56:36.676,433
2025-02-28 10:52:46,10:56:39.325,282
2025-02-28 10:52:46,10:56:41.742,299
2025-02-28 10:52:46,10:56:46.541,299
2025-02-28 10:52:46,10:56:49.774,266
2025-02-28 10:52:46,10:56:51.774,333
2025-02-28 10:52:46,10:56:55.591,283
2025-02-28 10:52:46,10:56:59.640,314
2025-02-28 10:52:46,10:57:03.123,302
2025-02-28 10:52:46,10:57:07.339,299
2025-02-28 10:52:46,10:57:09.290,383
2025-02-28 10:52:46,10:57:11.606,299
2025-02-28 10:52:46,10:57:15.789,282
2025-02-28 10:52:46,10:57:18.772,332
2025-02-28 10:52:46,10:57:23.005,280
2025-02-28 10:52:46,10:57:27.738,299
2025-02-28 10:52:46,10:57:32.521,283
2025-02-28 10:52:46,10:57:35.304,332
2025-02-28 10:52:46,10:57:39.254,283
2025-02-28 10:52:46,10:57:42.220,316
2025-02-28 10:52:46,10:57:44.487,316
2025-02-28 10:52:46,10:57:48.719,283
2025-02-28 10:52:46,10:57:52.803,299
2025-02-28 10:52:46,10:57:54.919,429
2025-02-28 10:52:46,10:57:57.952,249
2025-02-28 10:52:46,10:58:01.435,399
2025-02-28 10:52:46,10:58:03.568,532
2025-02-28 10:52:46,10:58:08.135,313
2025-02-28 10:52:46,10:58:11.001,410
2025-02-28 10:52:46,10:58:14.834,266
2025-02-28 10:52:46,10:58:19.334,299
2025-02-28 10:52:46,10:58:23.100,279
2025-02-28 10:52:46,10:58:27.783,282
2025-02-28 10:52:46,10:58:32.532,299
2025-02-28 10:52:46,10:58:35.699,447
2025-02-28 10:52:46,10:58:37.865,347
2025-02-28 10:52:46,10:58:41.448,349
2025-02-28 10:52:46,10:58:43.615,383
2025-02-28 10:52:46,10:58:48.481,296
2025-02-28 10:52:46,10:58:51.997,299
2025-02-28 10:52:46,10:58:55.614,316
2025-02-28 10:52:46,10:58:59.347,350
2025-02-28 10:52:46,10:59:02.097,332
2025-02-28 10:52:46,10:59:05.313,282
2025-02-28 10:52:46,10:59:07.930,233
2025-02-28 10:52:46,10:59:09.896,332
2025-02-28 10:52:46,10:59:12.396,299
2025-02-28 10:52:46,10:59:16.929,299
2025-02-28 10:52:46,10:59:20.578,282
2025-02-28 10:52:46,10:59:24.129,432
2025-02-28 10:52:46,10:59:26.511,664
2025-02-28 10:52:46,10:59:30.344,316
2025-02-28 10:52:46,10:59:35.127,299
2025-02-28 10:52:46,10:59:37.944,316
2025-02-28 10:52:46,10:59:42.243,264
2025-02-28 10:52:46,10:59:46.193,299
2025-02-28 10:52:46,10:59:49.643,282
2025-02-28 10:52:46,Sex,
2025-02-28 10:52:46,Test Duration in seconds,422
2025-02-28 10:52:46,Number of False Positives,3
2025-02-28 10:52:46,Average response time ,327
2025-02-28 10:52:46,Fastest response time ,233
2025-02-28 10:52:46,Slowest response time ,664
2025-02-28 10:52:46,Count of response time over 500ms ,5
