Task,TapTime,Milliseconds
2025-02-28 11:38:14,11:38:15.630,482
2025-02-28 11:38:14,11:38:19.314,0
2025-02-28 11:38:14,11:38:20.413,0
2025-02-28 11:38:14,11:38:21.130,0
2025-02-28 11:38:14,11:38:21.880,0
2025-02-28 11:38:14,11:38:24.946,316
2025-02-28 11:38:14,11:38:27.629,597
2025-02-28 11:38:14,11:38:28.696,0
2025-02-28 11:38:14,11:38:29.212,0
2025-02-28 11:38:14,11:38:29.929,0
2025-02-28 11:38:14,11:38:32.146,0
2025-02-28 11:38:14,11:38:33.296,0
2025-02-28 11:38:14,11:38:34.746,0
2025-02-28 11:38:14,11:38:34.878,0
2025-02-28 11:38:14,11:38:35.461,0
2025-02-28 11:38:14,11:38:36.529,0
2025-02-28 11:38:14,11:38:37.929,0
2025-02-28 11:38:14,11:38:38.178,0
2025-02-28 11:38:14,11:38:40.579,0
2025-02-28 11:38:14,11:38:44.612,0
2025-02-28 11:38:14,11:38:47.578,616
2025-02-28 11:38:14,11:38:50.328,0
2025-02-28 11:38:14,11:38:54.277,382
2025-02-28 11:38:14,11:38:59.344,423
2025-02-28 11:38:14,11:39:02.710,282
2025-02-28 11:38:14,11:39:05.743,273
2025-02-28 11:38:14,11:39:08.193,256
2025-02-28 11:38:14,11:39:10.426,0
2025-02-28 11:38:14,11:39:14.226,589
2025-02-28 11:38:14,11:39:16.593,0
2025-02-28 11:38:14,11:39:20.425,399
2025-02-28 11:38:14,11:39:24.858,328
2025-02-28 11:38:14,11:39:29.308,392
2025-02-28 11:38:14,11:39:31.691,579
2025-02-28 11:38:14,11:39:34.207,293
2025-02-28 11:38:14,11:39:36.207,381
2025-02-28 11:38:14,11:39:38.157,0
2025-02-28 11:38:14,11:39:41.807,0
2025-02-28 11:38:14,11:39:46.656,397
2025-02-28 11:38:14,11:39:49.672,316
2025-02-28 11:38:14,11:39:52.139,582
2025-02-28 11:38:14,11:39:57.139,516
2025-02-28 11:38:14,11:40:00.572,275
2025-02-28 11:38:14,11:40:02.305,0
2025-02-28 11:38:14,11:40:06.238,517
2025-02-28 11:38:14,11:40:10.837,308
2025-02-28 11:38:14,11:40:13.904,349
2025-02-28 11:38:14,11:40:18.554,333
2025-02-28 11:38:14,11:40:22.070,0
2025-02-28 11:38:14,11:40:22.419,0
2025-02-28 11:38:14,11:40:24.753,0
2025-02-28 11:38:14,11:40:27.103,449
2025-02-28 11:38:14,11:40:31.886,238
2025-02-28 11:38:14,11:40:35.885,500
2025-02-28 11:38:14,11:40:39.102,483
2025-02-28 11:38:14,11:40:41.085,399
2025-02-28 11:38:14,11:40:42.369,0
2025-02-28 11:38:14,11:40:43.518,0
2025-02-28 11:38:14,11:40:46.851,274
2025-02-28 11:38:14,11:40:51.517,632
2025-02-28 11:38:14,11:40:55.250,499
2025-02-28 11:38:14,11:40:57.717,499
2025-02-28 11:38:14,11:41:00.917,299
2025-02-28 11:38:14,11:41:03.983,499
2025-02-28 11:38:14,11:41:07.300,0
2025-02-28 11:38:14,11:41:09.850,0
2025-02-28 11:38:14,11:41:09.999,0
2025-02-28 11:38:14,11:41:13.999,682
2025-02-28 11:38:14,11:41:17.482,431
2025-02-28 11:38:14,11:41:21.115,414
2025-02-28 11:38:14,11:41:24.999,383
2025-02-28 11:38:14,11:41:27.548,333
2025-02-28 11:38:14,11:41:30.448,299
2025-02-28 11:38:14,11:41:34.831,283
2025-02-28 11:38:14,11:41:38.830,283
2025-02-28 11:38:14,11:41:42.180,0
2025-02-28 11:38:14,11:41:46.480,376
2025-02-28 11:38:14,11:41:48.613,533
2025-02-28 11:38:14,11:41:52.462,449
2025-02-28 11:38:14,11:41:53.246,0
2025-02-28 11:38:14,11:41:57.346,0
2025-02-28 11:38:14,11:41:58.095,0
2025-02-28 11:38:14,11:41:59.796,0
2025-02-28 11:38:14,11:42:00.828,0
2025-02-28 11:38:14,11:42:01.328,0
2025-02-28 11:38:14,11:42:03.461,281
2025-02-28 11:38:14,11:42:08.061,364
2025-02-28 11:38:14,11:42:12.727,430
2025-02-28 11:38:14,11:42:16.494,283
2025-02-28 11:38:14,11:42:18.544,399
2025-02-28 11:38:14,11:42:20.760,0
2025-02-28 11:38:14,11:42:24.027,0
2025-02-28 11:38:14,11:42:26.209,333
2025-02-28 11:38:14,11:42:28.542,266
2025-02-28 11:38:14,11:42:30.743,0
2025-02-28 11:38:14,11:42:34.875,333
2025-02-28 11:38:14,11:42:39.792,358
2025-02-28 11:38:14,11:42:42.192,564
2025-02-28 11:38:14,11:42:46.258,316
2025-02-28 11:38:14,11:42:49.174,299
2025-02-28 11:38:14,11:42:50.758,0
2025-02-28 11:38:14,11:42:50.907,0
2025-02-28 11:38:14,11:42:51.924,0
2025-02-28 11:38:14,11:42:55.373,499
2025-02-28 11:38:14,11:42:56.240,0
2025-02-28 11:38:14,11:42:59.623,483
2025-02-28 11:38:14,11:43:00.207,0
2025-02-28 11:38:14,11:43:02.773,347
2025-02-28 11:38:14,11:43:05.657,490
2025-02-28 11:38:14,11:43:09.423,264
2025-02-28 11:38:14,11:43:12.205,388
2025-02-28 11:38:14,11:43:13.989,0
2025-02-28 11:38:14,11:43:16.272,438
2025-02-28 11:38:14,11:43:18.822,464
2025-02-28 11:38:14,11:43:20.589,0
2025-02-28 11:38:14,11:43:21.888,0
2025-02-28 11:38:14,11:43:23.022,0
2025-02-28 11:38:14,11:43:24.505,0
2025-02-28 11:38:14,11:43:27.404,418
2025-02-28 11:38:14,11:43:29.671,580
2025-02-28 11:38:14,11:43:32.405,0
2025-02-28 11:38:14,11:43:37.204,309
2025-02-28 11:38:14,11:43:40.770,497
2025-02-28 11:38:14,11:43:42.620,0
2025-02-28 11:38:14,11:43:47.286,516
2025-02-28 11:38:14,11:43:50.036,803
2025-02-28 11:38:14,11:43:52.519,615
2025-02-28 11:38:14,11:43:57.302,668
2025-02-28 11:38:14,11:44:00.668,399
2025-02-28 11:38:14,11:44:04.051,449
2025-02-28 11:38:14,11:44:07.668,466
2025-02-28 11:38:14,11:44:10.301,699
2025-02-28 11:38:14,11:44:14.851,316
2025-02-28 11:38:14,11:44:17.334,0
2025-02-28 11:38:14,11:44:20.067,325
2025-02-28 11:38:14,11:44:24.016,341
2025-02-28 11:38:14,11:44:26.750,483
2025-02-28 11:38:14,11:44:31.515,382
2025-02-28 11:38:14,11:44:34.732,599
2025-02-28 11:38:14,11:44:39.149,349
2025-02-28 11:38:14,11:44:42.981,316
2025-02-28 11:38:14,11:44:46.081,551
2025-02-28 11:38:14,11:44:49.398,599
2025-02-28 11:38:14,11:44:54.064,514
2025-02-28 11:38:14,11:44:56.997,666
2025-02-28 11:38:14,11:45:01.097,567
2025-02-28 11:38:14,11:45:04.913,0
2025-02-28 11:38:14,11:45:05.529,0
2025-02-28 11:38:14,11:45:09.079,816
2025-02-28 11:38:14,11:45:13.329,599
2025-02-28 11:38:14,11:45:16.929,799
2025-02-28 11:38:14,Sex,
2025-02-28 11:38:14,Test Duration in seconds,422
2025-02-28 11:38:14,Number of False Positives,56
2025-02-28 11:38:14,Average response time ,438
2025-02-28 11:38:14,Fastest response time ,238
2025-02-28 11:38:14,Slowest response time ,816
2025-02-28 11:38:14,Count of response time over 500ms ,27
