Task,TapTime,Milliseconds
2025-03-14 09:55:54,09:55:56.338,599
2025-03-14 09:55:54,09:55:58.138,0
2025-03-14 09:55:54,09:56:02.337,266
2025-03-14 09:55:54,09:56:04.554,416
2025-03-14 09:55:54,09:56:08.687,243
2025-03-14 09:55:54,09:56:11.103,232
2025-03-14 09:55:54,09:56:12.886,16
2025-03-14 09:55:54,09:56:15.103,0
2025-03-14 09:55:54,09:56:18.136,332
2025-03-14 09:55:54,09:56:20.486,282
2025-03-14 09:55:54,09:56:23.670,0
2025-03-14 09:55:54,09:56:26.969,299
2025-03-14 09:55:54,09:56:28.902,299
2025-03-14 09:55:54,09:56:31.218,82
2025-03-14 09:55:54,09:56:33.486,0
2025-03-14 09:55:54,09:56:36.185,0
2025-03-14 09:55:54,09:56:39.201,332
2025-03-14 09:55:54,09:56:43.168,414
2025-03-14 09:55:54,09:56:47.517,297
2025-03-14 09:55:54,09:56:51.733,266
2025-03-14 09:55:54,09:56:54.483,283
2025-03-14 09:55:54,09:56:58.000,0
2025-03-14 09:55:54,09:57:00.083,49
2025-03-14 09:55:54,09:57:04.066,333
2025-03-14 09:55:54,09:57:06.582,297
2025-03-14 09:55:54,09:57:08.699,366
2025-03-14 09:55:54,09:57:11.515,249
2025-03-14 09:55:54,09:57:14.232,368
2025-03-14 09:55:54,09:57:17.799,333
2025-03-14 09:55:54,09:57:21.298,299
2025-03-14 09:55:54,09:57:25.531,266
2025-03-14 09:55:54,09:57:26.031,0
2025-03-14 09:55:54,09:57:28.414,416
2025-03-14 09:55:54,09:57:31.247,316
2025-03-14 09:55:54,09:57:34.014,0
2025-03-14 09:55:54,09:57:38.813,283
2025-03-14 09:55:54,09:57:40.880,370
2025-03-14 09:55:54,09:57:42.946,283
2025-03-14 09:55:54,09:57:45.646,0
2025-03-14 09:55:54,09:57:48.662,266
2025-03-14 09:55:54,09:57:53.479,416
2025-03-14 09:55:54,09:57:58.412,395
2025-03-14 09:55:54,09:58:01.028,299
2025-03-14 09:55:54,09:58:05.044,249
2025-03-14 09:55:54,09:58:06.728,0
2025-03-14 09:55:54,09:58:09.577,316
2025-03-14 09:55:54,09:58:10.144,0
2025-03-14 09:55:54,09:58:13.243,716
2025-03-14 09:55:54,09:58:15.544,397
2025-03-14 09:55:54,09:58:18.377,49
2025-03-14 09:55:54,09:58:22.110,249
2025-03-14 09:55:54,09:58:24.760,299
2025-03-14 09:55:54,09:58:29.292,566
2025-03-14 09:55:54,09:58:33.892,299
2025-03-14 09:55:54,09:58:38.092,299
2025-03-14 09:55:54,09:58:41.575,249
2025-03-14 09:55:54,09:58:42.975,0
2025-03-14 09:55:54,09:58:45.875,549
2025-03-14 09:55:54,09:58:48.408,349
2025-03-14 09:55:54,09:58:50.658,0
2025-03-14 09:55:54,09:58:52.874,349
2025-03-14 09:55:54,09:58:57.024,299
2025-03-14 09:55:54,09:59:00.990,333
2025-03-14 09:55:54,09:59:03.707,0
2025-03-14 09:55:54,09:59:07.539,349
2025-03-14 09:55:54,09:59:10.089,386
2025-03-14 09:55:54,09:59:14.539,283
2025-03-14 09:55:54,09:59:18.739,416
2025-03-14 09:55:54,09:59:21.955,294
2025-03-14 09:55:54,09:59:24.905,316
2025-03-14 09:55:54,09:59:27.356,0
2025-03-14 09:55:54,09:59:31.271,349
2025-03-14 09:55:54,09:59:34.621,366
2025-03-14 09:55:54,09:59:37.771,383
2025-03-14 09:55:54,09:59:42.420,747
2025-03-14 09:55:54,09:59:46.186,266
2025-03-14 09:55:54,09:59:49.219,521
2025-03-14 09:55:54,09:59:52.837,0
2025-03-14 09:55:54,09:59:55.970,0
2025-03-14 09:55:54,09:59:58.703,0
2025-03-14 09:55:54,10:00:01.019,366
2025-03-14 09:55:54,10:00:05.301,316
2025-03-14 09:55:54,10:00:07.818,366
2025-03-14 09:55:54,10:00:11.068,0
2025-03-14 09:55:54,10:00:15.468,283
2025-03-14 09:55:54,10:00:18.900,316
2025-03-14 09:55:54,10:00:22.467,349
2025-03-14 09:55:54,10:00:24.634,0
2025-03-14 09:55:54,10:00:29.133,416
2025-03-14 09:55:54,10:00:32.816,299
2025-03-14 09:55:54,10:00:35.832,322
2025-03-14 09:55:54,10:00:39.549,833
2025-03-14 09:55:54,10:00:42.749,766
2025-03-14 09:55:54,10:00:45.846,766
2025-03-14 09:55:54,10:00:46.715,0
2025-03-14 09:55:54,10:00:47.082,0
2025-03-14 09:55:54,10:00:52.081,403
2025-03-14 09:55:54,10:00:55.531,349
2025-03-14 09:55:54,10:00:59.147,299
2025-03-14 09:55:54,10:01:03.480,432
2025-03-14 09:55:54,10:01:08.447,314
2025-03-14 09:55:54,10:01:12.880,433
2025-03-14 09:55:54,10:01:15.030,0
2025-03-14 09:55:54,10:01:17.529,295
2025-03-14 09:55:54,10:01:21.629,316
2025-03-14 09:55:54,10:01:25.212,432
2025-03-14 09:55:54,10:01:29.328,281
2025-03-14 09:55:54,10:01:32.178,364
