Task,TapTime,Milliseconds
2025-02-28 11:13:13,11:13:15.245,791
2025-02-28 11:13:13,11:13:18.211,441
2025-02-28 11:13:13,11:13:20.928,347
2025-02-28 11:13:13,11:13:25.211,399
2025-02-28 11:13:13,11:13:27.361,416
2025-02-28 11:13:13,11:13:31.860,383
2025-02-28 11:13:13,11:13:34.577,399
2025-02-28 11:13:13,11:13:39.260,415
2025-02-28 11:13:13,11:13:44.209,364
2025-02-28 11:13:13,11:13:46.809,364
2025-02-28 11:13:13,11:13:49.075,447
2025-02-28 11:13:13,11:13:53.958,347
2025-02-28 11:13:13,11:13:57.608,399
2025-02-28 11:13:13,11:14:01.891,416
2025-02-28 11:13:13,11:14:04.441,433
2025-02-28 11:13:13,11:14:07.891,416
2025-02-28 11:13:13,11:14:10.924,343
2025-02-28 11:13:13,11:14:15.707,366
2025-02-28 11:13:13,11:14:17.873,399
2025-02-28 11:13:13,11:14:22.539,466
2025-02-28 11:13:13,11:14:26.756,549
2025-02-28 11:13:13,11:14:29.722,350
2025-02-28 11:13:13,11:14:33.456,364
2025-02-28 11:13:13,11:14:37.672,466
2025-02-28 11:13:13,11:14:41.205,466
2025-02-28 11:13:13,11:14:45.937,358
2025-02-28 11:13:13,11:14:49.054,316
2025-02-28 11:13:13,11:14:53.587,316
2025-02-28 11:13:13,11:14:56.886,349
2025-02-28 11:13:13,11:14:59.770,398
2025-02-28 11:13:13,11:15:03.186,382
2025-02-28 11:13:13,11:15:06.069,399
2025-02-28 11:13:13,11:15:10.902,322
2025-02-28 11:13:13,11:15:14.235,335
2025-02-28 11:13:13,11:15:16.468,380
2025-02-28 11:13:13,11:15:21.218,349
2025-02-28 11:13:13,11:15:26.051,471
2025-02-28 11:13:13,11:15:29.117,449
2025-02-28 11:13:13,11:15:31.284,349
2025-02-28 11:13:13,11:15:35.000,333
2025-02-28 11:13:13,11:15:37.183,382
2025-02-28 11:13:13,11:15:41.466,399
2025-02-28 11:13:13,11:15:44.183,382
2025-02-28 11:13:13,11:15:48.232,299
2025-02-28 11:13:13,11:15:51.349,283
2025-02-28 11:13:13,11:15:56.315,316
2025-02-28 11:13:13,11:16:00.431,299
2025-02-28 11:13:13,11:16:03.847,316
2025-02-28 11:13:13,11:16:08.814,283
2025-02-28 11:13:13,11:16:11.780,449
2025-02-28 11:13:13,11:16:14.964,366
2025-02-28 11:13:13,11:16:19.496,299
2025-02-28 11:13:13,11:16:24.129,266
2025-02-28 11:13:13,11:16:28.629,299
2025-02-28 11:13:13,11:16:32.129,399
2025-02-28 11:13:13,11:16:35.578,316
2025-02-28 11:13:13,11:16:39.611,300
2025-02-28 11:13:13,11:16:43.644,316
2025-02-28 11:13:13,11:16:45.827,499
2025-02-28 11:13:13,11:16:48.894,302
2025-02-28 11:13:13,11:16:51.177,316
2025-02-28 11:13:13,11:16:53.877,0
2025-02-28 11:13:13,11:16:56.193,616
2025-02-28 11:13:13,11:16:59.959,366
2025-02-28 11:13:13,11:17:04.109,383
2025-02-28 11:13:13,11:17:08.192,333
2025-02-28 11:13:13,11:17:10.559,366
2025-02-28 11:13:13,11:17:12.792,332
2025-02-28 11:13:13,11:17:16.941,349
2025-02-28 11:13:13,11:17:19.891,432
2025-02-28 11:13:13,11:17:23.241,316
2025-02-28 11:13:13,11:17:25.275,0
2025-02-28 11:13:13,11:17:27.374,516
2025-02-28 11:13:13,11:17:30.007,428
2025-02-28 11:13:13,11:17:33.857,332
2025-02-28 11:13:13,11:17:37.090,366
2025-02-28 11:13:13,11:17:39.540,349
2025-02-28 11:13:13,11:17:41.889,566
2025-02-28 11:13:13,11:17:46.222,366
2025-02-28 11:13:13,11:17:50.289,366
2025-02-28 11:13:13,11:17:54.605,349
2025-02-28 11:13:13,11:17:57.555,366
2025-02-28 11:13:13,11:18:02.504,382
2025-02-28 11:13:13,11:18:05.654,527
2025-02-28 11:13:13,11:18:08.404,401
2025-02-28 11:13:13,11:18:12.587,0
2025-02-28 11:13:13,11:18:17.203,393
2025-02-28 11:13:13,11:18:20.786,357
2025-02-28 11:13:13,11:18:24.019,366
2025-02-28 11:13:13,11:18:27.936,349
2025-02-28 11:13:13,11:18:30.335,416
2025-02-28 11:13:13,11:18:33.302,364
2025-02-28 11:13:13,11:18:35.402,416
2025-02-28 11:13:13,11:18:39.984,399
2025-02-28 11:13:13,11:18:44.551,366
2025-02-28 11:13:13,11:18:48.617,299
2025-02-28 11:13:13,11:18:51.250,399
2025-02-28 11:13:13,11:18:55.850,270
2025-02-28 11:13:13,11:18:59.500,316
2025-02-28 11:13:13,11:19:01.683,366
2025-02-28 11:13:13,11:19:04.333,282
2025-02-28 11:13:13,11:19:08.999,282
2025-02-28 11:13:13,11:19:11.465,349
2025-02-28 11:13:13,11:19:14.648,277
2025-02-28 11:13:13,11:19:16.982,333
2025-02-28 11:13:13,11:19:18.782,0
2025-02-28 11:13:13,11:19:23.398,349
2025-02-28 11:13:13,11:19:27.114,399
2025-02-28 11:13:13,11:19:29.397,349
2025-02-28 11:13:13,11:19:31.964,383
2025-02-28 11:13:13,11:19:35.513,332
2025-02-28 11:13:13,11:19:38.813,324
2025-02-28 11:13:13,11:19:40.829,400
2025-02-28 11:13:13,11:19:42.929,482
2025-02-28 11:13:13,11:19:44.979,332
2025-02-28 11:13:13,11:19:49.095,316
2025-02-28 11:13:13,11:19:52.412,0
2025-02-28 11:13:13,11:19:55.578,333
2025-02-28 11:13:13,11:20:00.628,449
2025-02-28 11:13:13,11:20:03.061,482
2025-02-28 11:13:13,11:20:07.911,314
