Task,TapTime,Milliseconds
2025-02-28 01:02:50,13:02:53.342,399
2025-02-28 01:02:50,13:02:57.341,332
2025-02-28 01:02:50,13:03:01.208,299
2025-02-28 01:02:50,13:03:04.374,299
2025-02-28 01:02:50,13:03:07.041,0
2025-02-28 01:02:50,13:03:08.474,0
2025-02-28 01:02:50,13:03:11.490,682
2025-02-28 01:02:50,13:03:14.040,1032
2025-02-28 01:02:50,13:03:16.423,349
2025-02-28 01:02:50,13:03:18.989,316
2025-02-28 01:02:50,13:03:22.172,366
2025-02-28 01:02:50,13:03:24.422,616
2025-02-28 01:02:50,13:03:27.722,332
2025-02-28 01:02:50,13:03:29.755,349
2025-02-28 01:02:50,13:03:33.438,366
2025-02-28 01:02:50,13:03:37.038,414
2025-02-28 01:02:50,13:03:41.171,399
2025-02-28 01:02:50,13:03:45.237,366
2025-02-28 01:02:50,13:03:49.004,391
2025-02-28 01:02:50,13:03:51.770,1078
2025-02-28 01:02:50,13:03:54.870,399
2025-02-28 01:02:50,13:03:57.269,466
2025-02-28 01:02:50,13:04:01.819,483
2025-02-28 01:02:50,13:04:05.469,399
2025-02-28 01:02:50,13:04:08.752,416
2025-02-28 01:02:50,13:04:12.168,299
2025-02-28 01:02:50,13:04:17.035,366
2025-02-28 01:02:50,13:04:18.701,0
2025-02-28 01:02:50,13:04:22.967,366
2025-02-28 01:02:50,13:04:26.384,361
2025-02-28 01:02:50,13:04:28.784,649
2025-02-28 01:02:50,13:04:34.133,1132
2025-02-28 01:02:50,13:04:36.833,366
2025-02-28 01:02:50,13:04:38.900,433
2025-02-28 01:02:50,13:04:41.049,383
2025-02-28 01:02:50,13:04:43.899,358
2025-02-28 01:02:50,13:04:46.183,0
2025-02-28 01:02:50,13:04:48.649,364
2025-02-28 01:02:50,13:04:52.848,383
2025-02-28 01:02:50,13:04:57.415,483
2025-02-28 01:02:50,13:04:59.814,616
2025-02-28 01:02:50,13:05:03.914,449
2025-02-28 01:02:50,13:05:06.197,375
2025-02-28 01:02:50,13:05:09.680,577
2025-02-28 01:02:50,13:05:12.247,622
2025-02-28 01:02:50,13:05:17.213,416
2025-02-28 01:02:50,13:05:21.429,366
2025-02-28 01:02:50,13:05:24.962,366
2025-02-28 01:02:50,13:05:29.446,383
2025-02-28 01:02:50,13:05:33.878,483
2025-02-28 01:02:50,13:05:37.211,416
2025-02-28 01:02:50,13:05:41.594,266
2025-02-28 01:02:50,13:05:45.560,433
2025-02-28 01:02:50,13:05:48.210,416
2025-02-28 01:02:50,13:05:49.594,0
2025-02-28 01:02:50,13:05:52.060,333
2025-02-28 01:02:50,13:05:55.126,466
2025-02-28 01:02:50,13:05:59.409,349
2025-02-28 01:02:50,13:06:00.659,0
2025-02-28 01:02:50,13:06:04.759,366
2025-02-28 01:02:50,13:06:07.475,483
2025-02-28 01:02:50,13:06:09.825,299
2025-02-28 01:02:50,13:06:13.991,379
2025-02-28 01:02:50,13:06:15.441,0
2025-02-28 01:02:50,13:06:17.791,333
2025-02-28 01:02:50,13:06:20.941,515
2025-02-28 01:02:50,13:06:24.107,496
2025-02-28 01:02:50,13:06:27.823,566
2025-02-28 01:02:50,13:06:29.507,0
2025-02-28 01:02:50,13:06:32.506,328
2025-02-28 01:02:50,13:06:34.990,399
2025-02-28 01:02:50,13:06:39.956,480
2025-02-28 01:02:50,13:06:43.089,566
2025-02-28 01:02:50,13:06:47.355,366
2025-02-28 01:02:50,13:06:48.822,0
2025-02-28 01:02:50,13:06:51.005,464
2025-02-28 01:02:50,13:06:54.521,399
2025-02-28 01:02:50,13:06:57.555,366
2025-02-28 01:02:50,13:07:00.421,233
2025-02-28 01:02:50,13:07:04.237,449
2025-02-28 01:02:50,13:07:06.570,449
2025-02-28 01:02:50,13:07:09.820,366
2025-02-28 01:02:50,13:07:11.770,316
2025-02-28 01:02:50,13:07:13.270,0
2025-02-28 01:02:50,13:07:15.469,349
2025-02-28 01:02:50,13:07:17.070,0
2025-02-28 01:02:50,13:07:19.736,349
2025-02-28 01:02:50,13:07:21.353,0
2025-02-28 01:02:50,13:07:24.269,349
2025-02-28 01:02:50,13:07:28.052,503
2025-02-28 01:02:50,13:07:29.886,0
2025-02-28 01:02:50,13:07:32.535,349
2025-02-28 01:02:50,13:07:36.451,399
2025-02-28 01:02:50,13:07:40.151,832
2025-02-28 01:02:50,13:07:44.334,216
2025-02-28 01:02:50,13:07:46.584,533
2025-02-28 01:02:50,13:07:49.600,349
2025-02-28 01:02:50,13:07:51.150,0
2025-02-28 01:02:50,13:07:53.900,417
2025-02-28 01:02:50,13:07:54.233,0
2025-02-28 01:02:50,13:07:57.250,399
2025-02-28 01:02:50,13:08:00.599,549
2025-02-28 01:02:50,13:08:04.232,316
2025-02-28 01:02:50,13:08:06.832,516
2025-02-28 01:02:50,13:08:10.482,366
2025-02-28 01:02:50,13:08:12.598,416
2025-02-28 01:02:50,13:08:15.832,383
2025-02-28 01:02:50,13:08:17.198,0
2025-02-28 01:02:50,13:08:19.581,0
2025-02-28 01:02:50,13:08:21.298,0
2025-02-28 01:02:50,13:08:25.264,348
2025-02-28 01:02:50,13:08:30.397,549
2025-02-28 01:02:50,13:08:34.496,516
2025-02-28 01:02:50,13:08:38.463,483
2025-02-28 01:02:50,13:08:41.579,466
2025-02-28 01:02:50,13:08:44.163,0
2025-02-28 01:02:50,13:08:46.512,332
2025-02-28 01:02:50,13:08:49.895,716
2025-02-28 01:02:50,13:08:53.878,433
2025-02-28 01:02:50,13:08:58.578,333
2025-02-28 01:02:50,13:08:59.528,0
2025-02-28 01:02:50,13:09:03.510,399
2025-02-28 01:02:50,13:09:05.977,551
2025-02-28 01:02:50,13:09:07.477,0
2025-02-28 01:02:50,13:09:10.644,399
2025-02-28 01:02:50,13:09:13.410,280
2025-02-28 01:02:50,13:09:15.560,0
2025-02-28 01:02:50,13:09:18.076,0
2025-02-28 01:02:50,13:09:20.626,382
2025-02-28 01:02:50,13:09:22.226,0
2025-02-28 01:02:50,13:09:25.992,566
2025-02-28 01:02:50,13:09:29.958,516
2025-02-28 01:02:50,13:09:34.091,480
2025-02-28 01:02:50,13:09:37.941,499
2025-02-28 01:02:50,13:09:42.207,566
2025-02-28 01:02:50,13:09:46.257,413
2025-02-28 01:02:50,13:09:50.040,512
2025-02-28 01:02:50,13:09:53.907,599
2025-02-28 01:02:50,Sex,
2025-02-28 01:02:50,Test Duration in seconds,423
2025-02-28 01:02:50,Number of False Positives,24
2025-02-28 01:02:50,Average response time ,441
2025-02-28 01:02:50,Fastest response time ,216
2025-02-28 01:02:50,Slowest response time ,1132
2025-02-28 01:02:50,Count of response time over 500ms ,26
