Task,TapTime,Milliseconds
2025-03-05 01:46:11,13:46:14.945,272
2025-03-05 01:46:11,13:46:19.261,283
2025-03-05 01:46:11,13:46:21.428,316
2025-03-05 01:46:11,13:46:24.228,0
2025-03-05 01:46:11,13:46:26.477,299
2025-03-05 01:46:11,13:46:28.861,320
2025-03-05 01:46:11,13:46:33.444,144
2025-03-05 01:46:11,13:46:36.027,316
2025-03-05 01:46:11,13:46:40.427,0
2025-03-05 01:46:11,13:46:42.843,266
2025-03-05 01:46:11,13:46:46.793,0
2025-03-05 01:46:11,13:46:49.909,266
2025-03-05 01:46:11,13:46:53.893,316
2025-03-05 01:46:11,13:46:57.693,0
2025-03-05 01:46:11,13:47:00.576,0
2025-03-05 01:46:11,13:47:04.675,326
2025-03-05 01:46:11,13:47:08.158,249
2025-03-05 01:46:11,13:47:12.891,316
2025-03-05 01:46:11,13:47:16.207,285
2025-03-05 01:46:11,13:47:17.674,0
2025-03-05 01:46:11,13:47:20.974,399
2025-03-05 01:46:11,13:47:23.607,465
2025-03-05 01:46:11,13:47:25.990,0
2025-03-05 01:46:11,13:47:29.890,316
2025-03-05 01:46:11,13:47:32.573,866
2025-03-05 01:46:11,13:47:35.173,0
2025-03-05 01:46:11,13:47:39.856,283
2025-03-05 01:46:11,13:47:43.572,271
2025-03-05 01:46:11,13:47:48.155,316
2025-03-05 01:46:11,13:47:50.489,583
2025-03-05 01:46:11,13:47:54.889,0
2025-03-05 01:46:11,13:47:58.138,0
2025-03-05 01:46:11,13:48:02.837,266
2025-03-05 01:46:11,13:48:06.821,583
2025-03-05 01:46:11,13:48:09.270,366
2025-03-05 01:46:11,13:48:13.487,316
2025-03-05 01:46:11,13:48:17.870,299
2025-03-05 01:46:11,13:48:19.886,316
2025-03-05 01:46:11,13:48:23.103,466
2025-03-05 01:46:11,13:48:26.052,349
2025-03-05 01:46:11,13:48:30.370,0
2025-03-05 01:46:11,13:48:34.536,294
2025-03-05 01:46:11,13:48:37.135,499
2025-03-05 01:46:11,13:48:41.985,283
2025-03-05 01:46:11,13:48:46.368,266
2025-03-05 01:46:11,13:48:49.651,0
2025-03-05 01:46:11,13:48:54.067,33
2025-03-05 01:46:11,13:48:57.334,366
2025-03-05 01:46:11,13:49:00.883,316
2025-03-05 01:46:11,13:49:05.700,266
2025-03-05 01:46:11,13:49:07.800,366
2025-03-05 01:46:11,13:49:11.249,216
2025-03-05 01:46:11,13:49:14.466,299
2025-03-05 01:46:11,13:49:17.033,0
2025-03-05 01:46:11,13:49:20.182,276
2025-03-05 01:46:11,13:49:22.399,299
2025-03-05 01:46:11,13:49:24.232,66
2025-03-05 01:46:11,13:49:27.998,366
2025-03-05 01:46:11,13:49:32.614,344
2025-03-05 01:46:11,13:49:36.347,249
2025-03-05 01:46:11,13:49:39.864,0
2025-03-05 01:46:11,13:49:43.330,330
2025-03-05 01:46:11,13:49:45.931,0
2025-03-05 01:46:11,13:49:47.980,483
2025-03-05 01:46:11,13:49:51.513,349
2025-03-05 01:46:11,13:49:54.563,466
2025-03-05 01:46:11,13:49:57.830,333
2025-03-05 01:46:11,13:50:00.712,349
2025-03-05 01:46:11,13:50:03.446,0
2025-03-05 01:46:11,13:50:06.162,266
2025-03-05 01:46:11,13:50:08.945,849
