Task,TapTime,Milliseconds
2025-02-26 01:48:09,13:48:10.887,774
2025-02-26 01:48:09,13:48:15.620,281
2025-02-26 01:48:09,13:48:20.587,299
2025-02-26 01:48:09,13:48:22.603,364
2025-02-26 01:48:09,13:48:24.836,314
2025-02-26 01:48:09,13:48:28.336,264
2025-02-26 01:48:09,13:48:31.103,0
2025-02-26 01:48:09,13:48:34.069,747
2025-02-26 01:48:09,13:48:38.685,349
2025-02-26 01:48:09,13:48:41.668,297
2025-02-26 01:48:09,13:48:44.635,297
2025-02-26 01:48:09,13:48:48.068,281
2025-02-26 01:48:09,13:48:50.368,316
2025-02-26 01:48:09,13:48:53.418,331
2025-02-26 01:48:09,13:48:55.850,297
2025-02-26 01:48:09,13:48:58.150,264
2025-02-26 01:48:09,13:49:00.434,380
2025-02-26 01:48:09,13:49:00.533,0
2025-02-26 01:48:09,13:49:04.283,377
2025-02-26 01:48:09,13:49:08.850,233
2025-02-26 01:48:09,13:49:11.666,290
2025-02-26 01:48:09,13:49:14.149,297
2025-02-26 01:48:09,13:49:17.866,0
2025-02-26 01:48:09,13:49:20.366,0
2025-02-26 01:48:09,13:49:24.115,314
2025-02-26 01:48:09,13:49:27.515,497
2025-02-26 01:48:09,13:49:29.581,366
2025-02-26 01:48:09,13:49:31.614,297
2025-02-26 01:48:09,13:49:34.631,297
2025-02-26 01:48:09,13:49:39.114,297
2025-02-26 01:48:09,13:49:42.147,264
2025-02-26 01:48:09,13:49:45.230,282
2025-02-26 01:48:09,13:49:48.063,314
2025-02-26 01:48:09,13:49:50.180,481
2025-02-26 01:48:09,13:49:53.146,283
2025-02-26 01:48:09,13:49:56.396,331
2025-02-26 01:48:09,13:49:58.596,280
2025-02-26 01:48:09,13:50:01.612,332
2025-02-26 01:48:09,13:50:03.645,281
2025-02-26 01:48:09,13:50:05.845,331
2025-02-26 01:48:09,13:50:07.712,247
2025-02-26 01:48:09,13:50:10.128,314
2025-02-26 01:48:09,13:50:13.211,264
2025-02-26 01:48:09,13:50:18.194,297
2025-02-26 01:48:09,13:50:22.610,280
2025-02-26 01:48:09,13:50:24.844,414
2025-02-26 01:48:09,13:50:27.960,281
2025-02-26 01:48:09,13:50:30.843,297
2025-02-26 01:48:09,13:50:33.476,314
2025-02-26 01:48:09,13:50:36.759,303
2025-02-26 01:48:09,13:50:41.776,333
2025-02-26 01:48:09,13:50:44.592,316
2025-02-26 01:48:09,13:50:49.525,314
2025-02-26 01:48:09,13:50:52.909,0
2025-02-26 01:48:09,13:50:55.758,347
2025-02-26 01:48:09,13:50:59.557,297
2025-02-26 01:48:09,13:51:02.924,281
2025-02-26 01:48:09,13:51:06.457,297
2025-02-26 01:48:09,13:51:08.557,364
2025-02-26 01:48:09,13:51:12.574,281
2025-02-26 01:48:09,13:51:16.556,282
2025-02-26 01:48:09,13:51:21.156,314
2025-02-26 01:48:09,13:51:24.972,447
2025-02-26 01:48:09,13:51:29.039,664
2025-02-26 01:48:09,13:51:32.138,314
2025-02-26 01:48:09,13:51:34.138,382
2025-02-26 01:48:09,13:51:37.421,297
2025-02-26 01:48:09,13:51:40.454,297
2025-02-26 01:48:09,13:51:43.954,249
2025-02-26 01:48:09,13:51:48.070,297
2025-02-26 01:48:09,13:51:52.903,314
2025-02-26 01:48:09,13:51:55.287,297
2025-02-26 01:48:09,13:51:59.786,302
2025-02-26 01:48:09,13:52:03.719,347
2025-02-26 01:48:09,13:52:07.836,281
2025-02-26 01:48:09,13:52:10.652,481
2025-02-26 01:48:09,13:52:14.069,381
2025-02-26 01:48:09,13:52:17.268,282
2025-02-26 01:48:09,13:52:21.551,314
2025-02-26 01:48:09,13:52:24.051,338
2025-02-26 01:48:09,13:52:26.701,297
2025-02-26 01:48:09,13:52:29.517,297
2025-02-26 01:48:09,13:52:32.784,547
2025-02-26 01:48:09,13:52:35.550,297
2025-02-26 01:48:09,13:52:36.917,0
2025-02-26 01:48:09,13:52:39.200,347
2025-02-26 01:48:09,13:52:42.016,347
