Task,TapTime,Milliseconds
2025-03-05 10:43:20,10:43:22.669,282
2025-03-05 10:43:20,10:43:27.536,274
2025-03-05 10:43:20,10:43:31.286,290
2025-03-05 10:43:20,10:43:34.769,0
2025-03-05 10:43:20,10:43:38.385,266
2025-03-05 10:43:20,10:43:41.718,66
2025-03-05 10:43:20,10:43:45.534,282
2025-03-05 10:43:20,10:43:48.018,357
2025-03-05 10:43:20,10:43:50.634,242
2025-03-05 10:43:20,10:43:53.201,0
2025-03-05 10:43:20,10:43:55.834,0
2025-03-05 10:43:20,10:43:58.783,61
2025-03-05 10:43:20,10:44:01.350,397
2025-03-05 10:43:20,10:44:04.983,257
2025-03-05 10:43:20,10:44:08.216,23
2025-03-05 10:43:20,10:44:11.917,0
2025-03-05 10:43:20,10:44:15.449,196
2025-03-05 10:43:20,10:44:16.449,0
2025-03-05 10:43:20,10:44:19.149,0
2025-03-05 10:43:20,10:44:22.832,0
2025-03-05 10:43:20,10:44:26.616,0
2025-03-05 10:43:20,10:44:30.415,299
2025-03-05 10:43:20,10:44:32.881,428
2025-03-05 10:43:20,10:44:34.948,285
2025-03-05 10:43:20,10:44:37.447,251
2025-03-05 10:43:20,10:44:38.348,0
2025-03-05 10:43:20,10:44:40.465,0
2025-03-05 10:43:20,10:44:43.631,0
2025-03-05 10:43:20,10:44:46.463,317
2025-03-05 10:43:20,10:44:48.430,273
2025-03-05 10:43:20,10:44:52.463,283
2025-03-05 10:43:20,10:44:57.130,283
2025-03-05 10:43:20,10:45:00.346,299
2025-03-05 10:43:20,10:45:00.413,0
2025-03-05 10:43:20,10:45:03.796,0
2025-03-05 10:43:20,10:45:07.329,273
2025-03-05 10:43:20,10:45:10.895,183
2025-03-05 10:43:20,10:45:13.545,278
2025-03-05 10:43:20,10:45:16.361,316
2025-03-05 10:43:20,10:45:18.995,283
2025-03-05 10:43:20,10:45:22.328,0
2025-03-05 10:43:20,10:45:25.144,299
2025-03-05 10:43:20,10:45:27.361,446
2025-03-05 10:43:20,10:45:30.227,316
2025-03-05 10:43:20,10:45:33.461,283
2025-03-05 10:43:20,10:45:37.294,0
2025-03-05 10:43:20,10:45:39.460,416
2025-03-05 10:43:20,10:45:44.093,270
2025-03-05 10:43:20,10:45:46.460,483
2025-03-05 10:43:20,10:45:49.726,272
2025-03-05 10:43:20,10:45:52.726,0
2025-03-05 10:43:20,10:45:55.109,466
2025-03-05 10:43:20,10:45:57.375,399
2025-03-05 10:43:20,10:45:59.908,333
2025-03-05 10:43:20,10:46:02.141,297
2025-03-05 10:43:20,10:46:06.308,264
2025-03-05 10:43:20,10:46:10.307,266
2025-03-05 10:43:20,10:46:13.574,333
2025-03-05 10:43:20,10:46:17.374,266
2025-03-05 10:43:20,10:46:17.907,0
2025-03-05 10:43:20,10:46:20.440,333
2025-03-05 10:43:20,10:46:21.490,0
2025-03-05 10:43:20,10:46:24.090,302
2025-03-05 10:43:20,10:46:24.574,0
2025-03-05 10:43:20,10:46:28.640,61
2025-03-05 10:43:20,10:46:29.840,0
2025-03-05 10:43:20,10:46:33.390,0
2025-03-05 10:43:20,10:46:34.406,0
2025-03-05 10:43:20,10:46:38.656,283
2025-03-05 10:43:20,10:46:40.006,0
2025-03-05 10:43:20,10:46:44.372,258
2025-03-05 10:43:20,10:46:47.005,425
2025-03-05 10:43:20,10:46:47.972,0
2025-03-05 10:43:20,10:46:49.955,383
2025-03-05 10:43:20,10:46:50.489,0
2025-03-05 10:43:20,10:46:50.771,0
2025-03-05 10:43:20,10:46:52.988,283
2025-03-05 10:43:20,10:46:53.755,0
2025-03-05 10:43:20,10:46:53.971,0
2025-03-05 10:43:20,10:46:56.805,0
2025-03-05 10:43:20,10:47:01.121,0
2025-03-05 10:43:20,10:47:01.237,0
2025-03-05 10:43:20,10:47:04.721,277
2025-03-05 10:43:20,10:47:07.654,283
2025-03-05 10:43:20,10:47:10.504,284
2025-03-05 10:43:20,10:47:13.803,299
2025-03-05 10:43:20,10:47:16.970,333
2025-03-05 10:43:20,10:47:20.669,299
2025-03-05 10:43:20,10:47:22.669,408
2025-03-05 10:43:20,10:47:24.569,333
2025-03-05 10:43:20,10:47:28.085,283
2025-03-05 10:43:20,10:47:31.719,270
2025-03-05 10:43:20,10:47:35.168,266
2025-03-05 10:43:20,10:47:38.968,199
2025-03-05 10:43:20,10:47:41.434,449
2025-03-05 10:43:20,10:47:45.234,333
2025-03-05 10:43:20,10:47:47.951,449
2025-03-05 10:43:20,10:47:51.667,299
2025-03-05 10:43:20,10:47:54.300,266
2025-03-05 10:43:20,10:47:57.701,0
2025-03-05 10:43:20,10:48:00.950,249
2025-03-05 10:43:20,10:48:02.400,0
2025-03-05 10:43:20,10:48:05.650,0
2025-03-05 10:43:20,10:48:07.700,391
2025-03-05 10:43:20,10:48:08.816,0
2025-03-05 10:43:20,10:48:10.766,321
2025-03-05 10:43:20,10:48:11.599,0
2025-03-05 10:43:20,10:48:11.799,0
2025-03-05 10:43:20,10:48:15.516,0
2025-03-05 10:43:20,10:48:17.932,433
2025-03-05 10:43:20,10:48:19.399,0
2025-03-05 10:43:20,10:48:19.715,0
2025-03-05 10:43:20,10:48:21.932,290
2025-03-05 10:43:20,10:48:25.148,249
2025-03-05 10:43:20,10:48:28.482,0
2025-03-05 10:43:20,10:48:31.432,0
2025-03-05 10:43:20,10:48:34.348,0
2025-03-05 10:43:20,10:48:36.397,405
2025-03-05 10:43:20,10:48:38.914,349
2025-03-05 10:43:20,10:48:41.647,283
2025-03-05 10:43:20,10:48:46.263,277
2025-03-05 10:43:20,10:48:50.996,299
2025-03-05 10:43:20,10:48:53.179,349
2025-03-05 10:43:20,10:48:57.146,314
2025-03-05 10:43:20,10:49:01.629,333
2025-03-05 10:43:20,10:49:06.062,233
2025-03-05 10:43:20,10:49:10.211,316
2025-03-05 10:43:20,10:49:14.378,83
2025-03-05 10:43:20,10:49:17.711,549
2025-03-05 10:43:20,10:49:19.961,399
2025-03-05 10:43:20,10:49:24.510,282
2025-03-05 10:43:20,10:49:24.894,0
2025-03-05 10:43:20,10:49:28.627,278
2025-03-05 10:43:20,10:49:32.761,0
2025-03-05 10:43:20,10:49:34.793,499
2025-03-05 10:43:20,10:49:37.343,420
2025-03-05 10:43:20,10:49:40.176,283
2025-03-05 10:43:20,10:49:45.043,283
2025-03-05 10:43:20,10:49:48.392,299
2025-03-05 10:43:20,10:49:51.309,416
2025-03-05 10:43:20,10:49:54.742,0
2025-03-05 10:43:20,10:49:55.158,0
2025-03-05 10:43:20,10:49:58.325,299
2025-03-05 10:43:20,10:50:01.674,316
2025-03-05 10:43:20,10:50:04.125,499
2025-03-05 10:43:20,10:50:07.474,316
2025-03-05 10:43:20,10:50:10.541,283
2025-03-05 10:43:20,10:50:13.240,283
2025-03-05 10:43:20,10:50:15.490,333
2025-03-05 10:43:20,10:50:18.557,266
2025-03-05 10:43:20,10:50:21.573,283
2025-03-05 10:43:20,Sex,
2025-03-05 10:43:20,Test Duration in seconds,421
2025-03-05 10:43:20,Number of False Positives,47
2025-03-05 10:43:20,Average response time ,306
2025-03-05 10:43:20,Fastest response time ,23
2025-03-05 10:43:20,Slowest response time ,549
2025-03-05 10:43:20,Count of response time over 500ms ,1
