Task,TapTime,Milliseconds
2025-03-14 09:33:26,09:33:30.399,2799
2025-03-14 09:33:26,09:33:32.750,0
2025-03-14 09:33:26,09:33:34.999,514
2025-03-14 09:33:26,09:33:37.832,347
2025-03-14 09:33:26,09:33:42.665,266
2025-03-14 09:33:26,09:33:47.232,299
2025-03-14 09:33:26,09:33:50.064,262
2025-03-14 09:33:26,09:33:52.915,0
2025-03-14 09:33:26,09:33:55.348,0
2025-03-14 09:33:26,09:33:58.898,0
2025-03-14 09:33:26,09:34:01.997,266
2025-03-14 09:33:26,09:34:05.431,0
2025-03-14 09:33:26,09:34:07.830,475
2025-03-14 09:33:26,09:34:12.463,294
2025-03-14 09:33:26,09:34:14.912,449
2025-03-14 09:33:26,09:34:18.096,0
2025-03-14 09:33:26,09:34:22.479,283
2025-03-14 09:33:26,09:34:25.796,0
2025-03-14 09:33:26,09:34:29.328,399
2025-03-14 09:33:26,09:34:33.361,299
2025-03-14 09:33:26,09:34:33.961,0
2025-03-14 09:33:26,09:34:37.195,0
2025-03-14 09:33:26,09:34:41.577,49
2025-03-14 09:33:26,09:34:45.310,383
2025-03-14 09:33:26,09:34:49.410,283
2025-03-14 09:33:26,09:34:51.243,0
2025-03-14 09:33:26,09:34:54.726,266
2025-03-14 09:33:26,09:34:56.976,316
2025-03-14 09:33:26,09:34:59.009,283
2025-03-14 09:33:26,09:35:02.643,0
2025-03-14 09:33:26,09:35:04.992,206
2025-03-14 09:33:26,09:35:08.857,266
2025-03-14 09:33:26,09:35:11.658,266
2025-03-14 09:33:26,09:35:13.741,349
2025-03-14 09:33:26,09:35:17.257,66
2025-03-14 09:33:26,09:35:18.525,0
2025-03-14 09:33:26,09:35:20.524,333
2025-03-14 09:33:26,09:35:21.624,0
2025-03-14 09:33:26,09:35:21.840,0
2025-03-14 09:33:26,09:35:22.007,0
2025-03-14 09:33:26,09:35:23.974,0
2025-03-14 09:33:26,09:35:24.623,0
2025-03-14 09:33:26,09:35:26.057,0
2025-03-14 09:33:26,09:35:28.407,0
2025-03-14 09:33:26,09:35:28.506,0
2025-03-14 09:33:26,09:35:30.806,349
2025-03-14 09:33:26,09:35:33.556,280
2025-03-14 09:33:26,09:35:34.006,0
2025-03-14 09:33:26,09:35:36.273,283
2025-03-14 09:33:26,09:35:36.973,0
2025-03-14 09:33:26,09:35:37.256,0
2025-03-14 09:33:26,09:35:40.039,49
2025-03-14 09:33:26,09:35:42.089,280
2025-03-14 09:33:26,09:35:44.839,0
2025-03-14 09:33:26,09:35:45.138,0
2025-03-14 09:33:26,09:35:47.422,33
