Task,TapTime,Milliseconds
2025-02-26 11:26:01,11:26:03.389,314
2025-02-26 11:26:01,11:26:06.722,281
2025-02-26 11:26:01,11:26:09.539,264
2025-02-26 11:26:01,11:26:12.222,416
2025-02-26 11:26:01,11:26:15.522,281
2025-02-26 11:26:01,11:26:18.105,0
2025-02-26 11:26:01,11:26:18.654,0
2025-02-26 11:26:01,11:26:21.371,297
2025-02-26 11:26:01,11:26:23.855,381
2025-02-26 11:26:01,11:26:25.954,364
2025-02-26 11:26:01,11:26:30.087,297
2025-02-26 11:26:01,11:26:32.804,347
2025-02-26 11:26:01,11:26:37.587,297
2025-02-26 11:26:01,11:26:42.470,297
2025-02-26 11:26:01,11:26:45.020,431
2025-02-26 11:26:01,11:26:48.836,330
2025-02-26 11:26:01,11:26:53.102,281
2025-02-26 11:26:01,11:26:57.502,281
2025-02-26 11:26:01,11:27:00.735,297
2025-02-26 11:26:01,11:27:03.485,349
2025-02-26 11:26:01,11:27:05.818,331
2025-02-26 11:26:01,11:27:07.918,447
2025-02-26 11:26:01,11:27:11.901,331
2025-02-26 11:26:01,11:27:14.784,297
2025-02-26 11:26:01,11:27:18.583,264
2025-02-26 11:26:01,11:27:20.833,331
2025-02-26 11:26:01,11:27:22.766,314
2025-02-26 11:26:01,11:27:27.650,331
2025-02-26 11:26:01,11:27:32.499,280
2025-02-26 11:26:01,11:27:36.516,281
2025-02-26 11:26:01,11:27:41.398,323
2025-02-26 11:26:01,11:27:44.331,372
2025-02-26 11:26:01,11:27:46.614,349
2025-02-26 11:26:01,11:27:50.181,314
2025-02-26 11:26:01,11:27:54.531,297
2025-02-26 11:26:01,11:27:57.530,297
2025-02-26 11:26:01,11:28:01.880,297
2025-02-26 11:26:01,11:28:05.196,299
2025-02-26 11:26:01,11:28:08.129,297
2025-02-26 11:26:01,11:28:10.280,381
2025-02-26 11:26:01,11:28:15.246,314
2025-02-26 11:26:01,11:28:19.062,280
2025-02-26 11:26:01,11:28:22.945,347
2025-02-26 11:26:01,11:28:27.661,282
2025-02-26 11:26:01,11:28:29.778,347
2025-02-26 11:26:01,11:28:34.561,297
2025-02-26 11:26:01,11:28:37.894,331
2025-02-26 11:26:01,11:28:41.194,331
2025-02-26 11:26:01,11:28:45.960,332
2025-02-26 11:26:01,11:28:48.860,330
2025-02-26 11:26:01,11:28:51.593,314
2025-02-26 11:26:01,11:28:56.492,297
2025-02-26 11:26:01,11:28:58.542,364
2025-02-26 11:26:01,11:28:59.842,0
2025-02-26 11:26:01,11:29:00.409,0
2025-02-26 11:26:01,11:29:02.376,281
2025-02-26 11:26:01,11:29:04.925,297
2025-02-26 11:26:01,11:29:08.358,281
2025-02-26 11:26:01,11:29:12.041,381
2025-02-26 11:26:01,11:29:16.108,330
2025-02-26 11:26:01,11:29:19.157,332
2025-02-26 11:26:01,11:29:23.540,314
2025-02-26 11:26:01,11:29:25.857,464
2025-02-26 11:26:01,11:29:30.040,299
2025-02-26 11:26:01,11:29:32.940,364
2025-02-26 11:26:01,11:29:37.206,0
2025-02-26 11:26:01,11:29:41.522,297
2025-02-26 11:26:01,11:29:45.805,447
2025-02-26 11:26:01,11:29:48.688,366
2025-02-26 11:26:01,11:29:50.772,431
2025-02-26 11:26:01,11:29:52.938,297
2025-02-26 11:26:01,11:29:57.421,347
2025-02-26 11:26:01,11:30:02.454,347
2025-02-26 11:26:01,11:30:05.204,331
2025-02-26 11:26:01,11:30:08.320,316
2025-02-26 11:26:01,11:30:11.287,314
2025-02-26 11:26:01,11:30:15.953,331
2025-02-26 11:26:01,11:30:18.469,380
2025-02-26 11:26:01,11:30:21.469,366
2025-02-26 11:26:01,11:30:22.503,0
2025-02-26 11:26:01,11:30:26.919,364
2025-02-26 11:26:01,11:30:31.885,364
2025-02-26 11:26:01,11:30:34.918,464
2025-02-26 11:26:01,11:30:37.184,347
2025-02-26 11:26:01,11:30:41.334,331
2025-02-26 11:26:01,11:30:43.567,432
2025-02-26 11:26:01,11:30:47.551,297
2025-02-26 11:26:01,11:30:51.067,314
2025-02-26 11:26:01,11:30:53.883,347
2025-02-26 11:26:01,11:30:56.900,299
2025-02-26 11:26:01,11:31:01.266,364
2025-02-26 11:26:01,11:31:06.066,381
2025-02-26 11:26:01,11:31:09.099,380
2025-02-26 11:26:01,11:31:11.215,364
2025-02-26 11:26:01,11:31:15.665,299
2025-02-26 11:26:01,11:31:17.815,397
2025-02-26 11:26:01,11:31:20.398,397
2025-02-26 11:26:01,11:31:23.131,331
2025-02-26 11:26:01,11:31:26.180,332
2025-02-26 11:26:01,11:31:30.331,331
2025-02-26 11:26:01,11:31:32.447,414
2025-02-26 11:26:01,11:31:35.563,314
2025-02-26 11:26:01,11:31:38.463,374
2025-02-26 11:26:01,11:31:41.546,314
2025-02-26 11:26:01,11:31:44.613,281
2025-02-26 11:26:01,11:31:46.963,331
2025-02-26 11:26:01,11:31:49.012,347
2025-02-26 11:26:01,11:31:52.695,332
2025-02-26 11:26:01,11:31:56.012,364
2025-02-26 11:26:01,11:31:58.528,314
2025-02-26 11:26:01,11:32:01.179,0
2025-02-26 11:26:01,11:32:05.128,316
2025-02-26 11:26:01,11:32:09.944,297
2025-02-26 11:26:01,11:32:14.110,480
2025-02-26 11:26:01,11:32:17.194,366
2025-02-26 11:26:01,11:32:20.360,331
2025-02-26 11:26:01,11:32:22.510,497
2025-02-26 11:26:01,11:32:27.409,447
2025-02-26 11:26:01,11:32:31.209,314
2025-02-26 11:26:01,11:32:34.942,281
2025-02-26 11:26:01,11:32:39.258,314
2025-02-26 11:26:01,11:32:42.892,347
2025-02-26 11:26:01,11:32:45.125,399
2025-02-26 11:26:01,11:32:47.908,314
2025-02-26 11:26:01,11:32:51.191,264
2025-02-26 11:26:01,11:32:54.941,397
2025-02-26 11:26:01,11:32:59.323,362
2025-02-26 11:26:01,11:33:03.657,399
2025-02-26 11:26:01,Sex,
2025-02-26 11:26:01,Test Duration in seconds,422
2025-02-26 11:26:01,Number of False Positives,7
2025-02-26 11:26:01,Average response time ,338
2025-02-26 11:26:01,Fastest response time ,264
2025-02-26 11:26:01,Slowest response time ,497
2025-02-26 11:26:01,Count of response time over 500ms ,0
