Task,TapTime,Milliseconds
2025-02-28 10:03:11,10:03:11.149,0
2025-02-28 10:03:11,10:03:14.131,382
2025-02-28 10:03:11,10:03:16.648,614
2025-02-28 10:03:11,10:03:20.847,432
2025-02-28 10:03:11,10:03:25.298,483
2025-02-28 10:03:11,10:03:30.280,599
2025-02-28 10:03:11,10:03:31.480,0
2025-02-28 10:03:11,10:03:34.646,408
2025-02-28 10:03:11,10:03:39.696,549
2025-02-28 10:03:11,10:03:43.112,440
2025-02-28 10:03:11,10:03:47.095,416
2025-02-28 10:03:11,10:03:51.378,610
2025-02-28 10:03:11,10:03:54.111,478
2025-02-28 10:03:11,10:03:59.328,649
2025-02-28 10:03:11,10:04:02.727,625
2025-02-28 10:03:11,10:04:07.160,882
2025-02-28 10:03:11,10:04:11.161,0
2025-02-28 10:03:11,10:04:14.010,297
2025-02-28 10:03:11,10:04:16.593,449
2025-02-28 10:03:11,10:04:19.409,866
2025-02-28 10:03:11,10:04:20.493,0
2025-02-28 10:03:11,10:04:24.693,483
2025-02-28 10:03:11,10:04:28.942,466
2025-02-28 10:03:11,10:04:33.941,532
2025-02-28 10:03:11,10:04:37.108,632
2025-02-28 10:03:11,10:04:42.041,499
2025-02-28 10:03:11,10:04:47.040,432
2025-02-28 10:03:11,10:04:50.807,532
2025-02-28 10:03:11,10:04:54.406,466
2025-02-28 10:03:11,10:04:57.039,547
2025-02-28 10:03:11,10:04:59.122,516
2025-02-28 10:03:11,10:05:02.406,444
2025-02-28 10:03:11,10:05:06.389,449
2025-02-28 10:03:11,10:05:10.705,433
2025-02-28 10:03:11,10:05:12.988,583
2025-02-28 10:03:11,10:05:16.738,0
2025-02-28 10:03:11,10:05:21.638,433
2025-02-28 10:03:11,10:05:24.120,716
2025-02-28 10:03:11,10:05:28.787,383
2025-02-28 10:03:11,10:05:31.903,699
2025-02-28 10:03:11,10:05:34.386,582
2025-02-28 10:03:11,10:05:38.436,432
2025-02-28 10:03:11,10:05:41.535,532
2025-02-28 10:03:11,10:05:45.585,449
2025-02-28 10:03:11,10:05:49.635,499
2025-02-28 10:03:11,10:05:52.918,516
2025-02-28 10:03:11,10:05:57.718,449
2025-02-28 10:03:11,10:06:01.967,432
2025-02-28 10:03:11,10:06:05.467,447
2025-02-28 10:03:11,10:06:08.667,466
2025-02-28 10:03:11,10:06:10.917,449
2025-02-28 10:03:11,10:06:13.933,466
2025-02-28 10:03:11,10:06:18.183,449
2025-02-28 10:03:11,10:06:21.382,468
2025-02-28 10:03:11,10:06:23.732,532
2025-02-28 10:03:11,10:06:26.298,444
2025-02-28 10:03:11,10:06:28.915,449
2025-02-28 10:03:11,10:06:31.715,449
2025-02-28 10:03:11,10:06:35.031,499
2025-02-28 10:03:11,10:06:35.648,0
2025-02-28 10:03:11,10:06:40.681,416
2025-02-28 10:03:11,10:06:43.997,847
2025-02-28 10:03:11,10:06:47.147,464
2025-02-28 10:03:11,10:06:50.596,732
2025-02-28 10:03:11,10:06:54.596,599
2025-02-28 10:03:11,10:06:58.479,416
2025-02-28 10:03:11,10:07:03.079,482
2025-02-28 10:03:11,10:07:06.062,599
2025-02-28 10:03:11,10:07:11.144,389
2025-02-28 10:03:11,10:07:14.595,532
2025-02-28 10:03:11,10:07:16.644,497
2025-02-28 10:03:11,10:07:21.277,349
2025-02-28 10:03:11,10:07:26.294,432
2025-02-28 10:03:11,10:07:31.460,580
2025-02-28 10:03:11,10:07:36.209,482
2025-02-28 10:03:11,10:07:39.042,516
2025-02-28 10:03:11,10:07:42.542,440
2025-02-28 10:03:11,10:07:46.192,447
2025-02-28 10:03:11,10:07:50.808,416
2025-02-28 10:03:11,10:07:53.008,616
2025-02-28 10:03:11,10:07:55.708,382
2025-02-28 10:03:11,10:07:59.841,449
2025-02-28 10:03:11,10:08:02.574,582
2025-02-28 10:03:11,10:08:05.657,646
2025-02-28 10:03:11,10:08:09.173,449
2025-02-28 10:03:11,10:08:12.973,582
2025-02-28 10:03:11,10:08:17.773,449
2025-02-28 10:03:11,10:08:22.406,530
2025-02-28 10:03:11,10:08:27.422,899
2025-02-28 10:03:11,10:08:32.005,549
2025-02-28 10:03:11,10:08:34.671,482
2025-02-28 10:03:11,10:08:39.337,549
2025-02-28 10:03:11,10:08:44.470,549
2025-02-28 10:03:11,10:08:46.987,799
2025-02-28 10:03:11,10:08:50.337,326
2025-02-28 10:03:11,10:08:54.620,566
2025-02-28 10:03:11,10:08:57.403,597
2025-02-28 10:03:11,10:08:59.636,582
2025-02-28 10:03:11,10:09:01.936,416
2025-02-28 10:03:11,10:09:06.252,332
2025-02-28 10:03:11,10:09:09.235,382
2025-02-28 10:03:11,10:09:12.735,344
2025-02-28 10:03:11,10:09:16.235,355
2025-02-28 10:03:11,10:09:20.667,349
2025-02-28 10:03:11,10:09:23.267,482
2025-02-28 10:03:11,10:09:26.051,0
2025-02-28 10:03:11,10:09:30.217,341
2025-02-28 10:03:11,10:09:33.283,499
2025-02-28 10:03:11,10:09:37.499,398
2025-02-28 10:03:11,10:09:41.266,372
2025-02-28 10:03:11,10:09:44.449,399
2025-02-28 10:03:11,10:09:48.965,382
2025-02-28 10:03:11,10:09:53.198,416
2025-02-28 10:03:11,10:09:58.281,534
2025-02-28 10:03:11,10:10:01.897,582
2025-02-28 10:03:11,10:10:05.697,516
2025-02-28 10:03:11,10:10:07.980,466
2025-02-28 10:03:11,10:10:10.063,482
2025-02-28 10:03:11,10:10:13.246,466
2025-02-28 10:03:11,Sex,
2025-02-28 10:03:11,Test Duration in seconds,422
2025-02-28 10:03:11,Number of False Positives,7
2025-02-28 10:03:11,Average response time ,501
2025-02-28 10:03:11,Fastest response time ,297
2025-02-28 10:03:11,Slowest response time ,899
2025-02-28 10:03:11,Count of response time over 500ms ,43
