Task,TapTime,Milliseconds
2025-03-05 11:38:46,11:38:49.358,333
2025-03-05 11:38:46,11:38:50.992,0
2025-03-05 11:38:46,11:38:52.742,0
2025-03-05 11:38:46,11:38:56.874,283
2025-03-05 11:38:46,11:39:01.608,283
2025-03-05 11:38:46,11:39:04.640,332
2025-03-05 11:38:46,11:39:07.874,0
2025-03-05 11:38:46,11:39:10.890,299
2025-03-05 11:38:46,11:39:14.256,333
2025-03-05 11:38:46,11:39:19.039,249
2025-03-05 11:38:46,11:39:22.956,366
2025-03-05 11:38:46,11:39:24.906,383
2025-03-05 11:38:46,11:39:27.072,283
2025-03-05 11:38:46,11:39:29.005,349
2025-03-05 11:38:46,11:39:31.422,0
2025-03-05 11:38:46,11:39:34.171,316
2025-03-05 11:38:46,11:39:37.938,16
2025-03-05 11:38:46,11:39:41.738,149
2025-03-05 11:38:46,11:39:45.471,283
2025-03-05 11:38:46,11:39:47.854,262
2025-03-05 11:38:46,11:39:49.654,262
2025-03-05 11:38:46,11:39:51.621,0
2025-03-05 11:38:46,11:39:53.021,0
2025-03-05 11:38:46,11:39:55.354,0
2025-03-05 11:38:46,11:39:57.453,399
2025-03-05 11:38:46,11:39:59.720,399
2025-03-05 11:38:46,11:40:02.553,299
2025-03-05 11:38:46,11:40:06.252,266
2025-03-05 11:38:46,11:40:09.186,266
2025-03-05 11:38:46,11:40:11.536,0
2025-03-05 11:38:46,11:40:14.153,0
2025-03-05 11:38:46,11:40:16.585,303
2025-03-05 11:38:46,11:40:20.268,282
2025-03-05 11:38:46,11:40:23.568,149
2025-03-05 11:38:46,11:40:26.001,416
2025-03-05 11:38:46,11:40:28.218,233
2025-03-05 11:38:46,11:40:30.601,283
2025-03-05 11:38:46,11:40:32.518,0
2025-03-05 11:38:46,11:40:35.284,0
2025-03-05 11:38:46,11:40:37.618,0
2025-03-05 11:38:46,11:40:40.234,316
2025-03-05 11:38:46,11:40:42.984,0
2025-03-05 11:38:46,11:40:46.416,299
2025-03-05 11:38:46,11:40:49.033,449
2025-03-05 11:38:46,11:40:52.283,299
2025-03-05 11:38:46,11:40:55.182,60
2025-03-05 11:38:46,11:40:58.216,299
2025-03-05 11:38:46,11:41:00.449,333
2025-03-05 11:38:46,11:41:02.683,0
2025-03-05 11:38:46,11:41:04.749,0
2025-03-05 11:38:46,11:41:07.149,0
2025-03-05 11:38:46,11:41:09.465,283
2025-03-05 11:38:46,11:41:13.431,383
2025-03-05 11:38:46,11:41:16.081,332
2025-03-05 11:38:46,11:41:19.247,266
2025-03-05 11:38:46,11:41:22.847,296
2025-03-05 11:38:46,11:41:24.980,399
2025-03-05 11:38:46,11:41:27.264,0
2025-03-05 11:38:46,11:41:29.781,0
2025-03-05 11:38:46,11:41:32.580,281
2025-03-05 11:38:46,11:41:34.696,449
2025-03-05 11:38:46,11:41:37.229,316
2025-03-05 11:38:46,11:41:39.796,349
2025-03-05 11:38:46,11:41:41.763,0
2025-03-05 11:38:46,11:41:45.013,0
2025-03-05 11:38:46,11:41:47.378,393
2025-03-05 11:38:46,11:41:49.795,336
2025-03-05 11:38:46,11:41:52.346,0
2025-03-05 11:38:46,11:41:54.562,49
2025-03-05 11:38:46,11:41:56.645,333
2025-03-05 11:38:46,11:41:58.945,0
2025-03-05 11:38:46,11:42:00.845,0
2025-03-05 11:38:46,11:42:02.845,0
2025-03-05 11:38:46,11:42:04.662,0
2025-03-05 11:38:46,11:42:06.645,0
2025-03-05 11:38:46,11:42:08.295,0
2025-03-05 11:38:46,11:42:10.477,299
2025-03-05 11:38:46,11:42:12.378,0
2025-03-05 11:38:46,11:42:15.361,0
2025-03-05 11:38:46,11:42:18.111,0
2025-03-05 11:38:46,11:42:20.710,333
2025-03-05 11:38:46,11:42:22.760,516
2025-03-05 11:38:46,11:42:24.777,0
2025-03-05 11:38:46,11:42:27.493,183
2025-03-05 11:38:46,11:42:32.042,263
2025-03-05 11:38:46,11:42:36.875,286
2025-03-05 11:38:46,11:42:40.909,0
2025-03-05 11:38:46,11:42:43.692,0
2025-03-05 11:38:46,11:42:47.375,322
2025-03-05 11:38:46,11:42:50.457,411
2025-03-05 11:38:46,11:42:54.575,0
2025-03-05 11:38:46,11:42:58.174,266
2025-03-05 11:38:46,11:43:00.157,383
2025-03-05 11:38:46,11:43:03.174,0
2025-03-05 11:38:46,11:43:06.891,0
2025-03-05 11:38:46,11:43:10.090,300
2025-03-05 11:38:46,11:43:13.623,309
2025-03-05 11:38:46,11:43:16.439,264
2025-03-05 11:38:46,11:43:18.856,281
2025-03-05 11:38:46,11:43:21.572,263
2025-03-05 11:38:46,11:43:24.089,316
2025-03-05 11:38:46,11:43:26.089,0
2025-03-05 11:38:46,11:43:28.489,0
2025-03-05 11:38:46,11:43:30.822,0
2025-03-05 11:38:46,11:43:33.288,249
2025-03-05 11:38:46,11:43:36.172,0
2025-03-05 11:38:46,11:43:38.771,256
2025-03-05 11:38:46,11:43:42.021,0
2025-03-05 11:38:46,11:43:43.121,0
2025-03-05 11:38:46,11:43:45.237,458
2025-03-05 11:38:46,11:43:48.721,0
2025-03-05 11:38:46,11:43:52.103,335
2025-03-05 11:38:46,11:43:56.053,302
2025-03-05 11:38:46,11:44:00.119,347
2025-03-05 11:38:46,11:44:04.152,312
2025-03-05 11:38:46,11:44:08.169,259
2025-03-05 11:38:46,11:44:12.002,151
2025-03-05 11:38:46,11:44:16.052,300
2025-03-05 11:38:46,11:44:18.935,432
2025-03-05 11:38:46,11:44:20.868,366
2025-03-05 11:38:46,11:44:23.085,0
