Task,TapTime,Milliseconds
2025-02-26 12:58:19,12:58:22.242,314
2025-02-26 12:58:19,12:58:24.959,253
2025-02-26 12:58:19,12:58:27.658,247
2025-02-26 12:58:19,12:58:29.642,0
2025-02-26 12:58:19,12:58:32.758,0
2025-02-26 12:58:19,12:58:37.174,266
2025-02-26 12:58:19,12:58:39.140,314
2025-02-26 12:58:19,12:58:41.174,0
2025-02-26 12:58:19,12:58:44.874,0
2025-02-26 12:58:19,12:58:47.557,447
2025-02-26 12:58:19,12:58:51.957,314
2025-02-26 12:58:19,12:58:55.789,297
2025-02-26 12:58:19,12:58:57.990,0
2025-02-26 12:58:19,12:59:02.439,297
2025-02-26 12:58:19,12:59:05.805,281
2025-02-26 12:58:19,12:59:10.072,283
2025-02-26 12:58:19,12:59:14.888,283
2025-02-26 12:58:19,12:59:18.504,264
2025-02-26 12:58:19,12:59:21.821,281
2025-02-26 12:58:19,12:59:26.770,281
2025-02-26 12:58:19,12:59:31.403,280
2025-02-26 12:58:19,12:59:36.136,331
2025-02-26 12:58:19,12:59:39.536,231
2025-02-26 12:58:19,12:59:43.303,231
2025-02-26 12:58:19,12:59:45.920,0
2025-02-26 12:58:19,12:59:46.018,0
2025-02-26 12:58:19,12:59:49.269,0
2025-02-26 12:58:19,12:59:51.735,364
2025-02-26 12:58:19,12:59:55.785,297
2025-02-26 12:58:19,13:00:00.084,330
2025-02-26 12:58:19,13:00:03.268,331
2025-02-26 12:58:19,13:00:04.384,0
2025-02-26 12:58:19,13:00:06.401,366
2025-02-26 12:58:19,13:00:10.367,447
2025-02-26 12:58:19,13:00:13.650,347
2025-02-26 12:58:19,13:00:15.800,364
2025-02-26 12:58:19,13:00:20.166,264
2025-02-26 12:58:19,13:00:22.200,0
2025-02-26 12:58:19,13:00:25.466,372
2025-02-26 12:58:19,13:00:28.349,362
2025-02-26 12:58:19,13:00:30.415,321
2025-02-26 12:58:19,13:00:33.398,314
2025-02-26 12:58:19,13:00:35.648,131
2025-02-26 12:58:19,13:00:40.365,271
2025-02-26 12:58:19,13:00:42.765,0
2025-02-26 12:58:19,13:00:45.948,331
2025-02-26 12:58:19,13:00:48.031,297
2025-02-26 12:58:19,13:00:49.414,0
2025-02-26 12:58:19,13:00:51.648,0
2025-02-26 12:58:19,13:00:56.497,314
2025-02-26 12:58:19,13:00:58.114,0
2025-02-26 12:58:19,13:01:01.630,347
2025-02-26 12:58:19,13:01:03.680,0
2025-02-26 12:58:19,13:01:05.729,281
2025-02-26 12:58:19,13:01:09.862,347
2025-02-26 12:58:19,13:01:12.662,880
2025-02-26 12:58:19,13:01:14.945,414
2025-02-26 12:58:19,13:01:19.062,0
2025-02-26 12:58:19,13:01:23.945,347
2025-02-26 12:58:19,13:01:28.244,449
2025-02-26 12:58:19,13:01:30.494,431
2025-02-26 12:58:19,13:01:34.727,264
2025-02-26 12:58:19,13:01:37.394,347
2025-02-26 12:58:19,13:01:38.410,0
2025-02-26 12:58:19,13:01:41.793,397
2025-02-26 12:58:19,13:01:45.476,382
2025-02-26 12:58:19,13:01:48.543,266
2025-02-26 12:58:19,13:01:51.376,0
2025-02-26 12:58:19,13:01:53.592,347
2025-02-26 12:58:19,13:01:57.625,264
2025-02-26 12:58:19,13:02:00.458,364
2025-02-26 12:58:19,13:02:03.225,331
2025-02-26 12:58:19,13:02:06.225,314
2025-02-26 12:58:19,13:02:07.342,0
2025-02-26 12:58:19,13:02:11.457,247
2025-02-26 12:58:19,13:02:16.041,297
2025-02-26 12:58:19,13:02:20.257,247
2025-02-26 12:58:19,13:02:22.307,380
2025-02-26 12:58:19,13:02:23.657,0
2025-02-26 12:58:19,13:02:25.823,231
2025-02-26 12:58:19,13:02:28.390,0
2025-02-26 12:58:19,13:02:30.107,0
2025-02-26 12:58:19,13:02:32.106,0
2025-02-26 12:58:19,13:02:34.406,0
2025-02-26 12:58:19,13:02:38.605,314
2025-02-26 12:58:19,13:02:41.272,331
2025-02-26 12:58:19,13:02:45.655,331
2025-02-26 12:58:19,13:02:48.605,266
2025-02-26 12:58:19,13:02:51.605,0
2025-02-26 12:58:19,13:02:56.138,431
2025-02-26 12:58:19,13:02:58.721,331
2025-02-26 12:58:19,13:02:59.588,0
2025-02-26 12:58:19,13:03:02.320,364
2025-02-26 12:58:19,13:03:05.204,281
2025-02-26 12:58:19,13:03:08.070,314
2025-02-26 12:58:19,13:03:11.219,392
2025-02-26 12:58:19,13:03:13.185,297
2025-02-26 12:58:19,13:03:17.569,264
2025-02-26 12:58:19,13:03:20.786,281
2025-02-26 12:58:19,13:03:24.819,264
2025-02-26 12:58:19,13:03:29.085,247
2025-02-26 12:58:19,13:03:31.368,466
2025-02-26 12:58:19,13:03:33.284,130
2025-02-26 12:58:19,13:03:35.635,0
2025-02-26 12:58:19,13:03:37.784,416
2025-02-26 12:58:19,13:03:40.101,0
2025-02-26 12:58:19,13:03:41.718,0
2025-02-26 12:58:19,13:03:43.684,0
2025-02-26 12:58:19,13:03:43.767,0
2025-02-26 12:58:19,13:03:47.801,0
2025-02-26 12:58:19,13:03:51.750,331
2025-02-26 12:58:19,13:03:54.666,364
2025-02-26 12:58:19,13:03:58.749,332
2025-02-26 12:58:19,13:04:02.799,297
2025-02-26 12:58:19,13:04:07.115,332
2025-02-26 12:58:19,13:04:11.515,314
2025-02-26 12:58:19,13:04:14.731,449
2025-02-26 12:58:19,13:04:16.765,381
2025-02-26 12:58:19,13:04:18.864,364
2025-02-26 12:58:19,13:04:21.397,297
2025-02-26 12:58:19,13:04:22.298,0
2025-02-26 12:58:19,13:04:25.931,281
2025-02-26 12:58:19,13:04:27.398,0
2025-02-26 12:58:19,13:04:32.096,330
2025-02-26 12:58:19,13:04:34.846,364
2025-02-26 12:58:19,13:04:37.380,0
2025-02-26 12:58:19,13:04:42.362,349
2025-02-26 12:58:19,13:04:45.162,344
2025-02-26 12:58:19,13:04:46.329,0
2025-02-26 12:58:19,13:04:51.412,431
2025-02-26 12:58:19,13:04:54.745,532
2025-02-26 12:58:19,13:04:56.911,382
2025-02-26 12:58:19,13:04:59.311,697
2025-02-26 12:58:19,13:05:01.328,314
2025-02-26 12:58:19,13:05:06.211,264
2025-02-26 12:58:19,13:05:09.478,0
2025-02-26 12:58:19,13:05:14.277,247
2025-02-26 12:58:19,13:05:17.626,297
2025-02-26 12:58:19,13:05:20.960,287
2025-02-26 12:58:19,Sex,
2025-02-26 12:58:19,Test Duration in seconds,421
2025-02-26 12:58:19,Number of False Positives,37
2025-02-26 12:58:19,Average response time ,331
2025-02-26 12:58:19,Fastest response time ,130
2025-02-26 12:58:19,Slowest response time ,880
2025-02-26 12:58:19,Count of response time over 500ms ,3
