Task,TapTime,Milliseconds
2025-02-28 10:28:07,10:28:08.831,364
2025-02-28 10:28:07,10:28:11.281,283
2025-02-28 10:28:07,10:28:14.914,316
2025-02-28 10:28:07,10:28:18.697,288
2025-02-28 10:28:07,10:28:22.763,299
2025-02-28 10:28:07,10:28:26.397,333
2025-02-28 10:28:07,10:28:28.147,0
2025-02-28 10:28:07,10:28:31.313,249
2025-02-28 10:28:07,10:28:33.896,344
2025-02-28 10:28:07,10:28:38.679,264
2025-02-28 10:28:07,10:28:39.679,0
2025-02-28 10:28:07,10:28:44.328,351
2025-02-28 10:28:07,10:28:48.762,299
2025-02-28 10:28:07,10:28:52.545,283
2025-02-28 10:28:07,10:28:54.627,426
2025-02-28 10:28:07,10:28:57.611,282
2025-02-28 10:28:07,10:28:59.661,333
2025-02-28 10:28:07,10:29:02.694,280
2025-02-28 10:28:07,10:29:06.710,49
2025-02-28 10:28:07,10:29:10.743,282
2025-02-28 10:28:07,10:29:14.009,282
2025-02-28 10:28:07,10:29:17.159,299
2025-02-28 10:28:07,10:29:20.126,914
2025-02-28 10:28:07,10:29:23.009,349
2025-02-28 10:28:07,10:29:25.709,0
2025-02-28 10:28:07,10:29:27.342,0
2025-02-28 10:28:07,10:29:29.191,266
2025-02-28 10:28:07,10:29:32.974,516
2025-02-28 10:28:07,10:29:35.824,366
2025-02-28 10:28:07,10:29:38.890,366
2025-02-28 10:28:07,10:29:42.607,349
2025-02-28 10:28:07,10:29:46.923,399
2025-02-28 10:28:07,10:29:50.289,299
2025-02-28 10:28:07,10:29:55.056,399
2025-02-28 10:28:07,10:29:59.405,248
2025-02-28 10:28:07,10:30:01.522,399
2025-02-28 10:28:07,10:30:05.005,253
2025-02-28 10:28:07,10:30:08.005,349
2025-02-28 10:28:07,10:30:10.804,349
2025-02-28 10:28:07,10:30:15.004,349
2025-02-28 10:28:07,10:30:18.170,316
2025-02-28 10:28:07,10:30:20.471,283
2025-02-28 10:28:07,10:30:22.703,249
2025-02-28 10:28:07,10:30:25.937,264
2025-02-28 10:28:07,10:30:28.286,299
2025-02-28 10:28:07,10:30:31.170,0
2025-02-28 10:28:07,10:30:35.986,576
2025-02-28 10:28:07,10:30:38.269,0
2025-02-28 10:28:07,10:30:39.986,0
2025-02-28 10:28:07,10:30:42.102,316
2025-02-28 10:28:07,10:30:45.652,242
2025-02-28 10:28:07,10:30:47.352,0
2025-02-28 10:28:07,10:30:51.268,282
2025-02-28 10:28:07,10:30:54.751,299
2025-02-28 10:28:07,10:30:57.367,316
2025-02-28 10:28:07,10:31:00.933,349
2025-02-28 10:28:07,10:31:04.367,316
2025-02-28 10:28:07,10:31:06.316,332
2025-02-28 10:28:07,10:31:08.000,0
2025-02-28 10:28:07,10:31:09.933,0
2025-02-28 10:28:07,10:31:12.716,307
2025-02-28 10:28:07,10:31:15.200,0
2025-02-28 10:28:07,10:31:17.765,316
2025-02-28 10:28:07,10:31:22.548,299
2025-02-28 10:28:07,10:31:26.648,239
2025-02-28 10:28:07,10:31:29.165,415
2025-02-28 10:28:07,10:31:32.532,0
2025-02-28 10:28:07,10:31:35.015,0
2025-02-28 10:28:07,10:31:35.264,0
2025-02-28 10:28:07,10:31:38.331,349
2025-02-28 10:28:07,10:31:41.264,349
2025-02-28 10:28:07,10:31:43.914,466
2025-02-28 10:28:07,10:31:47.113,332
2025-02-28 10:28:07,10:31:49.313,266
2025-02-28 10:28:07,10:31:52.096,316
2025-02-28 10:28:07,10:31:55.063,0
2025-02-28 10:28:07,10:31:57.463,0
2025-02-28 10:28:07,10:31:59.745,366
2025-02-28 10:28:07,10:32:04.562,361
2025-02-28 10:28:07,10:32:06.795,0
2025-02-28 10:28:07,10:32:09.512,0
2025-02-28 10:28:07,10:32:12.311,297
2025-02-28 10:28:07,10:32:15.411,432
2025-02-28 10:28:07,10:32:18.611,280
2025-02-28 10:28:07,10:32:23.493,276
2025-02-28 10:28:07,10:32:28.526,325
2025-02-28 10:28:07,10:32:31.659,282
2025-02-28 10:28:07,10:32:36.342,299
2025-02-28 10:28:07,10:32:39.109,332
2025-02-28 10:28:07,10:32:40.859,0
2025-02-28 10:28:07,10:32:44.125,349
2025-02-28 10:28:07,10:32:46.159,0
2025-02-28 10:28:07,10:32:50.741,299
2025-02-28 10:28:07,10:32:52.342,0
2025-02-28 10:28:07,10:32:54.441,367
2025-02-28 10:28:07,10:32:56.624,449
2025-02-28 10:28:07,10:33:00.240,316
2025-02-28 10:28:07,10:33:04.223,360
2025-02-28 10:28:07,10:33:07.840,332
2025-02-28 10:28:07,10:33:11.489,306
2025-02-28 10:28:07,10:33:15.590,0
2025-02-28 10:28:07,10:33:18.505,314
2025-02-28 10:28:07,10:33:21.805,408
2025-02-28 10:28:07,10:33:25.105,332
2025-02-28 10:28:07,10:33:28.454,360
2025-02-28 10:28:07,10:33:31.621,316
2025-02-28 10:28:07,10:33:34.654,349
2025-02-28 10:28:07,10:33:37.920,349
2025-02-28 10:28:07,10:33:40.903,332
2025-02-28 10:28:07,10:33:45.137,299
2025-02-28 10:28:07,10:33:49.570,332
2025-02-28 10:28:07,10:33:52.603,366
2025-02-28 10:28:07,10:33:57.102,332
2025-02-28 10:28:07,10:33:59.602,366
2025-02-28 10:28:07,10:34:04.568,380
2025-02-28 10:28:07,10:34:06.651,16
2025-02-28 10:28:07,10:34:11.018,382
2025-02-28 10:28:07,10:34:15.768,358
2025-02-28 10:28:07,10:34:16.184,0
2025-02-28 10:28:07,10:34:18.667,499
2025-02-28 10:28:07,10:34:23.550,449
2025-02-28 10:28:07,10:34:28.783,949
2025-02-28 10:28:07,10:34:29.450,0
2025-02-28 10:28:07,10:34:34.266,366
2025-02-28 10:28:07,10:34:36.449,416
2025-02-28 10:28:07,10:34:37.666,0
2025-02-28 10:28:07,10:34:40.549,1316
2025-02-28 10:28:07,10:34:40.832,0
2025-02-28 10:28:07,10:34:40.881,0
2025-02-28 10:28:07,10:34:45.481,316
2025-02-28 10:28:07,10:34:48.464,299
2025-02-28 10:28:07,10:34:52.148,316
2025-02-28 10:28:07,10:34:54.881,0
2025-02-28 10:28:07,10:34:56.564,0
2025-02-28 10:28:07,10:34:58.614,0
2025-02-28 10:28:07,10:35:02.146,382
2025-02-28 10:28:07,10:35:05.013,382
2025-02-28 10:28:07,10:35:09.829,332
2025-02-28 10:28:07,Sex,
