Task,TapTime,Milliseconds
2025-02-26 11:47:34,11:47:36.879,297
2025-02-26 11:47:34,11:47:40.245,279
2025-02-26 11:47:34,11:47:44.828,280
2025-02-26 11:47:34,11:47:46.978,497
2025-02-26 11:47:34,11:47:51.128,280
2025-02-26 11:47:34,11:47:53.511,364
2025-02-26 11:47:34,11:47:57.260,0
2025-02-26 11:47:34,11:48:00.644,385
2025-02-26 11:47:34,11:48:05.311,281
2025-02-26 11:47:34,11:48:07.793,436
2025-02-26 11:47:34,11:48:11.626,297
2025-02-26 11:47:34,11:48:15.126,316
2025-02-26 11:47:34,11:48:19.309,297
2025-02-26 11:47:34,11:48:21.576,531
2025-02-26 11:47:34,11:48:25.992,298
2025-02-26 11:47:34,11:48:28.542,364
2025-02-26 11:47:34,11:48:32.058,297
2025-02-26 11:47:34,11:48:37.024,280
2025-02-26 11:47:34,11:48:40.141,310
2025-02-26 11:47:34,11:48:44.907,297
2025-02-26 11:47:34,11:48:48.007,381
2025-02-26 11:47:34,11:48:50.540,297
2025-02-26 11:47:34,11:48:54.373,264
2025-02-26 11:47:34,11:48:57.490,330
2025-02-26 11:47:34,11:49:01.873,231
2025-02-26 11:47:34,11:49:06.289,266
2025-02-26 11:47:34,11:49:11.105,257
2025-02-26 11:47:34,11:49:13.972,347
2025-02-26 11:47:34,11:49:15.972,381
2025-02-26 11:47:34,11:49:20.088,314
2025-02-26 11:47:34,11:49:22.604,366
2025-02-26 11:47:34,11:49:26.321,282
2025-02-26 11:47:34,11:49:30.537,277
2025-02-26 11:47:34,11:49:34.920,280
2025-02-26 11:47:34,11:49:37.536,347
2025-02-26 11:47:34,11:49:40.319,314
2025-02-26 11:47:34,11:49:42.436,331
2025-02-26 11:47:34,11:49:44.452,297
2025-02-26 11:47:34,11:49:48.286,281
2025-02-26 11:47:34,11:49:53.135,297
2025-02-26 11:47:34,11:49:56.519,331
2025-02-26 11:47:34,11:49:58.718,480
2025-02-26 11:47:34,11:50:02.535,281
2025-02-26 11:47:34,11:50:06.251,299
2025-02-26 11:47:34,11:50:08.367,381
2025-02-26 11:47:34,11:50:11.734,314
2025-02-26 11:47:34,11:50:14.900,264
2025-02-26 11:47:34,11:50:18.233,297
2025-02-26 11:47:34,11:50:21.866,264
2025-02-26 11:47:34,11:50:24.066,364
2025-02-26 11:47:34,11:50:26.299,297
2025-02-26 11:47:34,11:50:28.283,314
2025-02-26 11:47:34,11:50:30.832,299
2025-02-26 11:47:34,11:50:32.949,297
2025-02-26 11:47:34,11:50:36.415,264
2025-02-26 11:47:34,11:50:41.331,297
2025-02-26 11:47:34,11:50:44.515,314
2025-02-26 11:47:34,11:50:47.314,364
2025-02-26 11:47:34,11:50:49.381,464
2025-02-26 11:47:34,11:50:52.480,264
2025-02-26 11:47:34,11:50:56.247,281
2025-02-26 11:47:34,11:50:59.080,281
2025-02-26 11:47:34,11:51:01.430,299
2025-02-26 11:47:34,11:51:04.130,0
2025-02-26 11:47:34,11:51:04.896,0
2025-02-26 11:47:34,11:51:08.529,281
2025-02-26 11:47:34,11:51:10.446,314
2025-02-26 11:47:34,11:51:12.996,331
2025-02-26 11:47:34,11:51:15.145,314
2025-02-26 11:47:34,11:51:18.695,264
2025-02-26 11:47:34,11:51:22.678,247
2025-02-26 11:47:34,11:51:26.395,281
2025-02-26 11:47:34,11:51:28.594,314
2025-02-26 11:47:34,11:51:32.061,266
2025-02-26 11:47:34,11:51:34.477,497
2025-02-26 11:47:34,11:51:36.727,316
2025-02-26 11:47:34,11:51:41.694,281
2025-02-26 11:47:34,11:51:44.693,364
2025-02-26 11:47:34,11:51:48.410,297
2025-02-26 11:47:34,11:51:52.992,287
2025-02-26 11:47:34,11:51:56.076,316
2025-02-26 11:47:34,11:51:59.875,264
2025-02-26 11:47:34,11:52:02.608,380
2025-02-26 11:47:34,11:52:06.458,266
2025-02-26 11:47:34,11:52:08.575,381
2025-02-26 11:47:34,11:52:11.341,297
2025-02-26 11:47:34,11:52:13.708,297
2025-02-26 11:47:34,11:52:16.991,281
2025-02-26 11:47:34,11:52:20.791,281
2025-02-26 11:47:34,11:52:23.840,297
2025-02-26 11:47:34,11:52:26.140,314
2025-02-26 11:47:34,11:52:28.906,297
2025-02-26 11:47:34,11:52:31.456,316
2025-02-26 11:47:34,11:52:33.789,331
2025-02-26 11:47:34,11:52:36.823,0
2025-02-26 11:47:34,11:52:37.572,0
2025-02-26 11:47:34,11:52:40.689,281
2025-02-26 11:47:34,11:52:43.855,280
2025-02-26 11:47:34,11:52:47.022,247
2025-02-26 11:47:34,11:52:49.188,347
2025-02-26 11:47:34,11:52:51.421,297
2025-02-26 11:47:34,11:52:54.121,264
2025-02-26 11:47:34,11:52:57.354,264
2025-02-26 11:47:34,11:53:00.854,247
2025-02-26 11:47:34,11:53:04.421,281
2025-02-26 11:47:34,11:53:08.653,264
2025-02-26 11:47:34,11:53:11.753,297
2025-02-26 11:47:34,11:53:16.286,264
2025-02-26 11:47:34,11:53:20.036,314
2025-02-26 11:47:34,11:53:23.736,281
2025-02-26 11:47:34,11:53:25.969,364
2025-02-26 11:47:34,11:53:29.285,314
2025-02-26 11:47:34,11:53:32.935,264
2025-02-26 11:47:34,11:53:36.134,247
2025-02-26 11:47:34,11:53:39.301,306
