Task,TapTime,Milliseconds
2025-02-28 09:41:27,09:41:28.706,399
2025-02-28 09:41:27,09:41:32.007,0
2025-02-28 09:41:27,09:41:35.273,266
2025-02-28 09:41:27,09:41:38.322,249
2025-02-28 09:41:27,09:41:41.472,268
2025-02-28 09:41:27,09:41:44.155,197
2025-02-28 09:41:27,09:41:47.006,0
2025-02-28 09:41:27,09:41:50.688,283
2025-02-28 09:41:27,09:41:54.038,299
2025-02-28 09:41:27,09:41:57.704,299
2025-02-28 09:41:27,09:42:01.437,233
2025-02-28 09:41:27,09:42:04.170,214
2025-02-28 09:41:27,09:42:06.637,0
2025-02-28 09:41:27,09:42:09.703,299
2025-02-28 09:41:27,09:42:13.719,249
2025-02-28 09:41:27,09:42:16.636,280
2025-02-28 09:41:27,09:42:19.253,0
2025-02-28 09:41:27,09:42:21.802,266
2025-02-28 09:41:27,09:42:24.369,366
2025-02-28 09:41:27,09:42:27.285,283
2025-02-28 09:41:27,09:42:30.151,282
2025-02-28 09:41:27,09:42:33.352,0
2025-02-28 09:41:27,09:42:38.217,283
2025-02-28 09:41:27,09:42:40.817,283
2025-02-28 09:41:27,09:42:45.467,314
2025-02-28 09:41:27,09:42:48.483,282
2025-02-28 09:41:27,09:42:51.999,266
2025-02-28 09:41:27,09:42:56.316,249
2025-02-28 09:41:27,09:42:59.449,249
2025-02-28 09:41:27,09:43:02.749,283
2025-02-28 09:41:27,09:43:04.365,0
2025-02-28 09:41:27,09:43:09.048,316
2025-02-28 09:41:27,09:43:11.198,333
2025-02-28 09:41:27,09:43:15.147,282
2025-02-28 09:41:27,09:43:18.714,297
2025-02-28 09:41:27,09:43:23.530,266
2025-02-28 09:41:27,09:43:27.296,299
2025-02-28 09:41:27,09:43:30.146,283
2025-02-28 09:41:27,09:43:34.379,249
2025-02-28 09:41:27,09:43:38.729,314
2025-02-28 09:41:27,09:43:41.262,266
2025-02-28 09:41:27,09:43:44.078,283
2025-02-28 09:41:27,09:43:47.545,0
2025-02-28 09:41:27,09:43:51.761,299
2025-02-28 09:41:27,09:43:54.995,0
2025-02-28 09:41:27,09:43:58.627,280
2025-02-28 09:41:27,09:44:02.343,282
2025-02-28 09:41:27,09:44:06.260,266
2025-02-28 09:41:27,09:44:08.276,349
2025-02-28 09:41:27,09:44:11.276,349
2025-02-28 09:41:27,09:44:13.926,0
2025-02-28 09:41:27,09:44:18.176,249
2025-02-28 09:41:27,09:44:20.726,0
2025-02-28 09:41:27,09:44:21.008,0
2025-02-28 09:41:27,09:44:24.508,316
