Task,TapTime,Milliseconds
2025-02-26 01:23:00,13:23:01.562,932
2025-02-26 01:23:00,13:23:06.295,264
2025-02-26 01:23:00,13:23:09.195,264
2025-02-26 01:23:00,13:23:12.445,247
2025-02-26 01:23:00,13:23:16.444,266
2025-02-26 01:23:00,13:23:19.577,14
2025-02-26 01:23:00,13:23:21.777,281
2025-02-26 01:23:00,13:23:25.327,297
2025-02-26 01:23:00,13:23:29.043,264
2025-02-26 01:23:00,13:23:32.160,0
2025-02-26 01:23:00,13:23:35.759,331
2025-02-26 01:23:00,13:23:37.809,361
2025-02-26 01:23:00,13:23:41.909,281
2025-02-26 01:23:00,13:23:46.008,264
2025-02-26 01:23:00,13:23:49.708,247
2025-02-26 01:23:00,13:23:54.091,266
2025-02-26 01:23:00,13:23:56.641,364
2025-02-26 01:23:00,13:23:59.874,264
2025-02-26 01:23:00,13:24:04.041,297
2025-02-26 01:23:00,13:24:06.257,331
2025-02-26 01:23:00,13:24:11.023,297
2025-02-26 01:23:00,13:24:14.340,316
2025-02-26 01:23:00,13:24:19.223,331
2025-02-26 01:23:00,13:24:23.456,297
2025-02-26 01:23:00,13:24:27.472,482
2025-02-26 01:23:00,13:24:31.555,248
2025-02-26 01:23:00,13:24:35.338,264
2025-02-26 01:23:00,13:24:40.205,281
2025-02-26 01:23:00,13:24:43.054,328
2025-02-26 01:23:00,13:24:46.304,81
2025-02-26 01:23:00,13:24:48.854,514
2025-02-26 01:23:00,13:24:51.903,264
2025-02-26 01:23:00,13:24:54.603,299
2025-02-26 01:23:00,13:24:56.820,297
2025-02-26 01:23:00,13:25:00.769,280
2025-02-26 01:23:00,13:25:05.169,281
2025-02-26 01:23:00,13:25:08.435,314
2025-02-26 01:23:00,13:25:10.719,331
2025-02-26 01:23:00,13:25:15.085,282
2025-02-26 01:23:00,13:25:17.085,364
2025-02-26 01:23:00,13:25:19.318,264
2025-02-26 01:23:00,13:25:22.668,297
2025-02-26 01:23:00,13:25:27.151,264
2025-02-26 01:23:00,13:25:29.734,281
2025-02-26 01:23:00,13:25:32.584,281
2025-02-26 01:23:00,13:25:34.984,281
2025-02-26 01:23:00,13:25:36.983,283
2025-02-26 01:23:00,13:25:39.367,264
2025-02-26 01:23:00,13:25:43.283,281
2025-02-26 01:23:00,13:25:45.266,297
2025-02-26 01:23:00,13:25:48.649,281
2025-02-26 01:23:00,13:25:53.648,297
2025-02-26 01:23:00,13:25:58.548,245
2025-02-26 01:23:00,13:26:00.532,364
2025-02-26 01:23:00,13:26:02.831,281
2025-02-26 01:23:00,13:26:06.131,276
2025-02-26 01:23:00,13:26:08.831,247
2025-02-26 01:23:00,13:26:13.014,287
2025-02-26 01:23:00,13:26:15.264,381
2025-02-26 01:23:00,13:26:19.630,264
2025-02-26 01:23:00,13:26:23.346,264
2025-02-26 01:23:00,13:26:26.513,249
2025-02-26 01:23:00,13:26:31.446,281
2025-02-26 01:23:00,13:26:34.079,332
2025-02-26 01:23:00,13:26:36.379,281
2025-02-26 01:23:00,13:26:38.629,0
2025-02-26 01:23:00,13:26:42.995,281
2025-02-26 01:23:00,13:26:45.462,431
2025-02-26 01:23:00,13:26:47.645,531
2025-02-26 01:23:00,13:26:51.944,314
2025-02-26 01:23:00,13:26:54.211,297
2025-02-26 01:23:00,13:26:58.894,347
2025-02-26 01:23:00,13:26:59.010,0
2025-02-26 01:23:00,13:27:01.060,381
2025-02-26 01:23:00,13:27:05.926,364
2025-02-26 01:23:00,13:27:09.293,297
2025-02-26 01:23:00,13:27:14.159,297
2025-02-26 01:23:00,13:27:17.442,380
2025-02-26 01:23:00,13:27:22.408,280
2025-02-26 01:23:00,13:27:26.025,330
2025-02-26 01:23:00,13:27:30.591,281
2025-02-26 01:23:00,13:27:35.224,281
2025-02-26 01:23:00,13:27:38.607,280
2025-02-26 01:23:00,13:27:40.824,380
2025-02-26 01:23:00,13:27:44.607,264
2025-02-26 01:23:00,13:27:48.290,264
2025-02-26 01:23:00,13:27:52.040,430
2025-02-26 01:23:00,13:27:55.756,297
2025-02-26 01:23:00,13:28:00.056,297
2025-02-26 01:23:00,13:28:04.772,264
2025-02-26 01:23:00,13:28:07.838,314
2025-02-26 01:23:00,13:28:10.455,264
2025-02-26 01:23:00,13:28:14.471,281
2025-02-26 01:23:00,13:28:16.638,432
2025-02-26 01:23:00,13:28:20.321,297
2025-02-26 01:23:00,13:28:23.687,314
2025-02-26 01:23:00,13:28:26.804,281
2025-02-26 01:23:00,13:28:30.536,264
2025-02-26 01:23:00,13:28:33.953,281
2025-02-26 01:23:00,13:28:36.419,281
2025-02-26 01:23:00,13:28:38.486,314
2025-02-26 01:23:00,13:28:40.936,0
2025-02-26 01:23:00,13:28:45.202,331
2025-02-26 01:23:00,13:28:48.618,332
2025-02-26 01:23:00,13:28:52.668,380
2025-02-26 01:23:00,13:28:57.018,382
2025-02-26 01:23:00,13:29:00.451,247
2025-02-26 01:23:00,13:29:03.084,497
2025-02-26 01:23:00,13:29:07.434,283
2025-02-26 01:23:00,13:29:09.850,331
2025-02-26 01:23:00,13:29:13.300,264
2025-02-26 01:23:00,13:29:16.366,447
2025-02-26 01:23:00,13:29:20.883,264
2025-02-26 01:23:00,13:29:25.132,297
2025-02-26 01:23:00,13:29:27.249,405
2025-02-26 01:23:00,13:29:31.682,297
2025-02-26 01:23:00,13:29:33.815,381
2025-02-26 01:23:00,13:29:38.014,287
2025-02-26 01:23:00,13:29:41.714,381
2025-02-26 01:23:00,13:29:46.514,297
2025-02-26 01:23:00,13:29:49.697,347
2025-02-26 01:23:00,13:29:52.881,0
2025-02-26 01:23:00,13:29:55.630,332
2025-02-26 01:23:00,13:29:57.980,381
2025-02-26 01:23:00,13:30:02.146,314
2025-02-26 01:23:00,Sex,
2025-02-26 01:23:00,Test Duration in seconds,422
2025-02-26 01:23:00,Number of False Positives,5
2025-02-26 01:23:00,Average response time ,312
2025-02-26 01:23:00,Fastest response time ,14
2025-02-26 01:23:00,Slowest response time ,932
2025-02-26 01:23:00,Count of response time over 500ms ,3
