Task,TapTime,Milliseconds
2025-02-26 11:02:28,11:02:30.140,599
2025-02-26 11:02:28,11:02:35.156,316
2025-02-26 11:02:28,11:02:39.856,373
2025-02-26 11:02:28,11:02:41.906,433
2025-02-26 11:02:28,11:02:44.222,149
2025-02-26 11:02:28,11:02:48.704,316
2025-02-26 11:02:28,11:02:52.338,278
2025-02-26 11:02:28,11:02:54.922,0
2025-02-26 11:02:28,11:02:59.121,323
2025-02-26 11:02:28,11:03:01.321,473
2025-02-26 11:02:28,11:03:03.388,0
2025-02-26 11:02:28,11:03:07.387,314
2025-02-26 11:02:28,11:03:11.870,316
2025-02-26 11:02:28,11:03:14.070,371
2025-02-26 11:02:28,11:03:17.036,327
2025-02-26 11:02:28,11:03:19.336,394
2025-02-26 11:02:28,11:03:21.919,697
2025-02-26 11:02:28,11:03:25.869,347
2025-02-26 11:02:28,11:03:30.202,330
2025-02-26 11:02:28,11:03:32.235,414
2025-02-26 11:02:28,11:03:35.735,364
2025-02-26 11:02:28,11:03:38.251,306
2025-02-26 11:02:28,11:03:41.234,95
2025-02-26 11:02:28,11:03:45.434,336
2025-02-26 11:02:28,11:03:48.167,331
2025-02-26 11:02:28,11:03:52.084,591
2025-02-26 11:02:28,11:03:57.017,364
2025-02-26 11:02:28,11:04:01.866,414
2025-02-26 11:02:28,11:04:05.466,330
2025-02-26 11:02:28,11:04:10.266,297
2025-02-26 11:02:28,11:04:14.865,382
2025-02-26 11:02:28,11:04:17.431,330
2025-02-26 11:02:28,11:04:19.982,0
2025-02-26 11:02:28,11:04:22.581,297
2025-02-26 11:02:28,11:04:27.214,282
2025-02-26 11:02:28,11:04:32.313,514
2025-02-26 11:02:28,11:04:36.930,297
2025-02-26 11:02:28,11:04:39.480,399
2025-02-26 11:02:28,11:04:41.812,297
2025-02-26 11:02:28,11:04:44.313,0
2025-02-26 11:02:28,11:04:47.413,297
2025-02-26 11:02:28,11:04:51.162,356
2025-02-26 11:02:28,11:04:54.495,299
2025-02-26 11:02:28,11:04:58.112,314
2025-02-26 11:02:28,11:05:00.178,397
2025-02-26 11:02:28,11:05:02.512,314
2025-02-26 11:02:28,11:05:04.762,0
2025-02-26 11:02:28,11:05:07.861,0
2025-02-26 11:02:28,11:05:10.144,316
2025-02-26 11:02:28,11:05:13.927,499
2025-02-26 11:02:28,11:05:16.527,397
2025-02-26 11:02:28,11:05:20.043,347
2025-02-26 11:02:28,11:05:25.043,380
2025-02-26 11:02:28,11:05:29.943,414
2025-02-26 11:02:28,11:05:32.309,728
2025-02-26 11:02:28,11:05:37.408,527
2025-02-26 11:02:28,11:05:40.925,381
2025-02-26 11:02:28,11:05:45.158,347
2025-02-26 11:02:28,11:05:47.524,547
2025-02-26 11:02:28,11:05:50.857,382
2025-02-26 11:02:28,11:05:53.191,381
2025-02-26 11:02:28,11:05:56.507,297
2025-02-26 11:02:28,11:06:00.974,314
2025-02-26 11:02:28,11:06:05.840,264
2025-02-26 11:02:28,11:06:10.306,414
2025-02-26 11:02:28,11:06:13.206,332
2025-02-26 11:02:28,11:06:15.672,664
2025-02-26 11:02:28,11:06:18.523,0
2025-02-26 11:02:28,11:06:21.239,330
2025-02-26 11:02:28,11:06:23.372,547
2025-02-26 11:02:28,11:06:28.238,380
2025-02-26 11:02:28,11:06:30.638,397
2025-02-26 11:02:28,11:06:32.788,381
2025-02-26 11:02:28,11:06:36.987,347
2025-02-26 11:02:28,11:06:39.087,414
2025-02-26 11:02:28,11:06:41.820,314
2025-02-26 11:02:28,11:06:43.937,397
2025-02-26 11:02:28,11:06:46.653,347
2025-02-26 11:02:28,11:06:51.703,347
2025-02-26 11:02:28,11:06:55.186,314
2025-02-26 11:02:28,11:06:59.019,330
2025-02-26 11:02:28,11:07:01.352,431
2025-02-26 11:02:28,11:07:04.285,330
2025-02-26 11:02:28,11:07:09.301,480
2025-02-26 11:02:28,11:07:12.834,452
2025-02-26 11:02:28,11:07:17.601,464
2025-02-26 11:02:28,11:07:21.717,575
2025-02-26 11:02:28,11:07:24.450,317
2025-02-26 11:02:28,11:07:29.050,297
2025-02-26 11:02:28,11:07:32.116,630
2025-02-26 11:02:28,11:07:34.266,509
2025-02-26 11:02:28,11:07:36.199,364
2025-02-26 11:02:28,11:07:40.499,331
2025-02-26 11:02:28,11:07:44.549,369
2025-02-26 11:02:28,11:07:49.614,347
2025-02-26 11:02:28,11:07:51.915,709
2025-02-26 11:02:28,11:07:56.198,343
2025-02-26 11:02:28,11:07:59.080,382
2025-02-26 11:02:28,11:08:01.481,340
2025-02-26 11:02:28,11:08:04.747,280
2025-02-26 11:02:28,11:08:08.314,297
2025-02-26 11:02:28,11:08:12.347,314
2025-02-26 11:02:28,11:08:16.946,330
2025-02-26 11:02:28,11:08:19.130,581
2025-02-26 11:02:28,11:08:22.029,353
2025-02-26 11:02:28,11:08:24.262,346
2025-02-26 11:02:28,11:08:26.312,302
2025-02-26 11:02:28,11:08:30.012,372
2025-02-26 11:02:28,11:08:32.078,364
2025-02-26 11:02:28,11:08:34.812,381
2025-02-26 11:02:28,11:08:38.578,347
2025-02-26 11:02:28,11:08:40.611,425
2025-02-26 11:02:28,11:08:44.794,380
2025-02-26 11:02:28,11:08:49.360,349
2025-02-26 11:02:28,11:08:54.260,314
2025-02-26 11:02:28,11:08:59.360,547
2025-02-26 11:02:28,11:09:01.509,547
2025-02-26 11:02:28,11:09:04.359,349
2025-02-26 11:02:28,11:09:09.392,647
2025-02-26 11:02:28,11:09:14.308,864
2025-02-26 11:02:28,11:09:18.408,432
2025-02-26 11:02:28,11:09:21.408,397
2025-02-26 11:02:28,11:09:24.874,349
2025-02-26 11:02:28,11:09:29.607,364
2025-02-26 11:02:28,Sex,
2025-02-26 11:02:28,Test Duration in seconds,420
2025-02-26 11:02:28,Number of False Positives,7
2025-02-26 11:02:28,Average response time ,390
2025-02-26 11:02:28,Fastest response time ,95
2025-02-26 11:02:28,Slowest response time ,864
2025-02-26 11:02:28,Count of response time over 500ms ,18
