Task,TapTime,Milliseconds
2025-03-05 11:09:59,11:10:00.724,979
2025-03-05 11:09:59,11:10:03.707,324
2025-03-05 11:09:59,11:10:08.624,373
2025-03-05 11:09:59,11:10:10.990,328
2025-03-05 11:09:59,11:10:15.573,399
2025-03-05 11:09:59,11:10:19.623,308
2025-03-05 11:09:59,11:10:22.739,294
2025-03-05 11:09:59,11:10:25.173,333
2025-03-05 11:09:59,11:10:27.872,254
2025-03-05 11:09:59,11:10:30.406,0
2025-03-05 11:09:59,11:10:32.372,392
2025-03-05 11:09:59,11:10:34.789,0
2025-03-05 11:09:59,11:10:37.905,387
2025-03-05 11:09:59,11:10:41.988,403
2025-03-05 11:09:59,11:10:44.304,397
2025-03-05 11:09:59,11:10:46.538,364
2025-03-05 11:09:59,11:10:49.204,299
2025-03-05 11:09:59,11:10:51.421,314
2025-03-05 11:09:59,11:10:54.020,303
2025-03-05 11:09:59,11:10:58.320,336
2025-03-05 11:09:59,11:11:01.353,308
2025-03-05 11:09:59,11:11:04.536,366
2025-03-05 11:09:59,11:11:07.753,307
2025-03-05 11:09:59,11:11:10.919,333
2025-03-05 11:09:59,11:11:13.036,533
2025-03-05 11:09:59,11:11:15.802,292
2025-03-05 11:09:59,11:11:20.452,343
2025-03-05 11:09:59,11:11:22.935,412
2025-03-05 11:09:59,11:11:27.601,356
2025-03-05 11:09:59,11:11:32.418,308
2025-03-05 11:09:59,11:11:35.234,321
2025-03-05 11:09:59,11:11:39.884,316
2025-03-05 11:09:59,11:11:43.883,298
2025-03-05 11:09:59,11:11:47.950,316
2025-03-05 11:09:59,11:11:50.083,516
2025-03-05 11:09:59,11:11:55.016,383
2025-03-05 11:09:59,11:11:57.183,483
2025-03-05 11:09:59,11:12:01.149,310
2025-03-05 11:09:59,11:12:03.166,465
2025-03-05 11:09:59,11:12:07.915,1132
2025-03-05 11:09:59,11:12:09.398,0
2025-03-05 11:09:59,11:12:14.648,549
2025-03-05 11:09:59,11:12:17.531,415
2025-03-05 11:09:59,11:12:21.531,349
2025-03-05 11:09:59,11:12:24.780,404
2025-03-05 11:09:59,11:12:27.547,372
2025-03-05 11:09:59,11:12:30.647,341
2025-03-05 11:09:59,11:12:33.462,353
2025-03-05 11:09:59,11:12:38.413,439
2025-03-05 11:09:59,11:12:43.379,338
2025-03-05 11:09:59,11:12:47.629,360
2025-03-05 11:09:59,11:12:50.712,471
2025-03-05 11:09:59,11:12:55.378,345
2025-03-05 11:09:59,11:12:58.411,316
2025-03-05 11:09:59,11:13:00.662,345
2025-03-05 11:09:59,11:13:03.028,328
2025-03-05 11:09:59,11:13:06.211,334
2025-03-05 11:09:59,11:13:08.727,99
2025-03-05 11:09:59,11:13:13.244,345
2025-03-05 11:09:59,11:13:17.060,276
2025-03-05 11:09:59,11:13:21.877,312
