Task,TapTime,Milliseconds
2025-01-28 12:04:43,12:04:45.925,299
2025-01-28 12:04:43,12:04:48.875,0
2025-01-28 12:04:43,12:04:53.491,334
2025-01-28 12:04:43,12:04:56.591,367
2025-01-28 12:04:43,12:04:59.091,386
2025-01-28 12:04:43,12:05:02.973,278
2025-01-28 12:04:43,12:05:05.757,299
2025-01-28 12:04:43,12:05:08.340,0
2025-01-28 12:04:43,12:05:12.190,0
2025-01-28 12:04:43,12:05:16.622,354
2025-01-28 12:04:43,12:05:19.322,348
2025-01-28 12:04:43,12:05:21.405,332
2025-01-28 12:04:43,12:05:23.988,333
2025-01-28 12:04:43,12:05:28.605,275
2025-01-28 12:04:43,12:05:31.488,378
2025-01-28 12:04:43,12:05:34.704,423
2025-01-28 12:04:43,12:05:37.005,0
2025-01-28 12:04:43,12:05:38.937,356
2025-01-28 12:04:43,12:05:41.137,367
2025-01-28 12:04:43,12:05:43.837,283
2025-01-28 12:04:43,12:05:46.536,263
2025-01-28 12:04:43,12:05:50.786,331
2025-01-28 12:04:43,12:05:52.953,388
2025-01-28 12:04:43,12:05:56.302,685
2025-01-28 12:04:43,12:05:59.069,334
2025-01-28 12:04:43,12:06:02.069,264
2025-01-28 12:04:43,12:06:04.802,0
2025-01-28 12:04:43,12:06:06.818,0
2025-01-28 12:04:43,12:06:08.768,313
2025-01-28 12:04:43,12:06:12.251,277
2025-01-28 12:04:43,12:06:15.118,0
2025-01-28 12:04:43,12:06:17.918,0
2025-01-28 12:04:43,12:06:20.134,360
2025-01-28 12:04:43,12:06:22.867,315
2025-01-28 12:04:43,12:06:25.333,359
2025-01-28 12:04:43,12:06:28.467,0
2025-01-28 12:04:43,12:06:32.099,429
2025-01-28 12:04:43,12:06:34.299,325
2025-01-28 12:04:43,12:06:39.165,302
2025-01-28 12:04:43,12:06:41.798,362
2025-01-28 12:04:43,12:06:44.498,293
2025-01-28 12:04:43,12:06:48.564,296
2025-01-28 12:04:43,12:06:50.765,0
2025-01-28 12:04:43,12:06:54.281,354
2025-01-28 12:04:43,12:06:58.131,301
2025-01-28 12:04:43,12:07:00.830,561
2025-01-28 12:04:43,12:07:04.913,290
2025-01-28 12:04:43,12:07:07.813,248
2025-01-28 12:04:43,12:07:11.829,251
2025-01-28 12:04:43,12:07:15.029,0
2025-01-28 12:04:43,12:07:17.562,259
2025-01-28 12:04:43,12:07:19.862,333
2025-01-28 12:04:43,12:07:23.029,0
2025-01-28 12:04:43,12:07:25.211,338
2025-01-28 12:04:43,12:07:29.744,314
2025-01-28 12:04:43,12:07:34.394,318
2025-01-28 12:04:43,12:07:38.094,392
2025-01-28 12:04:43,12:07:42.627,0
2025-01-28 12:04:43,12:07:45.060,436
2025-01-28 12:04:43,12:07:48.810,0
2025-01-28 12:04:43,12:07:51.059,297
2025-01-28 12:04:43,12:07:53.626,286
2025-01-28 12:04:43,12:07:56.059,442
2025-01-28 12:04:43,12:08:00.425,451
2025-01-28 12:04:43,12:08:03.375,555
2025-01-28 12:04:43,12:08:06.475,317
2025-01-28 12:04:43,12:08:08.475,399
2025-01-28 12:04:43,12:08:11.341,265
2025-01-28 12:04:43,12:08:16.224,336
2025-01-28 12:04:43,12:08:20.790,173
2025-01-28 12:04:43,12:08:24.107,360
2025-01-28 12:04:43,12:08:27.439,364
2025-01-28 12:04:43,12:08:29.456,400
2025-01-28 12:04:43,12:08:31.939,315
2025-01-28 12:04:43,12:08:32.489,0
2025-01-28 12:04:43,12:08:33.473,0
2025-01-28 12:04:43,12:08:38.005,265
2025-01-28 12:04:43,12:08:41.405,329
2025-01-28 12:04:43,12:08:45.155,295
2025-01-28 12:04:43,12:08:47.288,397
2025-01-28 12:04:43,12:08:50.904,324
2025-01-28 12:04:43,12:08:54.187,324
2025-01-28 12:04:43,12:08:56.104,0
2025-01-28 12:04:43,12:08:56.370,0
2025-01-28 12:04:43,12:09:01.420,640
2025-01-28 12:04:43,12:09:05.420,320
2025-01-28 12:04:43,12:09:10.219,346
2025-01-28 12:04:43,12:09:15.035,412
2025-01-28 12:04:43,12:09:18.302,419
2025-01-28 12:04:43,12:09:22.102,297
2025-01-28 12:04:43,12:09:23.685,0
2025-01-28 12:04:43,12:09:28.051,311
2025-01-28 12:04:43,12:09:31.834,401
2025-01-28 12:04:43,12:09:34.717,449
2025-01-28 12:04:43,12:09:38.484,510
2025-01-28 12:04:43,12:09:41.867,365
2025-01-28 12:04:43,12:09:45.950,245
2025-01-28 12:04:43,12:09:48.183,0
2025-01-28 12:04:43,12:09:52.232,319
2025-01-28 12:04:43,12:09:55.083,0
2025-01-28 12:04:43,12:09:58.632,302
2025-01-28 12:04:43,12:10:01.982,311
2025-01-28 12:04:43,12:10:06.098,315
2025-01-28 12:04:43,12:10:10.381,282
2025-01-28 12:04:43,12:10:14.781,252
2025-01-28 12:04:43,12:10:19.014,279
2025-01-28 12:04:43,12:10:21.580,504
2025-01-28 12:04:43,12:10:24.563,295
2025-01-28 12:04:43,12:10:29.313,339
2025-01-28 12:04:43,12:10:31.980,0
2025-01-28 12:04:43,12:10:35.463,0
2025-01-28 12:04:43,12:10:38.162,321
2025-01-28 12:04:43,12:10:40.246,0
2025-01-28 12:04:43,12:10:40.561,0
2025-01-28 12:04:43,12:10:44.045,310
2025-01-28 12:04:43,12:10:47.611,486
2025-01-28 12:04:43,12:10:50.044,515
2025-01-28 12:04:43,12:10:52.811,246
2025-01-28 12:04:43,12:10:55.694,325
2025-01-28 12:04:43,12:10:58.178,0
2025-01-28 12:04:43,12:11:00.793,525
