Task,TapTime,Milliseconds
2025-01-28 12:49:14,12:49:17.638,316
2025-01-28 12:49:14,12:49:21.155,300
2025-01-28 12:49:14,12:49:23.121,339
2025-01-28 12:49:14,12:49:25.304,266
2025-01-28 12:49:14,12:49:28.921,292
2025-01-28 12:49:14,12:49:31.037,468
2025-01-28 12:49:14,12:49:35.470,296
2025-01-28 12:49:14,12:49:37.737,326
2025-01-28 12:49:14,12:49:41.504,0
2025-01-28 12:49:14,12:49:44.086,359
2025-01-28 12:49:14,12:49:49.102,347
2025-01-28 12:49:14,12:49:52.952,320
2025-01-28 12:49:14,12:49:55.018,402
2025-01-28 12:49:14,12:49:58.535,344
2025-01-28 12:49:14,12:50:02.935,305
2025-01-28 12:49:14,12:50:07.034,303
2025-01-28 12:49:14,12:50:10.384,339
2025-01-28 12:49:14,12:50:14.717,278
2025-01-28 12:49:14,12:50:18.617,280
2025-01-28 12:49:14,12:50:22.566,307
2025-01-28 12:49:14,12:50:25.049,557
2025-01-28 12:49:14,12:50:29.399,267
2025-01-28 12:49:14,12:50:33.982,349
2025-01-28 12:49:14,12:50:36.748,353
2025-01-28 12:49:14,12:50:40.648,322
2025-01-28 12:49:14,12:50:42.631,427
2025-01-28 12:49:14,12:50:46.698,298
2025-01-28 12:49:14,12:50:51.297,336
2025-01-28 12:49:14,12:50:55.230,613
2025-01-28 12:49:14,12:50:57.780,525
2025-01-28 12:49:14,12:51:00.446,442
2025-01-28 12:49:14,12:51:05.313,308
2025-01-28 12:49:14,12:51:07.396,560
2025-01-28 12:49:14,12:51:10.729,250
2025-01-28 12:49:14,12:51:13.579,394
2025-01-28 12:49:14,12:51:17.828,311
2025-01-28 12:49:14,12:51:21.511,376
2025-01-28 12:49:14,12:51:23.628,542
2025-01-28 12:49:14,12:51:28.361,308
2025-01-28 12:49:14,12:51:31.761,367
2025-01-28 12:49:14,12:51:34.577,386
2025-01-28 12:49:14,12:51:37.327,444
2025-01-28 12:49:14,12:51:40.076,345
2025-01-28 12:49:14,12:51:43.410,323
2025-01-28 12:49:14,12:51:46.776,317
2025-01-28 12:49:14,12:51:49.059,665
2025-01-28 12:49:14,12:51:51.875,297
2025-01-28 12:49:14,12:51:56.692,284
2025-01-28 12:49:14,12:51:59.158,403
2025-01-28 12:49:14,12:52:02.958,376
2025-01-28 12:49:14,12:52:07.474,310
2025-01-28 12:49:14,12:52:09.591,505
2025-01-28 12:49:14,12:52:13.640,304
2025-01-28 12:49:14,12:52:15.990,361
2025-01-28 12:49:14,12:52:20.890,321
2025-01-28 12:49:14,12:52:25.823,362
2025-01-28 12:49:14,12:52:26.606,0
2025-01-28 12:49:14,12:52:28.856,520
2025-01-28 12:49:14,12:52:32.989,333
2025-01-28 12:49:14,12:52:35.288,608
2025-01-28 12:49:14,12:52:37.488,307
2025-01-28 12:49:14,12:52:40.371,358
2025-01-28 12:49:14,12:52:43.504,566
2025-01-28 12:49:14,12:52:47.454,341
2025-01-28 12:49:14,12:52:51.321,365
2025-01-28 12:49:14,12:52:55.304,310
2025-01-28 12:49:14,12:52:59.403,374
2025-01-28 12:49:14,12:53:03.053,424
2025-01-28 12:49:14,12:53:06.786,325
2025-01-28 12:49:14,12:53:09.452,445
2025-01-28 12:49:14,12:53:12.469,383
2025-01-28 12:49:14,12:53:16.052,497
2025-01-28 12:49:14,12:53:19.951,322
2025-01-28 12:49:14,12:53:23.518,333
2025-01-28 12:49:14,12:53:27.484,280
2025-01-28 12:49:14,12:53:31.701,363
2025-01-28 12:49:14,12:53:33.650,371
2025-01-28 12:49:14,12:53:37.533,329
2025-01-28 12:49:14,12:53:39.517,430
2025-01-28 12:49:14,12:53:42.416,330
2025-01-28 12:49:14,12:53:46.067,335
2025-01-28 12:49:14,12:53:50.399,375
2025-01-28 12:49:14,12:53:55.115,486
2025-01-28 12:49:14,12:53:57.582,544
2025-01-28 12:49:14,12:54:01.465,389
2025-01-28 12:49:14,12:54:05.148,395
2025-01-28 12:49:14,12:54:09.481,368
2025-01-28 12:49:14,12:54:13.180,273
2025-01-28 12:49:14,12:54:17.930,301
2025-01-28 12:49:14,12:54:19.230,0
2025-01-28 12:49:14,12:54:22.946,521
2025-01-28 12:49:14,12:54:25.846,386
2025-01-28 12:49:14,12:54:30.079,350
2025-01-28 12:49:14,12:54:32.279,548
2025-01-28 12:49:14,12:54:34.279,423
2025-01-28 12:49:14,12:54:36.328,404
2025-01-28 12:49:14,12:54:39.745,370
2025-01-28 12:49:14,12:54:43.761,294
2025-01-28 12:49:14,12:54:46.994,410
2025-01-28 12:49:14,12:54:49.611,0
2025-01-28 12:49:14,12:54:53.877,348
2025-01-28 12:49:14,12:54:57.577,384
2025-01-28 12:49:14,12:55:00.110,559
2025-01-28 12:49:14,12:55:02.460,416
2025-01-28 12:49:14,12:55:06.992,597
2025-01-28 12:49:14,12:55:11.025,396
2025-01-28 12:49:14,12:55:13.625,664
2025-01-28 12:49:14,12:55:16.675,554
2025-01-28 12:49:14,12:55:21.308,347
2025-01-28 12:49:14,12:55:26.091,360
2025-01-28 12:49:14,12:55:29.407,839
2025-01-28 12:49:14,12:55:33.840,367
2025-01-28 12:49:14,12:55:37.440,413
2025-01-28 12:49:14,12:55:42.255,332
2025-01-28 12:49:14,12:55:46.939,310
2025-01-28 12:49:14,12:55:49.606,503
2025-01-28 12:49:14,12:55:52.672,311
2025-01-28 12:49:14,12:55:55.538,345
2025-01-28 12:49:14,12:55:59.071,317
2025-01-28 12:49:14,12:56:01.705,367
2025-01-28 12:49:14,12:56:04.088,358
2025-01-28 12:49:14,12:56:06.737,342
2025-01-28 12:49:14,12:56:11.437,351
2025-01-28 12:49:14,12:56:14.037,282
2025-01-28 12:49:14,12:56:16.054,322
2025-01-28 12:49:14,Sex,
2025-01-28 12:49:14,Test Duration in seconds,421
2025-01-28 12:49:14,Number of False Positives,4
2025-01-28 12:49:14,Average response time ,384
2025-01-28 12:49:14,Fastest response time ,250
2025-01-28 12:49:14,Slowest response time ,839
2025-01-28 12:49:14,Count of response time over 500ms ,19
