Task,TapTime,Milliseconds
2025-04-04 11:31:45,11:31:48.821,282
2025-04-04 11:31:45,11:31:50.821,283
2025-04-04 11:31:45,11:31:53.271,0
2025-04-04 11:31:45,11:31:57.537,266
2025-04-04 11:31:45,11:32:02.404,266
2025-04-04 11:31:45,11:32:06.420,283
2025-04-04 11:31:45,11:32:09.003,466
2025-04-04 11:31:45,11:32:11.120,316
2025-04-04 11:31:45,11:32:14.469,255
2025-04-04 11:31:45,11:32:17.136,466
2025-04-04 11:31:45,11:32:19.919,0
2025-04-04 11:31:45,11:32:23.452,249
2025-04-04 11:31:45,11:32:26.435,299
2025-04-04 11:31:45,11:32:29.536,0
2025-04-04 11:31:45,11:32:32.851,249
2025-04-04 11:31:45,11:32:37.084,616
2025-04-04 11:31:45,11:32:41.501,0
2025-04-04 11:31:45,11:32:44.767,499
2025-04-04 11:31:45,11:32:47.317,495
2025-04-04 11:31:45,11:32:49.417,416
2025-04-04 11:31:45,11:32:51.750,216
2025-04-04 11:31:45,11:32:56.716,283
2025-04-04 11:31:45,11:32:59.116,316
2025-04-04 11:31:45,11:33:01.883,0
2025-04-04 11:31:45,11:33:04.267,0
2025-04-04 11:31:45,11:33:08.382,249
2025-04-04 11:31:45,11:33:11.099,366
2025-04-04 11:31:45,11:33:14.349,282
2025-04-04 11:31:45,11:33:17.766,0
2025-04-04 11:31:45,11:33:19.681,349
2025-04-04 11:31:45,11:33:23.615,283
2025-04-04 11:31:45,11:33:25.614,416
2025-04-04 11:31:45,11:33:30.481,349
2025-04-04 11:31:45,11:33:33.564,366
2025-04-04 11:31:45,11:33:35.914,382
2025-04-04 11:31:45,11:33:38.997,0
2025-04-04 11:31:45,11:33:42.913,316
2025-04-04 11:31:45,11:33:45.763,366
2025-04-04 11:31:45,11:33:49.613,349
2025-04-04 11:31:45,11:33:51.963,299
2025-04-04 11:31:45,11:33:54.362,345
2025-04-04 11:31:45,11:33:56.663,0
2025-04-04 11:31:45,11:33:58.695,299
2025-04-04 11:31:45,11:34:01.762,366
2025-04-04 11:31:45,11:34:05.212,283
2025-04-04 11:31:45,11:34:09.311,249
2025-04-04 11:31:45,11:34:13.128,266
2025-04-04 11:31:45,11:34:17.377,249
2025-04-04 11:31:45,11:34:21.661,266
2025-04-04 11:31:45,11:34:24.777,297
2025-04-04 11:31:45,11:34:27.960,299
2025-04-04 11:31:45,11:34:30.743,309
2025-04-04 11:31:45,11:34:32.826,366
2025-04-04 11:31:45,11:34:34.743,283
2025-04-04 11:31:45,11:34:36.609,283
2025-04-04 11:31:45,11:34:38.526,266
2025-04-04 11:31:45,11:34:39.976,0
2025-04-04 11:31:45,11:34:41.643,0
2025-04-04 11:31:45,11:34:45.759,299
2025-04-04 11:31:45,11:34:49.742,283
2025-04-04 11:31:45,11:34:52.792,266
2025-04-04 11:31:45,11:34:55.175,316
2025-04-04 11:31:45,11:34:57.808,283
2025-04-04 11:31:45,11:35:00.358,0
2025-04-04 11:31:45,11:35:02.908,249
2025-04-04 11:31:45,11:35:06.457,332
2025-04-04 11:31:45,11:35:09.140,549
2025-04-04 11:31:45,11:35:11.540,749
2025-04-04 11:31:45,11:35:14.191,0
2025-04-04 11:31:45,11:35:16.673,16
2025-04-04 11:31:45,11:35:19.574,0
2025-04-04 11:31:45,11:35:21.623,366
2025-04-04 11:31:45,11:35:26.406,283
2025-04-04 11:31:45,11:35:30.472,283
2025-04-04 11:31:45,11:35:32.739,283
2025-04-04 11:31:45,11:35:35.289,0
2025-04-04 11:31:45,11:35:37.955,253
2025-04-04 11:31:45,11:35:40.705,49
2025-04-04 11:31:45,11:35:43.505,249
2025-04-04 11:31:45,11:35:46.505,0
2025-04-04 11:31:45,11:35:48.871,283
2025-04-04 11:31:45,11:35:52.255,333
2025-04-04 11:31:45,11:35:55.004,0
2025-04-04 11:31:45,11:35:59.554,299
2025-04-04 11:31:45,11:36:01.853,399
2025-04-04 11:31:45,11:36:05.920,0
2025-04-04 11:31:45,11:36:09.037,0
2025-04-04 11:31:45,11:36:12.587,333
2025-04-04 11:31:45,11:36:15.569,249
2025-04-04 11:31:45,11:36:18.486,233
2025-04-04 11:31:45,11:36:21.502,249
2025-04-04 11:31:45,11:36:24.569,0
2025-04-04 11:31:45,11:36:27.052,0
2025-04-04 11:31:45,11:36:30.701,249
2025-04-04 11:31:45,11:36:32.718,399
2025-04-04 11:31:45,11:36:36.768,49
2025-04-04 11:31:45,11:36:40.467,283
2025-04-04 11:31:45,11:36:42.851,266
2025-04-04 11:31:45,11:36:46.268,0
2025-04-04 11:31:45,11:36:50.184,266
2025-04-04 11:31:45,11:36:53.050,333
2025-04-04 11:31:45,11:36:57.750,366
2025-04-04 11:31:45,11:37:01.233,0
2025-04-04 11:31:45,11:37:05.966,316
2025-04-04 11:31:45,11:37:08.382,333
2025-04-04 11:31:45,11:37:10.732,283
2025-04-04 11:31:45,11:37:13.498,249
2025-04-04 11:31:45,11:37:15.598,416
2025-04-04 11:31:45,11:37:18.132,283
2025-04-04 11:31:45,11:37:21.515,66
2025-04-04 11:31:45,11:37:25.981,266
2025-04-04 11:31:45,11:37:30.047,314
2025-04-04 11:31:45,11:37:32.147,433
2025-04-04 11:31:45,11:37:34.214,299
2025-04-04 11:31:45,11:37:36.364,249
2025-04-04 11:31:45,11:37:38.930,283
2025-04-04 11:31:45,11:37:42.064,0
2025-04-04 11:31:45,11:37:44.780,245
2025-04-04 11:31:45,11:37:47.896,516
2025-04-04 11:31:45,11:37:51.263,197
2025-04-04 11:31:45,11:37:53.596,264
2025-04-04 11:31:45,11:37:55.979,333
2025-04-04 11:31:45,11:37:59.545,299
2025-04-04 11:31:45,11:38:01.763,203
2025-04-04 11:31:45,11:38:04.045,0
2025-04-04 11:31:45,11:38:08.328,283
2025-04-04 11:31:45,11:38:10.695,449
2025-04-04 11:31:45,11:38:13.861,283
2025-04-04 11:31:45,11:38:17.477,299
2025-04-04 11:31:45,11:38:19.544,325
2025-04-04 11:31:45,11:38:21.944,166
2025-04-04 11:31:45,11:38:24.977,0
2025-04-04 11:31:45,11:38:27.760,249
2025-04-04 11:31:45,11:38:31.210,0
2025-04-04 11:31:45,11:38:33.876,299
2025-04-04 11:31:45,11:38:36.560,352
2025-04-04 11:31:45,11:38:40.226,0
2025-04-04 11:31:45,11:38:42.943,233
2025-04-04 11:31:45,11:38:45.225,449
2025-04-04 11:31:45,11:38:48.875,299
2025-04-04 11:31:45,Sex,
2025-04-04 11:31:45,Test Duration in seconds,423
2025-04-04 11:31:45,Number of False Positives,28
2025-04-04 11:31:45,Average response time ,308
2025-04-04 11:31:45,Fastest response time ,16
2025-04-04 11:31:45,Slowest response time ,749
2025-04-04 11:31:45,Count of response time over 500ms ,4
