Task,TapTime,Milliseconds
2025-04-04 11:08:19,11:08:21.300,647
2025-04-04 11:08:19,11:08:24.716,257
2025-04-04 11:08:19,11:08:27.317,0
2025-04-04 11:08:19,11:08:30.300,133
2025-04-04 11:08:19,11:08:34.582,283
2025-04-04 11:08:19,11:08:38.899,333
2025-04-04 11:08:19,11:08:40.383,0
2025-04-04 11:08:19,11:08:44.932,633
2025-04-04 11:08:19,11:08:47.582,483
2025-04-04 11:08:19,11:08:50.615,291
2025-04-04 11:08:19,11:08:53.181,256
2025-04-04 11:08:19,11:08:55.048,283
2025-04-04 11:08:19,11:08:56.415,0
2025-04-04 11:08:19,11:08:58.281,249
2025-04-04 11:08:19,11:09:00.348,0
2025-04-04 11:08:19,11:09:02.347,49
2025-04-04 11:08:19,11:09:05.531,0
2025-04-04 11:08:19,11:09:08.014,0
2025-04-04 11:08:19,11:09:11.297,258
2025-04-04 11:08:19,11:09:14.714,0
2025-04-04 11:08:19,11:09:17.879,516
2025-04-04 11:08:19,11:09:20.630,0
2025-04-04 11:08:19,11:09:24.430,0
2025-04-04 11:08:19,11:09:27.746,333
2025-04-04 11:08:19,11:09:31.828,266
2025-04-04 11:08:19,11:09:36.761,266
2025-04-04 11:08:19,11:09:40.278,317
2025-04-04 11:08:19,11:09:43.844,283
2025-04-04 11:08:19,11:09:46.478,430
2025-04-04 11:08:19,11:09:49.561,266
2025-04-04 11:08:19,11:09:53.228,0
2025-04-04 11:08:19,11:09:57.177,283
2025-04-04 11:08:19,11:09:59.393,432
2025-04-04 11:08:19,11:10:01.343,0
2025-04-04 11:08:19,11:10:04.910,0
2025-04-04 11:08:19,11:10:07.076,316
2025-04-04 11:08:19,11:10:07.993,0
2025-04-04 11:08:19,11:10:09.626,0
2025-04-04 11:08:19,11:10:09.959,0
2025-04-04 11:08:19,11:10:12.959,333
2025-04-04 11:08:19,11:10:13.426,0
2025-04-04 11:08:19,11:10:17.475,316
2025-04-04 11:08:19,11:10:19.975,378
2025-04-04 11:08:19,11:10:22.525,420
2025-04-04 11:08:19,11:10:24.891,332
2025-04-04 11:08:19,11:10:27.858,299
2025-04-04 11:08:19,11:10:29.191,0
2025-04-04 11:08:19,11:10:33.541,249
2025-04-04 11:08:19,11:10:36.924,366
2025-04-04 11:08:19,11:10:41.207,316
2025-04-04 11:08:19,11:10:45.357,395
2025-04-04 11:08:19,11:10:47.923,366
2025-04-04 11:08:19,11:10:50.040,216
2025-04-04 11:08:19,11:10:54.639,282
2025-04-04 11:08:19,11:10:58.490,0
2025-04-04 11:08:19,11:10:58.805,0
2025-04-04 11:08:19,11:11:03.405,316
2025-04-04 11:08:19,11:11:08.022,333
