Task,TapTime,Milliseconds
2025-04-04 10:42:49,10:42:52.436,596
2025-04-04 10:42:49,10:42:54.852,354
2025-04-04 10:42:49,10:42:57.019,309
2025-04-04 10:42:49,10:42:59.152,264
2025-04-04 10:42:49,10:43:01.286,0
2025-04-04 10:42:49,10:43:05.768,270
2025-04-04 10:42:49,10:43:08.151,330
2025-04-04 10:42:49,10:43:12.434,299
2025-04-04 10:42:49,10:43:15.567,299
2025-04-04 10:42:49,10:43:20.350,283
2025-04-04 10:42:49,10:43:24.684,283
2025-04-04 10:42:49,10:43:27.450,516
2025-04-04 10:42:49,10:43:29.616,483
2025-04-04 10:42:49,10:43:32.767,0
2025-04-04 10:42:49,10:43:37.583,282
2025-04-04 10:42:49,10:43:41.982,271
2025-04-04 10:42:49,10:43:44.382,316
2025-04-04 10:42:49,10:43:46.516,0
2025-04-04 10:42:49,10:43:48.898,469
2025-04-04 10:42:49,10:43:51.581,449
2025-04-04 10:42:49,10:43:53.748,301
2025-04-04 10:42:49,10:43:57.231,299
2025-04-04 10:42:49,10:43:59.298,0
2025-04-04 10:42:49,10:44:00.098,0
2025-04-04 10:42:49,10:44:05.014,283
2025-04-04 10:42:49,10:44:08.114,325
2025-04-04 10:42:49,10:44:10.864,466
2025-04-04 10:42:49,10:44:13.380,316
2025-04-04 10:42:49,10:44:15.796,66
2025-04-04 10:42:49,10:44:15.863,0
2025-04-04 10:42:49,10:44:20.196,399
2025-04-04 10:42:49,10:44:25.313,583
2025-04-04 10:42:49,10:44:29.579,283
2025-04-04 10:42:49,10:44:31.812,416
2025-04-04 10:42:49,10:44:35.079,0
2025-04-04 10:42:49,10:44:38.395,375
2025-04-04 10:42:49,10:44:40.645,425
2025-04-04 10:42:49,10:44:44.061,332
2025-04-04 10:42:49,10:44:48.561,273
2025-04-04 10:42:49,10:44:51.427,299
2025-04-04 10:42:49,10:44:55.510,316
2025-04-04 10:42:49,10:44:57.710,408
2025-04-04 10:42:49,10:45:00.027,499
2025-04-04 10:42:49,10:45:03.093,233
2025-04-04 10:42:49,10:45:06.660,466
2025-04-04 10:42:49,10:45:10.193,266
2025-04-04 10:42:49,10:45:12.876,349
2025-04-04 10:42:49,10:45:15.709,316
2025-04-04 10:42:49,10:45:19.559,499
2025-04-04 10:42:49,10:45:22.375,383
2025-04-04 10:42:49,10:45:26.375,316
2025-04-04 10:42:49,10:45:30.958,256
2025-04-04 10:42:49,10:45:34.324,332
2025-04-04 10:42:49,10:45:38.608,283
2025-04-04 10:42:49,10:45:42.290,299
2025-04-04 10:42:49,10:45:45.823,299
2025-04-04 10:42:49,10:45:49.523,466
2025-04-04 10:42:49,10:45:52.856,369
2025-04-04 10:42:49,10:45:55.856,333
2025-04-04 10:42:49,10:45:59.356,299
2025-04-04 10:42:49,10:46:01.389,466
2025-04-04 10:42:49,10:46:05.089,299
2025-04-04 10:42:49,10:46:07.388,466
2025-04-04 10:42:49,10:46:11.555,403
2025-04-04 10:42:49,10:46:15.155,299
2025-04-04 10:42:49,10:46:17.821,299
2025-04-04 10:42:49,10:46:21.955,242
2025-04-04 10:42:49,10:46:24.805,0
2025-04-04 10:42:49,10:46:28.537,303
2025-04-04 10:42:49,10:46:30.820,340
2025-04-04 10:42:49,10:46:33.471,283
2025-04-04 10:42:49,10:46:36.487,33
2025-04-04 10:42:49,10:46:39.686,280
2025-04-04 10:42:49,10:46:44.003,282
2025-04-04 10:42:49,10:46:46.919,266
2025-04-04 10:42:49,10:46:48.902,316
2025-04-04 10:42:49,10:46:51.685,289
2025-04-04 10:42:49,10:46:55.186,0
2025-04-04 10:42:49,10:46:59.385,333
2025-04-04 10:42:49,10:47:02.885,347
2025-04-04 10:42:49,10:47:07.151,166
2025-04-04 10:42:49,10:47:10.051,332
2025-04-04 10:42:49,10:47:13.184,266
2025-04-04 10:42:49,10:47:15.550,299
2025-04-04 10:42:49,10:47:17.634,383
2025-04-04 10:42:49,10:47:21.183,266
2025-04-04 10:42:49,10:47:23.600,282
2025-04-04 10:42:49,10:47:25.600,283
2025-04-04 10:42:49,10:47:28.866,250
2025-04-04 10:42:49,10:47:32.583,233
2025-04-04 10:42:49,10:47:35.199,464
2025-04-04 10:42:49,10:47:37.849,333
2025-04-04 10:42:49,10:47:42.399,483
2025-04-04 10:42:49,10:47:47.199,283
2025-04-04 10:42:49,10:47:51.581,466
2025-04-04 10:42:49,10:47:56.398,349
2025-04-04 10:42:49,10:47:59.698,383
2025-04-04 10:42:49,10:48:02.131,264
2025-04-04 10:42:49,10:48:06.014,272
2025-04-04 10:42:49,10:48:09.880,299
2025-04-04 10:42:49,10:48:12.664,0
2025-04-04 10:42:49,10:48:15.546,366
2025-04-04 10:42:49,10:48:18.430,316
2025-04-04 10:42:49,10:48:20.830,0
2025-04-04 10:42:49,10:48:25.429,249
2025-04-04 10:42:49,10:48:26.746,0
2025-04-04 10:42:49,10:48:29.812,147
2025-04-04 10:42:49,10:48:34.129,283
2025-04-04 10:42:49,10:48:38.311,301
2025-04-04 10:42:49,10:48:40.978,262
2025-04-04 10:42:49,10:48:42.812,0
2025-04-04 10:42:49,10:48:47.211,496
2025-04-04 10:42:49,10:48:49.477,403
2025-04-04 10:42:49,10:48:54.094,316
2025-04-04 10:42:49,10:48:56.777,333
2025-04-04 10:42:49,10:48:59.094,295
2025-04-04 10:42:49,10:49:01.894,0
2025-04-04 10:42:49,10:49:06.460,416
2025-04-04 10:42:49,10:49:10.459,349
2025-04-04 10:42:49,10:49:13.142,299
2025-04-04 10:42:49,10:49:16.209,299
2025-04-04 10:42:49,10:49:20.275,299
2025-04-04 10:42:49,10:49:24.442,199
2025-04-04 10:42:49,10:49:29.041,266
2025-04-04 10:42:49,10:49:31.258,416
2025-04-04 10:42:49,10:49:32.691,0
2025-04-04 10:42:49,10:49:35.841,333
2025-04-04 10:42:49,10:49:38.324,349
2025-04-04 10:42:49,10:49:40.790,283
2025-04-04 10:42:49,10:49:43.657,0
2025-04-04 10:42:49,10:49:48.206,294
2025-04-04 10:42:49,10:49:52.056,341
2025-04-04 10:42:49,Sex,
2025-04-04 10:42:49,Test Duration in seconds,422
2025-04-04 10:42:49,Number of False Positives,16
2025-04-04 10:42:49,Average response time ,330
2025-04-04 10:42:49,Fastest response time ,33
2025-04-04 10:42:49,Slowest response time ,596
2025-04-04 10:42:49,Count of response time over 500ms ,3
