Task,TapTime,Milliseconds
2025-04-04 10:13:47,10:13:51.232,323
2025-04-04 10:13:47,10:13:53.782,294
2025-04-04 10:13:47,10:13:55.982,285
2025-04-04 10:13:47,10:13:59.731,301
2025-04-04 10:13:47,10:14:03.581,283
2025-04-04 10:13:47,10:14:06.264,380
2025-04-04 10:13:47,10:14:11.130,266
2025-04-04 10:13:47,10:14:13.764,740
2025-04-04 10:13:47,10:14:16.864,307
2025-04-04 10:13:47,10:14:20.947,386
2025-04-04 10:13:47,10:14:25.563,433
2025-04-04 10:13:47,10:14:29.912,354
2025-04-04 10:13:47,10:14:32.529,569
2025-04-04 10:13:47,10:14:35.729,595
2025-04-04 10:13:47,10:14:38.095,294
2025-04-04 10:13:47,10:14:40.812,283
2025-04-04 10:13:47,10:14:43.612,283
2025-04-04 10:13:47,10:14:44.295,0
2025-04-04 10:13:47,10:14:44.461,0
2025-04-04 10:13:47,10:14:48.195,266
2025-04-04 10:13:47,10:14:51.828,338
2025-04-04 10:13:47,10:14:55.861,266
2025-04-04 10:13:47,10:15:00.744,263
2025-04-04 10:13:47,10:15:04.010,349
2025-04-04 10:13:47,10:15:06.844,339
2025-04-04 10:13:47,10:15:09.960,273
2025-04-04 10:13:47,10:15:13.076,264
2025-04-04 10:13:47,10:15:15.493,299
2025-04-04 10:13:47,10:15:15.876,0
2025-04-04 10:13:47,10:15:17.843,316
2025-04-04 10:13:47,10:15:22.743,283
2025-04-04 10:13:47,10:15:26.459,333
2025-04-04 10:13:47,10:15:29.508,316
2025-04-04 10:13:47,10:15:33.542,283
2025-04-04 10:13:47,10:15:38.408,318
2025-04-04 10:13:47,10:15:40.574,497
2025-04-04 10:13:47,10:15:43.891,299
2025-04-04 10:13:47,10:15:47.524,466
2025-04-04 10:13:47,10:15:50.007,682
2025-04-04 10:13:47,10:15:53.773,293
2025-04-04 10:13:47,10:15:58.590,399
2025-04-04 10:13:47,10:16:01.206,349
2025-04-04 10:13:47,10:16:05.839,548
2025-04-04 10:13:47,10:16:10.206,283
2025-04-04 10:13:47,10:16:15.072,264
2025-04-04 10:13:47,10:16:19.855,305
2025-04-04 10:13:47,10:16:20.505,0
2025-04-04 10:13:47,10:16:20.638,0
2025-04-04 10:13:47,10:16:24.638,0
2025-04-04 10:13:47,10:16:24.821,0
2025-04-04 10:13:47,10:16:27.138,317
2025-04-04 10:13:47,10:16:30.987,331
