Task,TapTime,Milliseconds
2025-04-04 09:50:52,09:50:55.914,316
2025-04-04 09:50:52,09:50:58.248,278
2025-04-04 09:50:52,09:51:00.431,299
2025-04-04 09:50:52,09:51:03.248,287
2025-04-04 09:50:52,09:51:06.980,264
2025-04-04 09:50:52,09:51:10.947,282
2025-04-04 09:50:52,09:51:14.780,249
2025-04-04 09:50:52,09:51:16.913,383
2025-04-04 09:50:52,09:51:20.979,316
2025-04-04 09:50:52,09:51:25.679,282
2025-04-04 09:50:52,09:51:29.079,282
2025-04-04 09:50:52,09:51:32.579,249
2025-04-04 09:50:52,09:51:37.079,283
2025-04-04 09:50:52,09:51:40.745,283
2025-04-04 09:50:52,09:51:45.394,266
2025-04-04 09:50:52,09:51:49.244,316
2025-04-04 09:50:52,09:51:51.878,283
2025-04-04 09:50:52,09:51:54.227,262
2025-04-04 09:50:52,09:51:56.960,214
2025-04-04 09:50:52,09:51:59.993,0
2025-04-04 09:50:52,09:52:02.377,696
2025-04-04 09:50:52,09:52:06.510,272
2025-04-04 09:50:52,09:52:10.360,280
2025-04-04 09:50:52,09:52:14.409,283
2025-04-04 09:50:52,09:52:17.225,299
2025-04-04 09:50:52,09:52:20.409,283
2025-04-04 09:50:52,09:52:25.142,282
2025-04-04 09:50:52,09:52:27.208,464
2025-04-04 09:50:52,09:52:29.208,416
2025-04-04 09:50:52,09:52:33.591,266
2025-04-04 09:50:52,09:52:37.241,249
2025-04-04 09:50:52,09:52:38.291,0
2025-04-04 09:50:52,09:52:40.441,316
2025-04-04 09:50:52,09:52:43.591,266
2025-04-04 09:50:52,09:52:48.407,282
2025-04-04 09:50:52,09:52:51.590,314
2025-04-04 09:50:52,09:52:54.206,283
2025-04-04 09:50:52,09:52:56.723,266
2025-04-04 09:50:52,09:52:59.639,249
2025-04-04 09:50:52,09:53:02.840,0
2025-04-04 09:50:52,09:53:03.472,0
2025-04-04 09:50:52,09:53:05.773,0
2025-04-04 09:50:52,09:53:10.388,314
2025-04-04 09:50:52,09:53:13.555,299
2025-04-04 09:50:52,09:53:16.655,332
2025-04-04 09:50:52,09:53:20.371,297
2025-04-04 09:50:52,09:53:23.521,266
2025-04-04 09:50:52,09:53:26.221,299
2025-04-04 09:50:52,09:53:28.871,283
2025-04-04 09:50:52,09:53:33.537,282
2025-04-04 09:50:52,09:53:37.153,279
2025-04-04 09:50:52,09:53:41.920,304
2025-04-04 09:50:52,09:53:44.103,489
2025-04-04 09:50:52,09:53:46.220,347
2025-04-04 09:50:52,09:53:49.502,316
2025-04-04 09:50:52,09:53:52.836,316
2025-04-04 09:50:52,09:53:55.235,316
2025-04-04 09:50:52,09:53:59.268,349
2025-04-04 09:50:52,09:54:03.268,282
2025-04-04 09:50:52,09:54:07.784,332
2025-04-04 09:50:52,09:54:11.301,316
2025-04-04 09:50:52,09:54:13.434,382
2025-04-04 09:50:52,09:54:17.384,332
2025-04-04 09:50:52,09:54:20.500,316
2025-04-04 09:50:52,09:54:23.783,308
2025-04-04 09:50:52,09:54:26.750,260
2025-04-04 09:50:52,09:54:29.200,282
2025-04-04 09:50:52,09:54:33.416,299
2025-04-04 09:50:52,09:54:36.882,347
2025-04-04 09:50:52,09:54:40.766,316
2025-04-04 09:50:52,09:54:44.865,282
2025-04-04 09:50:52,09:54:48.432,316
2025-04-04 09:50:52,09:54:52.648,332
2025-04-04 09:50:52,09:54:54.748,433
2025-04-04 09:50:52,09:54:59.364,316
2025-04-04 09:50:52,09:55:02.497,316
2025-04-04 09:50:52,09:55:06.064,282
2025-04-04 09:50:52,09:55:09.230,316
2025-04-04 09:50:52,09:55:09.781,0
2025-04-04 09:50:52,09:55:12.047,309
2025-04-04 09:50:52,09:55:17.112,375
2025-04-04 09:50:52,09:55:21.429,449
2025-04-04 09:50:52,09:55:24.296,382
2025-04-04 09:50:52,09:55:26.879,366
2025-04-04 09:50:52,09:55:29.879,366
2025-04-04 09:50:52,09:55:32.512,332
2025-04-04 09:50:52,09:55:36.661,349
2025-04-04 09:50:52,09:55:39.528,349
2025-04-04 09:50:52,09:55:41.961,316
2025-04-04 09:50:52,09:55:46.661,282
2025-04-04 09:50:52,09:55:51.194,283
2025-04-04 09:50:52,09:55:54.727,349
2025-04-04 09:50:52,09:55:56.943,299
2025-04-04 09:50:52,09:55:59.826,316
2025-04-04 09:50:52,09:56:03.476,299
2025-04-04 09:50:52,09:56:08.426,316
2025-04-04 09:50:52,09:56:12.842,332
2025-04-04 09:50:52,09:56:17.459,282
2025-04-04 09:50:52,09:56:20.258,397
2025-04-04 09:50:52,09:56:22.442,332
2025-04-04 09:50:52,09:56:26.758,382
2025-04-04 09:50:52,09:56:29.641,399
2025-04-04 09:50:52,09:56:32.374,332
2025-04-04 09:50:52,09:56:37.191,349
2025-04-04 09:50:52,09:56:41.257,349
2025-04-04 09:50:52,09:56:43.774,399
2025-04-04 09:50:52,09:56:46.740,299
2025-04-04 09:50:52,09:56:50.056,349
2025-04-04 09:50:52,09:56:52.506,332
2025-04-04 09:50:52,09:56:55.539,299
2025-04-04 09:50:52,09:56:58.089,316
2025-04-04 09:50:52,09:57:00.889,316
2025-04-04 09:50:52,09:57:05.255,282
2025-04-04 09:50:52,09:57:08.672,299
2025-04-04 09:50:52,09:57:13.271,299
2025-04-04 09:50:52,09:57:16.155,316
2025-04-04 09:50:52,09:57:18.204,299
2025-04-04 09:50:52,09:57:20.671,299
2025-04-04 09:50:52,09:57:23.054,16
2025-04-04 09:50:52,09:57:27.720,282
2025-04-04 09:50:52,09:57:31.854,0
2025-04-04 09:50:52,09:57:33.987,416
2025-04-04 09:50:52,09:57:37.220,316
2025-04-04 09:50:52,09:57:41.669,299
2025-04-04 09:50:52,09:57:44.803,299
2025-04-04 09:50:52,09:57:47.702,266
2025-04-04 09:50:52,09:57:51.519,277
2025-04-04 09:50:52,09:57:54.852,282
2025-04-04 09:50:52,Sex,
2025-04-04 09:50:52,Test Duration in seconds,422
2025-04-04 09:50:52,Number of False Positives,7
2025-04-04 09:50:52,Average response time ,314
2025-04-04 09:50:52,Fastest response time ,16
2025-04-04 09:50:52,Slowest response time ,696
2025-04-04 09:50:52,Count of response time over 500ms ,1
