Task,TapTime,Milliseconds
,10:35:26.272,299
,10:35:30.156,283
,10:35:33.222,266
,10:35:36.338,266
,10:35:38.805,299
,10:35:43.271,266
,10:35:46.554,283
,10:35:51.220,280
,10:35:54.103,313
,10:35:57.620,299
,10:35:59.870,333
,10:36:04.869,299
,10:36:08.019,274
,10:36:10.202,316
,10:36:15.135,274
,10:36:19.068,316
,10:36:22.218,332
,10:36:27.034,282
,10:36:30.651,249
,10:36:35.350,283
,10:36:39.233,282
,10:36:43.050,299
,10:36:47.283,299
,10:36:52.132,266
,10:36:55.232,332
,10:36:58.749,283
,10:37:03.332,299
,10:37:07.648,299
,10:37:11.714,272
,10:37:14.797,333
,10:37:17.130,249
,10:37:21.847,266
,10:37:25.713,316
,10:37:30.180,299
,10:37:32.429,449
,10:37:35.162,282
,10:37:39.195,266
,10:37:42.212,349
,10:37:45.678,283
,10:37:48.195,316
,10:37:50.678,282
,10:37:54.161,316
,10:37:58.644,316
,10:38:01.327,332
,10:38:04.594,280
,10:38:08.760,299
,10:38:11.326,332
,10:38:15.743,349
,10:38:18.942,482
,10:38:23.125,266
,10:38:26.609,0
,10:38:30.858,399
,10:38:33.275,316
,10:38:36.291,266
,10:38:39.291,299
,10:38:41.841,266
,10:38:45.740,316
,10:38:50.274,266
,10:38:54.006,249
,10:38:58.173,299
,10:39:02.223,316
,10:39:06.456,332
,10:39:11.322,349
,10:39:15.155,283
,10:39:18.138,289
,10:39:21.738,432
,10:39:25.471,299
,10:39:29.170,299
,10:39:31.804,349
,10:39:34.620,306
,10:39:36.770,299
,10:39:40.686,282
,10:39:42.769,342
,10:39:45.369,232
,10:39:48.752,282
,10:39:51.202,299
,10:39:54.569,254
,10:39:57.635,299
,10:39:59.668,354
,10:40:03.934,299
,10:40:06.868,266
,10:40:10.284,266
,10:40:12.667,333
,10:40:15.384,299
,10:40:19.067,282
,10:40:23.966,266
,10:40:26.999,399
,10:40:29.316,366
,10:40:32.466,299
,10:40:34.882,316
,10:40:37.632,282
,10:40:40.315,299
,10:40:42.798,282
,10:40:47.598,249
,10:40:49.581,449
,10:40:52.164,266
,10:40:56.731,266
,10:41:01.314,266
,10:41:05.663,266
,10:41:10.430,249
,10:41:14.279,299
,10:41:18.812,349
,10:41:23.045,299
,10:41:24.995,416
,10:41:29.578,263
,10:41:34.094,249
,10:41:36.877,299
,10:41:41.777,299
,10:41:44.210,349
,10:41:48.427,316
,10:41:52.293,349
,10:41:56.759,299
,10:41:59.176,716
,10:42:02.492,316
,10:42:05.692,299
,10:42:09.858,316
,10:42:14.308,366
,10:42:19.058,310
,10:42:22.207,332
,10:42:24.341,0
,Sex,
,Test Duration in seconds,421
,Number of False Positives,2
,Average response time ,308
,Fastest response time ,232
,Slowest response time ,716
,Count of response time over 500ms ,1
