Task,TapTime,Milliseconds
2025-02-04 09:49:14,09:49:16.792,759
2025-02-04 09:49:14,09:49:20.175,399
2025-02-04 09:49:14,09:49:22.659,383
2025-02-04 09:49:14,09:49:26.108,349
2025-02-04 09:49:14,09:49:29.458,0
2025-02-04 09:49:14,09:49:31.707,216
2025-02-04 09:49:14,09:49:34.157,782
2025-02-04 09:49:14,09:49:38.024,366
2025-02-04 09:49:14,09:49:40.890,349
2025-02-04 09:49:14,09:49:44.090,332
2025-02-04 09:49:14,09:49:46.257,0
2025-02-04 09:49:14,09:49:48.140,0
2025-02-04 09:49:14,09:49:52.056,332
2025-02-04 09:49:14,09:49:54.040,0
2025-02-04 09:49:14,09:49:56.639,416
2025-02-04 09:49:14,09:50:00.622,406
2025-02-04 09:49:14,09:50:02.922,449
2025-02-04 09:49:14,09:50:06.572,383
2025-02-04 09:49:14,09:50:09.521,616
2025-02-04 09:49:14,09:50:11.755,383
2025-02-04 09:49:14,09:50:14.555,0
2025-02-04 09:49:14,09:50:16.838,316
2025-02-04 09:49:14,09:50:19.304,266
2025-02-04 09:49:14,09:50:21.620,399
2025-02-04 09:49:14,09:50:25.020,366
2025-02-04 09:49:14,09:50:29.320,366
2025-02-04 09:49:14,09:50:31.953,399
2025-02-04 09:49:14,09:50:36.919,349
2025-02-04 09:49:14,09:50:39.286,499
2025-02-04 09:49:14,09:50:41.336,416
2025-02-04 09:49:14,09:50:44.569,342
2025-02-04 09:49:14,09:50:47.602,349
2025-02-04 09:49:14,09:50:51.535,399
2025-02-04 09:49:14,09:50:54.335,549
2025-02-04 09:49:14,09:50:56.885,394
2025-02-04 09:49:14,09:50:59.184,366
2025-02-04 09:49:14,09:51:01.817,316
2025-02-04 09:49:14,09:51:04.667,299
2025-02-04 09:49:14,09:51:08.067,282
2025-02-04 09:49:14,09:51:11.667,299
2025-02-04 09:49:14,09:51:15.117,0
2025-02-04 09:49:14,09:51:18.083,299
2025-02-04 09:49:14,09:51:20.049,382
2025-02-04 09:49:14,09:51:24.532,306
2025-02-04 09:49:14,09:51:28.549,314
2025-02-04 09:49:14,09:51:31.099,316
2025-02-04 09:49:14,09:51:33.032,0
2025-02-04 09:49:14,09:51:37.998,332
2025-02-04 09:49:14,09:51:42.181,349
2025-02-04 09:49:14,09:51:44.864,382
2025-02-04 09:49:14,09:51:47.031,366
2025-02-04 09:49:14,09:51:49.012,0
2025-02-04 09:49:14,09:51:51.498,483
2025-02-04 09:49:14,09:51:53.730,316
2025-02-04 09:49:14,09:51:55.747,0
2025-02-04 09:49:14,09:51:59.346,314
2025-02-04 09:49:14,09:52:02.996,566
2025-02-04 09:49:14,09:52:05.779,399
2025-02-04 09:49:14,09:52:09.079,332
2025-02-04 09:49:14,09:52:13.462,499
2025-02-04 09:49:14,09:52:17.112,449
2025-02-04 09:49:14,09:52:19.995,768
2025-02-04 09:49:14,09:52:23.278,349
2025-02-04 09:49:14,09:52:28.061,299
2025-02-04 09:49:14,09:52:30.261,466
2025-02-04 09:49:14,09:52:32.228,0
2025-02-04 09:49:14,09:52:34.360,316
2025-02-04 09:49:14,09:52:38.043,316
2025-02-04 09:49:14,09:52:40.110,449
2025-02-04 09:49:14,09:52:41.611,0
2025-02-04 09:49:14,09:52:46.493,416
2025-02-04 09:49:14,09:52:50.309,382
2025-02-04 09:49:14,09:52:52.576,416
2025-02-04 09:49:14,09:52:56.075,449
