Task,TapTime,Milliseconds
2025-02-04 10:11:49,10:11:53.211,282
2025-02-04 10:11:49,10:11:56.244,283
2025-02-04 10:11:49,10:11:58.560,282
2025-02-04 10:11:49,10:12:00.693,249
2025-02-04 10:11:49,10:12:03.510,266
2025-02-04 10:11:49,10:12:06.377,0
2025-02-04 10:11:49,10:12:10.193,292
2025-02-04 10:11:49,10:12:13.010,0
2025-02-04 10:11:49,10:12:16.809,316
2025-02-04 10:11:49,10:12:20.092,266
2025-02-04 10:11:49,10:12:24.142,283
2025-02-04 10:11:49,10:12:26.358,366
2025-02-04 10:11:49,10:12:28.591,313
2025-02-04 10:11:49,10:12:31.858,283
2025-02-04 10:11:49,10:12:34.957,249
2025-02-04 10:11:49,10:12:37.307,283
2025-02-04 10:11:49,10:12:39.908,0
2025-02-04 10:11:49,10:12:42.341,0
2025-02-04 10:11:49,10:12:46.756,299
2025-02-04 10:11:49,10:12:51.106,283
2025-02-04 10:11:49,10:12:53.156,333
2025-02-04 10:11:49,10:12:55.272,299
2025-02-04 10:11:49,10:12:59.822,266
2025-02-04 10:11:49,10:13:03.822,283
2025-02-04 10:11:49,10:13:06.722,249
2025-02-04 10:11:49,10:13:09.221,266
2025-02-04 10:11:49,10:13:11.289,0
2025-02-04 10:11:49,10:13:13.238,0
2025-02-04 10:11:49,10:13:15.588,166
2025-02-04 10:11:49,10:13:17.687,299
2025-02-04 10:11:49,10:13:19.604,299
2025-02-04 10:11:49,10:13:24.237,316
2025-02-04 10:11:49,10:13:27.387,299
2025-02-04 10:11:49,10:13:31.537,267
2025-02-04 10:11:49,10:13:35.586,309
2025-02-04 10:11:49,10:13:37.836,349
2025-02-04 10:11:49,10:13:40.920,0
2025-02-04 10:11:49,10:13:43.369,299
2025-02-04 10:11:49,10:13:47.269,299
2025-02-04 10:11:49,10:13:50.218,283
2025-02-04 10:11:49,10:13:52.685,0
2025-02-04 10:11:49,10:13:55.834,16
2025-02-04 10:11:49,10:13:57.751,382
2025-02-04 10:11:49,10:14:02.701,283
2025-02-04 10:11:49,10:14:05.867,299
2025-02-04 10:11:49,10:14:09.867,283
2025-02-04 10:11:49,10:14:13.167,0
2025-02-04 10:11:49,10:14:15.700,266
2025-02-04 10:11:49,10:14:16.817,0
2025-02-04 10:11:49,10:14:19.350,283
2025-02-04 10:11:49,10:14:23.316,249
2025-02-04 10:11:49,10:14:27.116,0
2025-02-04 10:11:49,10:14:29.416,0
2025-02-04 10:11:49,10:14:29.682,0
2025-02-04 10:11:49,10:14:34.598,299
2025-02-04 10:11:49,10:14:36.948,366
2025-02-04 10:11:49,10:14:41.531,261
2025-02-04 10:11:49,10:14:45.264,283
2025-02-04 10:11:49,10:14:47.281,266
2025-02-04 10:11:49,10:14:50.230,249
2025-02-04 10:11:49,10:14:53.114,283
2025-02-04 10:11:49,10:14:55.697,299
2025-02-04 10:11:49,10:14:58.997,283
2025-02-04 10:11:49,10:15:02.730,316
2025-02-04 10:11:49,10:15:05.429,283
2025-02-04 10:11:49,10:15:08.146,0
2025-02-04 10:11:49,10:15:12.729,316
2025-02-04 10:11:49,10:15:16.695,233
2025-02-04 10:11:49,10:15:19.628,333
2025-02-04 10:11:49,10:15:23.728,333
2025-02-04 10:11:49,10:15:27.311,249
2025-02-04 10:11:49,10:15:30.211,297
2025-02-04 10:11:49,10:15:33.244,283
2025-02-04 10:11:49,10:15:35.360,366
2025-02-04 10:11:49,10:15:39.377,283
2025-02-04 10:11:49,10:15:41.643,373
2025-02-04 10:11:49,10:15:44.510,0
2025-02-04 10:11:49,10:15:46.576,306
2025-02-04 10:11:49,10:15:48.809,266
2025-02-04 10:11:49,10:15:51.059,249
2025-02-04 10:11:49,10:15:53.559,316
2025-02-04 10:11:49,10:15:56.559,289
2025-02-04 10:11:49,10:15:58.992,282
2025-02-04 10:11:49,10:16:03.158,299
