Task,TapTime,Milliseconds
2025-02-04 11:02:07,11:02:11.304,283
2025-02-04 11:02:07,11:02:15.521,266
2025-02-04 11:02:07,11:02:18.170,299
2025-02-04 11:02:07,11:02:20.937,266
2025-02-04 11:02:07,11:02:23.486,149
2025-02-04 11:02:07,11:02:26.286,0
2025-02-04 11:02:07,11:02:28.837,0
2025-02-04 11:02:07,11:02:31.786,0
2025-02-04 11:02:07,11:02:36.452,149
2025-02-04 11:02:07,11:02:39.035,329
2025-02-04 11:02:07,11:02:41.269,263
2025-02-04 11:02:07,11:02:43.452,263
2025-02-04 11:02:07,11:02:46.069,0
2025-02-04 11:02:07,11:02:47.934,349
2025-02-04 11:02:07,11:02:50.085,283
2025-02-04 11:02:07,11:02:51.801,0
2025-02-04 11:02:07,11:02:55.885,0
2025-02-04 11:02:07,11:03:00.050,249
2025-02-04 11:02:07,11:03:02.500,312
2025-02-04 11:02:07,11:03:05.217,0
2025-02-04 11:02:07,11:03:09.766,299
2025-02-04 11:02:07,11:03:13.999,249
2025-02-04 11:02:07,11:03:17.216,245
2025-02-04 11:02:07,11:03:19.183,0
2025-02-04 11:02:07,11:03:22.599,0
2025-02-04 11:02:07,11:03:25.498,266
2025-02-04 11:02:07,11:03:28.832,266
2025-02-04 11:02:07,11:03:31.815,0
2025-02-04 11:02:07,11:03:35.798,0
2025-02-04 11:02:07,11:03:38.014,433
2025-02-04 11:02:07,11:03:41.414,199
2025-02-04 11:02:07,11:03:43.497,199
2025-02-04 11:02:07,11:03:46.631,0
2025-02-04 11:02:07,11:03:49.946,266
2025-02-04 11:02:07,11:03:51.764,0
2025-02-04 11:02:07,11:03:55.563,0
2025-02-04 11:02:07,11:03:58.430,0
2025-02-04 11:02:07,11:04:01.496,283
2025-02-04 11:02:07,11:04:04.713,0
2025-02-04 11:02:07,11:04:07.462,233
2025-02-04 11:02:07,11:04:11.645,282
2025-02-04 11:02:07,11:04:14.979,0
2025-02-04 11:02:07,11:04:19.778,266
2025-02-04 11:02:07,11:04:23.011,366
2025-02-04 11:02:07,11:04:26.127,283
2025-02-04 11:02:07,11:04:28.644,249
2025-02-04 11:02:07,11:04:31.594,233
2025-02-04 11:02:07,11:04:34.027,0
2025-02-04 11:02:07,11:04:36.543,249
2025-02-04 11:02:07,11:04:39.543,266
2025-02-04 11:02:07,11:04:41.693,0
2025-02-04 11:02:07,11:04:45.559,283
2025-02-04 11:02:07,11:04:50.376,283
2025-02-04 11:02:07,11:04:53.226,0
2025-02-04 11:02:07,11:04:56.809,0
2025-02-04 11:02:07,11:05:00.275,0
2025-02-04 11:02:07,11:05:04.025,0
2025-02-04 11:02:07,11:05:08.007,182
2025-02-04 11:02:07,11:05:12.507,283
2025-02-04 11:02:07,11:05:16.090,0
2025-02-04 11:02:07,11:05:19.156,233
2025-02-04 11:02:07,11:05:22.673,249
2025-02-04 11:02:07,11:05:25.756,0
2025-02-04 11:02:07,11:05:28.489,299
2025-02-04 11:02:07,11:05:30.956,433
2025-02-04 11:02:07,11:05:32.973,0
2025-02-04 11:02:07,11:05:36.188,299
2025-02-04 11:02:07,11:05:38.472,283
2025-02-04 11:02:07,11:05:40.588,298
2025-02-04 11:02:07,11:05:42.805,264
2025-02-04 11:02:07,11:05:44.821,283
2025-02-04 11:02:07,11:05:46.121,0
2025-02-04 11:02:07,11:05:48.454,249
2025-02-04 11:02:07,11:05:50.921,0
2025-02-04 11:02:07,11:05:52.754,0
2025-02-04 11:02:07,11:05:54.554,0
2025-02-04 11:02:07,11:05:56.821,0
2025-02-04 11:02:07,11:05:59.487,283
2025-02-04 11:02:07,11:06:01.553,333
2025-02-04 11:02:07,11:06:03.604,0
2025-02-04 11:02:07,11:06:05.636,299
2025-02-04 11:02:07,11:06:07.936,299
2025-02-04 11:02:07,11:06:10.703,0
2025-02-04 11:02:07,11:06:12.853,0
2025-02-04 11:02:07,11:06:15.936,249
2025-02-04 11:02:07,11:06:19.519,311
2025-02-04 11:02:07,11:06:22.635,416
2025-02-04 11:02:07,11:06:24.785,316
2025-02-04 11:02:07,11:06:26.935,283
2025-02-04 11:02:07,11:06:28.635,0
2025-02-04 11:02:07,11:06:33.501,283
2025-02-04 11:02:07,11:06:36.350,280
2025-02-04 11:02:07,11:06:39.867,41
2025-02-04 11:02:07,11:06:42.884,0
2025-02-04 11:02:07,11:06:45.500,0
2025-02-04 11:02:07,11:06:47.650,333
2025-02-04 11:02:07,11:06:50.150,0
2025-02-04 11:02:07,11:06:52.416,0
2025-02-04 11:02:07,11:06:54.566,299
2025-02-04 11:02:07,11:06:57.032,276
2025-02-04 11:02:07,11:06:59.416,0
2025-02-04 11:02:07,11:07:03.399,0
2025-02-04 11:02:07,11:07:06.832,316
2025-02-04 11:02:07,11:07:08.915,399
2025-02-04 11:02:07,11:07:12.665,283
2025-02-04 11:02:07,11:07:15.548,0
2025-02-04 11:02:07,11:07:18.115,0
2025-02-04 11:02:07,11:07:20.347,316
2025-02-04 11:02:07,11:07:23.764,0
2025-02-04 11:02:07,11:07:26.897,289
2025-02-04 11:02:07,11:07:30.264,0
2025-02-04 11:02:07,11:07:32.613,366
2025-02-04 11:02:07,11:07:36.730,333
2025-02-04 11:02:07,11:07:39.429,333
2025-02-04 11:02:07,11:07:42.745,316
2025-02-04 11:02:07,11:07:44.896,333
2025-02-04 11:02:07,11:07:47.628,166
2025-02-04 11:02:07,11:07:49.912,333
2025-02-04 11:02:07,11:07:52.895,0
2025-02-04 11:02:07,11:07:55.412,0
2025-02-04 11:02:07,11:07:57.678,299
2025-02-04 11:02:07,11:08:01.445,0
2025-02-04 11:02:07,11:08:06.060,283
2025-02-04 11:02:07,11:08:10.677,316
2025-02-04 11:02:07,11:08:14.077,283
2025-02-04 11:02:07,11:08:16.893,333
2025-02-04 11:02:07,11:08:20.043,0
2025-02-04 11:02:07,11:08:22.209,349
2025-02-04 11:02:07,11:08:24.560,0
2025-02-04 11:02:07,11:08:26.693,0
2025-02-04 11:02:07,11:08:28.276,0
2025-02-04 11:02:07,11:08:31.792,0
2025-02-04 11:02:07,11:08:34.742,366
2025-02-04 11:02:07,11:08:37.208,399
2025-02-04 11:02:07,11:08:39.258,283
2025-02-04 11:02:07,11:08:41.025,0
2025-02-04 11:02:07,11:08:43.641,299
2025-02-04 11:02:07,11:08:46.141,149
2025-02-04 11:02:07,11:08:48.208,0
2025-02-04 11:02:07,11:08:49.758,0
2025-02-04 11:02:07,11:08:52.157,0
2025-02-04 11:02:07,11:08:55.107,0
2025-02-04 11:02:07,11:08:57.224,0
2025-02-04 11:02:07,11:08:59.324,0
2025-02-04 11:02:07,11:09:01.373,327
2025-02-04 11:02:07,11:09:04.239,299
2025-02-04 11:02:07,11:09:06.523,193
2025-02-04 11:02:07,11:09:08.656,0
2025-02-04 11:02:07,Sex,
2025-02-04 11:02:07,Test Duration in seconds,421
2025-02-04 11:02:07,Number of False Positives,61
2025-02-04 11:02:07,Average response time ,284
2025-02-04 11:02:07,Fastest response time ,41
2025-02-04 11:02:07,Slowest response time ,433
2025-02-04 11:02:07,Count of response time over 500ms ,0
