Task,TapTime,Milliseconds
2025-02-04 12:58:00,12:58:01.601,433
2025-02-04 12:58:00,12:58:05.168,349
2025-02-04 12:58:00,12:58:08.401,316
2025-02-04 12:58:00,12:58:11.901,283
2025-02-04 12:58:00,12:58:14.800,266
2025-02-04 12:58:00,12:58:17.432,266
2025-02-04 12:58:00,12:58:21.133,316
2025-02-04 12:58:00,12:58:23.300,516
2025-02-04 12:58:00,12:58:25.683,583
2025-02-04 12:58:00,12:58:29.433,333
2025-02-04 12:58:00,12:58:32.665,266
2025-02-04 12:58:00,12:58:34.599,333
2025-02-04 12:58:00,12:58:37.049,233
2025-02-04 12:58:00,12:58:39.115,0
2025-02-04 12:58:00,12:58:41.898,483
2025-02-04 12:58:00,12:58:43.482,0
2025-02-04 12:58:00,12:58:46.248,433
2025-02-04 12:58:00,12:58:48.898,283
2025-02-04 12:58:00,12:58:51.681,266
2025-02-04 12:58:00,12:58:54.697,233
2025-02-04 12:58:00,12:58:59.263,299
2025-02-04 12:58:00,12:59:02.680,283
2025-02-04 12:58:00,12:59:06.313,366
2025-02-04 12:58:00,12:59:08.396,283
2025-02-04 12:58:00,12:59:10.696,270
2025-02-04 12:58:00,12:59:14.229,283
2025-02-04 12:58:00,12:59:16.879,283
2025-02-04 12:58:00,12:59:19.479,299
2025-02-04 12:58:00,12:59:22.962,433
2025-02-04 12:58:00,12:59:27.695,283
2025-02-04 12:58:00,12:59:29.795,333
2025-02-04 12:58:00,12:59:32.162,0
2025-02-04 12:58:00,12:59:35.261,316
2025-02-04 12:58:00,12:59:37.695,0
2025-02-04 12:58:00,12:59:41.260,299
2025-02-04 12:58:00,12:59:44.910,383
2025-02-04 12:58:00,12:59:47.793,283
2025-02-04 12:58:00,12:59:50.959,299
2025-02-04 12:58:00,12:59:54.259,299
2025-02-04 12:58:00,12:59:56.876,283
2025-02-04 12:58:00,13:00:00.342,299
2025-02-04 12:58:00,13:00:03.625,449
2025-02-04 12:58:00,13:00:06.025,333
2025-02-04 12:58:00,13:00:08.758,277
2025-02-04 12:58:00,13:00:11.542,283
2025-02-04 12:58:00,13:00:14.208,383
2025-02-04 12:58:00,13:00:19.091,349
2025-02-04 12:58:00,13:00:23.307,366
2025-02-04 12:58:00,13:00:26.890,299
2025-02-04 12:58:00,13:00:30.840,413
2025-02-04 12:58:00,13:00:33.156,449
2025-02-04 12:58:00,13:00:35.723,296
2025-02-04 12:58:00,13:00:39.756,283
2025-02-04 12:58:00,13:00:42.306,366
2025-02-04 12:58:00,13:00:45.922,266
2025-02-04 12:58:00,13:00:50.238,299
2025-02-04 12:58:00,13:00:53.238,266
2025-02-04 12:58:00,13:00:57.188,249
2025-02-04 12:58:00,13:01:01.437,399
2025-02-04 12:58:00,13:01:04.421,266
2025-02-04 12:58:00,13:01:06.838,0
2025-02-04 12:58:00,13:01:09.637,0
2025-02-04 12:58:00,13:01:13.270,349
2025-02-04 12:58:00,13:01:15.853,333
2025-02-04 12:58:00,13:01:18.986,449
2025-02-04 12:58:00,13:01:23.569,299
2025-02-04 12:58:00,13:01:26.803,0
2025-02-04 12:58:00,13:01:29.786,316
2025-02-04 12:58:00,13:01:34.419,0
2025-02-04 12:58:00,13:01:38.402,266
2025-02-04 12:58:00,13:01:41.418,449
2025-02-04 12:58:00,13:01:43.868,616
2025-02-04 12:58:00,13:01:46.201,349
2025-02-04 12:58:00,13:01:50.018,0
2025-02-04 12:58:00,13:01:52.317,432
2025-02-04 12:58:00,13:01:55.867,439
2025-02-04 12:58:00,13:01:59.433,349
2025-02-04 12:58:00,13:02:02.800,399
2025-02-04 12:58:00,13:02:04.999,449
2025-02-04 12:58:00,13:02:08.316,349
2025-02-04 12:58:00,13:02:10.816,388
2025-02-04 12:58:00,13:02:13.082,299
2025-02-04 12:58:00,13:02:16.499,349
2025-02-04 12:58:00,13:02:19.815,349
2025-02-04 12:58:00,13:02:22.565,499
2025-02-04 12:58:00,13:02:24.631,466
2025-02-04 12:58:00,13:02:27.298,482
2025-02-04 12:58:00,13:02:30.048,483
2025-02-04 12:58:00,13:02:33.214,279
2025-02-04 12:58:00,13:02:35.381,333
2025-02-04 12:58:00,13:02:38.714,333
2025-02-04 12:58:00,13:02:42.413,349
2025-02-04 12:58:00,13:02:44.630,549
2025-02-04 12:58:00,13:02:47.446,332
2025-02-04 12:58:00,13:02:49.946,466
2025-02-04 12:58:00,13:02:52.030,0
2025-02-04 12:58:00,13:02:54.529,416
2025-02-04 12:58:00,13:02:57.179,243
2025-02-04 12:58:00,13:02:59.612,383
2025-02-04 12:58:00,13:03:02.628,449
2025-02-04 12:58:00,13:03:05.945,283
2025-02-04 12:58:00,13:03:09.561,349
2025-02-04 12:58:00,13:03:12.261,283
2025-02-04 12:58:00,13:03:15.444,249
2025-02-04 12:58:00,13:03:19.844,366
2025-02-04 12:58:00,13:03:23.993,1058
2025-02-04 12:58:00,13:03:28.293,282
2025-02-04 12:58:00,13:03:31.193,249
2025-02-04 12:58:00,13:03:33.226,399
2025-02-04 12:58:00,13:03:35.960,433
2025-02-04 12:58:00,13:03:38.510,0
2025-02-04 12:58:00,13:03:40.642,361
2025-02-04 12:58:00,13:03:44.325,366
2025-02-04 12:58:00,13:03:46.942,349
2025-02-04 12:58:00,13:03:49.275,349
2025-02-04 12:58:00,13:03:52.591,416
2025-02-04 12:58:00,13:03:55.858,516
2025-02-04 12:58:00,13:04:00.924,496
2025-02-04 12:58:00,13:04:05.024,466
2025-02-04 12:58:00,13:04:07.723,449
2025-02-04 12:58:00,13:04:11.773,243
2025-02-04 12:58:00,13:04:15.323,383
2025-02-04 12:58:00,13:04:18.873,332
2025-02-04 12:58:00,13:04:22.939,366
2025-02-04 12:58:00,13:04:25.306,649
2025-02-04 12:58:00,13:04:28.189,232
2025-02-04 12:58:00,13:04:31.205,282
2025-02-04 12:58:00,13:04:34.938,449
2025-02-04 12:58:00,13:04:36.572,0
2025-02-04 12:58:00,13:04:38.821,282
2025-02-04 12:58:00,13:04:42.821,299
2025-02-04 12:58:00,13:04:46.154,232
2025-02-04 12:58:00,13:04:48.770,299
2025-02-04 12:58:00,13:04:51.637,366
2025-02-04 12:58:00,13:04:54.337,249
2025-02-04 12:58:00,13:04:57.503,382
2025-02-04 12:58:00,13:04:59.837,0
2025-02-04 12:58:00,13:05:04.086,399
2025-02-04 12:58:00,Sex,
2025-02-04 12:58:00,Test Duration in seconds,424
2025-02-04 12:58:00,Number of False Positives,13
2025-02-04 12:58:00,Average response time ,358
2025-02-04 12:58:00,Fastest response time ,232
2025-02-04 12:58:00,Slowest response time ,1058
2025-02-04 12:58:00,Count of response time over 500ms ,7
