Task,TapTime,Milliseconds
2025-02-04 11:35:04,11:35:07.796,333
2025-02-04 11:35:04,11:35:11.262,349
2025-02-04 11:35:04,11:35:15.795,299
2025-02-04 11:35:04,11:35:19.328,499
2025-02-04 11:35:04,11:35:24.061,333
2025-02-04 11:35:04,11:35:28.294,433
2025-02-04 11:35:04,11:35:32.094,366
2025-02-04 11:35:04,11:35:35.760,349
2025-02-04 11:35:04,11:35:40.293,316
2025-02-04 11:35:04,11:35:42.727,666
2025-02-04 11:35:04,11:35:45.710,533
2025-02-04 11:35:04,11:35:48.893,333
2025-02-04 11:35:04,11:35:51.709,349
2025-02-04 11:35:04,11:35:56.125,299
2025-02-04 11:35:04,11:36:00.108,282
2025-02-04 11:35:04,11:36:02.242,416
2025-02-04 11:35:04,11:36:05.725,283
2025-02-04 11:35:04,11:36:09.024,299
2025-02-04 11:35:04,11:36:13.041,316
2025-02-04 11:35:04,11:36:16.040,316
2025-02-04 11:35:04,11:36:19.374,266
2025-02-04 11:35:04,11:36:22.140,299
2025-02-04 11:35:04,11:36:26.140,283
2025-02-04 11:35:04,11:36:29.106,383
2025-02-04 11:35:04,11:36:34.122,292
2025-02-04 11:35:04,11:36:36.056,349
2025-02-04 11:35:04,11:36:41.122,383
2025-02-04 11:35:04,11:36:43.139,483
2025-02-04 11:35:04,11:36:45.338,466
2025-02-04 11:35:04,11:36:50.171,316
2025-02-04 11:35:04,11:36:54.304,576
2025-02-04 11:35:04,11:36:57.138,399
2025-02-04 11:35:04,11:36:59.938,383
2025-02-04 11:35:04,11:37:04.870,299
2025-02-04 11:35:04,11:37:08.454,333
2025-02-04 11:35:04,11:37:11.737,333
2025-02-04 11:35:04,11:37:14.719,383
2025-02-04 11:35:04,11:37:17.719,333
2025-02-04 11:35:04,11:37:21.135,305
2025-02-04 11:35:04,11:37:23.719,333
2025-02-04 11:35:04,11:37:26.285,349
2025-02-04 11:35:04,11:37:29.668,332
2025-02-04 11:35:04,11:37:33.951,299
2025-02-04 11:35:04,11:37:38.168,299
2025-02-04 11:35:04,11:37:41.267,480
2025-02-04 11:35:04,11:37:45.800,299
2025-02-04 11:35:04,11:37:49.950,333
2025-02-04 11:35:04,11:37:52.567,394
2025-02-04 11:35:04,11:37:56.366,349
2025-02-04 11:35:04,11:38:00.883,383
2025-02-04 11:35:04,11:38:03.699,449
2025-02-04 11:35:04,11:38:06.765,649
2025-02-04 11:35:04,11:38:10.665,349
2025-02-04 11:35:04,11:38:12.898,516
2025-02-04 11:35:04,11:38:16.748,433
2025-02-04 11:35:04,11:38:21.648,333
2025-02-04 11:35:04,11:38:23.931,499
2025-02-04 11:35:04,11:38:28.364,499
2025-02-04 11:35:04,11:38:31.514,366
2025-02-04 11:35:04,11:38:35.530,366
2025-02-04 11:35:04,11:38:39.946,366
2025-02-04 11:35:04,11:38:44.079,349
2025-02-04 11:35:04,11:38:46.229,399
2025-02-04 11:35:04,11:38:48.929,349
2025-02-04 11:35:04,11:38:52.662,283
2025-02-04 11:35:04,11:38:57.196,283
2025-02-04 11:35:04,11:38:59.561,449
2025-02-04 11:35:04,11:39:03.311,316
2025-02-04 11:35:04,11:39:05.678,349
2025-02-04 11:35:04,11:39:09.611,274
2025-02-04 11:35:04,11:39:12.427,333
2025-02-04 11:35:04,11:39:14.994,266
2025-02-04 11:35:04,11:39:17.994,0
2025-02-04 11:35:04,11:39:21.360,333
2025-02-04 11:35:04,11:39:25.743,383
2025-02-04 11:35:04,11:39:28.476,466
2025-02-04 11:35:04,11:39:30.426,399
2025-02-04 11:35:04,11:39:33.709,316
2025-02-04 11:35:04,11:39:36.392,349
2025-02-04 11:35:04,11:39:38.875,416
2025-02-04 11:35:04,11:39:43.225,366
2025-02-04 11:35:04,11:39:46.791,349
2025-02-04 11:35:04,11:39:51.024,299
2025-02-04 11:35:04,11:39:55.874,349
2025-02-04 11:35:04,11:39:58.640,566
2025-02-04 11:35:04,11:40:01.973,349
2025-02-04 11:35:04,11:40:05.157,599
2025-02-04 11:35:04,11:40:08.856,316
2025-02-04 11:35:04,11:40:13.806,433
2025-02-04 11:35:04,11:40:17.889,316
2025-02-04 11:35:04,11:40:21.689,383
2025-02-04 11:35:04,11:40:25.221,316
2025-02-04 11:35:04,11:40:28.405,416
