Task,TapTime,Milliseconds
2025-02-03 11:54:57,11:54:59.747,299
2025-02-03 11:54:57,11:55:02.847,299
2025-02-03 11:54:57,11:55:05.330,266
2025-02-03 11:54:57,11:55:07.881,0
2025-02-03 11:54:57,11:55:10.764,0
2025-02-03 11:54:57,11:55:14.913,366
2025-02-03 11:54:57,11:55:18.696,316
2025-02-03 11:54:57,11:55:21.696,366
2025-02-03 11:54:57,11:55:24.746,299
2025-02-03 11:54:57,11:55:27.295,349
2025-02-03 11:54:57,11:55:30.628,266
2025-02-03 11:54:57,11:55:32.895,333
2025-02-03 11:54:57,11:55:35.961,283
2025-02-03 11:54:57,11:55:39.094,299
2025-02-03 11:54:57,11:55:41.627,299
2025-02-03 11:54:57,11:55:45.860,283
2025-02-03 11:54:57,11:55:48.027,349
2025-02-03 11:54:57,11:55:51.960,278
2025-02-03 11:54:57,11:55:54.460,482
2025-02-03 11:54:57,11:55:57.244,0
2025-02-03 11:54:57,11:56:01.342,299
2025-02-03 11:54:57,11:56:04.859,299
2025-02-03 11:54:57,11:56:06.742,366
2025-02-03 11:54:57,11:56:09.159,283
2025-02-03 11:54:57,11:56:11.675,266
2025-02-03 11:54:57,11:56:15.242,283
2025-02-03 11:54:57,11:56:18.691,316
2025-02-03 11:54:57,11:56:21.024,342
2025-02-03 11:54:57,11:56:25.307,349
2025-02-03 11:54:57,11:56:27.823,299
2025-02-03 11:54:57,11:56:31.090,283
2025-02-03 11:54:57,11:56:34.856,299
2025-02-03 11:54:57,11:56:38.373,0
2025-02-03 11:54:57,11:56:40.989,299
2025-02-03 11:54:57,11:56:43.689,299
2025-02-03 11:54:57,11:56:48.205,299
2025-02-03 11:54:57,11:56:51.388,299
2025-02-03 11:54:57,11:56:53.522,316
2025-02-03 11:54:57,11:56:57.705,299
2025-02-03 11:54:57,11:56:59.821,430
2025-02-03 11:54:57,11:57:04.238,316
2025-02-03 11:54:57,11:57:09.137,339
2025-02-03 11:54:57,11:57:11.103,416
2025-02-03 11:54:57,11:57:14.103,299
2025-02-03 11:54:57,11:57:18.386,299
2025-02-03 11:54:57,11:57:21.619,283
2025-02-03 11:54:57,11:57:23.702,399
