Task,TapTime,Milliseconds
LMAM,11:13:07.482,599
LMAM,11:13:11.915,299
LMAM,11:13:13.898,383
LMAM,11:13:18.298,316
LMAM,11:13:20.598,449
LMAM,11:13:25.097,266
LMAM,11:13:27.298,333
LMAM,11:13:30.348,0
LMAM,11:13:33.947,299
LMAM,11:13:37.197,282
LMAM,11:13:40.830,299
LMAM,11:13:44.380,0
LMAM,11:13:49.379,324
LMAM,11:13:53.862,949
LMAM,11:13:57.595,282
LMAM,11:14:01.095,299
LMAM,11:14:03.428,299
LMAM,11:14:05.944,283
LMAM,11:14:08.377,266
LMAM,11:14:11.210,266
LMAM,11:14:16.077,283
LMAM,11:14:18.310,544
LMAM,11:14:20.943,283
LMAM,11:14:24.076,310
LMAM,11:14:28.659,266
LMAM,11:14:31.142,283
LMAM,11:14:34.125,299
LMAM,11:14:38.092,299
LMAM,11:14:41.208,316
LMAM,11:14:43.141,316
LMAM,11:14:47.591,282
LMAM,11:14:50.424,349
LMAM,11:14:53.408,0
LMAM,11:14:56.557,316
LMAM,11:15:00.106,316
LMAM,11:15:02.973,316
LMAM,11:15:07.106,266
LMAM,11:15:10.222,299
LMAM,11:15:10.722,0
LMAM,11:15:13.355,432
LMAM,11:15:17.272,316
LMAM,11:15:20.654,282
LMAM,11:15:22.955,299
LMAM,11:15:24.871,332
LMAM,11:15:28.721,282
LMAM,11:15:32.604,299
LMAM,11:15:34.737,328
LMAM,11:15:39.120,266
LMAM,11:15:43.187,266
LMAM,11:15:46.969,316
LMAM,11:15:49.153,0
LMAM,11:15:49.319,0
LMAM,11:15:54.202,383
LMAM,11:15:58.119,316
LMAM,11:15:59.419,0
LMAM,11:16:01.685,282
LMAM,11:16:04.101,299
LMAM,11:16:06.151,283
LMAM,11:16:10.101,299
LMAM,11:16:10.934,0
LMAM,11:16:14.167,282
LMAM,11:16:16.317,382
LMAM,11:16:16.717,0
LMAM,11:16:18.834,0
LMAM,11:16:21.317,282
LMAM,11:16:23.750,332
LMAM,11:16:25.816,299
LMAM,11:16:27.716,333
LMAM,11:16:29.683,0
LMAM,11:16:33.033,0
LMAM,11:16:36.582,349
LMAM,11:16:40.415,299
LMAM,11:16:44.781,299
LMAM,11:16:47.131,333
LMAM,11:16:50.431,277
LMAM,11:16:53.297,382
LMAM,11:16:56.947,299
LMAM,11:17:00.163,366
LMAM,11:17:03.230,316
LMAM,11:17:07.113,316
LMAM,11:17:11.279,332
LMAM,11:17:13.896,366
LMAM,11:17:18.579,432
LMAM,11:17:20.645,549
LMAM,11:17:24.412,283
LMAM,11:17:27.844,316
LMAM,11:17:32.644,343
LMAM,11:17:34.811,566
LMAM,11:17:37.327,349
LMAM,11:17:39.494,0
LMAM,11:17:41.710,282
LMAM,11:17:45.043,266
LMAM,11:17:48.276,299
LMAM,11:17:52.192,266
LMAM,11:17:55.026,249
LMAM,11:17:57.642,532
LMAM,11:17:59.742,299
LMAM,11:18:02.742,266
LMAM,11:18:05.292,0
LMAM,11:18:07.908,382
LMAM,11:18:09.891,332
LMAM,11:18:14.191,316
LMAM,11:18:17.957,299
LMAM,11:18:22.940,282
LMAM,11:18:25.024,366
LMAM,11:18:26.107,0
LMAM,11:18:29.606,249
LMAM,11:18:32.156,382
LMAM,11:18:35.539,299
LMAM,11:18:39.872,349
LMAM,11:18:40.022,0
LMAM,11:18:43.288,376
LMAM,11:18:47.172,266
LMAM,11:18:49.938,299
LMAM,11:18:54.071,299
LMAM,11:18:58.321,349
LMAM,11:18:58.971,0
LMAM,11:19:01.687,332
LMAM,11:19:04.403,282
LMAM,11:19:09.186,299
LMAM,11:19:12.553,332
LMAM,11:19:15.619,366
LMAM,11:19:19.852,332
LMAM,11:19:22.436,432
LMAM,11:19:25.535,282
LMAM,11:19:29.035,282
LMAM,11:19:32.734,432
LMAM,11:19:36.717,316
LMAM,11:19:39.018,0
LMAM,11:19:42.200,266
LMAM,11:19:46.750,499
LMAM,11:19:49.983,332
LMAM,11:19:52.033,366
LMAM,11:19:55.199,316
LMAM,11:19:57.549,332
LMAM,11:20:00.299,295
LMAM,11:20:03.465,316
LMAM,11:20:06.232,816
LMAM,Sex,
LMAM,Test Duration in seconds,421
LMAM,Number of False Positives,18
LMAM,Average response time ,336
LMAM,Fastest response time ,249
LMAM,Slowest response time ,949
LMAM,Count of response time over 500ms ,7
