Task,TapTime,Milliseconds
2025-02-04 11:59:01,11:59:04.213,467
2025-02-04 11:59:01,11:59:08.029,316
2025-02-04 11:59:01,11:59:11.529,266
2025-02-04 11:59:01,11:59:14.579,266
2025-02-04 11:59:01,11:59:17.096,0
2025-02-04 11:59:01,11:59:19.762,316
2025-02-04 11:59:01,11:59:23.461,316
2025-02-04 11:59:01,11:59:28.228,316
2025-02-04 11:59:01,11:59:31.894,399
2025-02-04 11:59:01,11:59:35.478,333
2025-02-04 11:59:01,11:59:37.761,733
2025-02-04 11:59:01,11:59:42.160,366
2025-02-04 11:59:01,11:59:44.293,416
2025-02-04 11:59:01,11:59:46.360,433
2025-02-04 11:59:01,11:59:49.226,366
2025-02-04 11:59:01,11:59:51.376,349
2025-02-04 11:59:01,11:59:53.443,299
2025-02-04 11:59:01,11:59:56.843,316
2025-02-04 11:59:01,11:59:59.675,316
2025-02-04 11:59:01,12:00:03.442,299
2025-02-04 11:59:01,12:00:06.625,339
2025-02-04 11:59:01,12:00:09.908,333
2025-02-04 11:59:01,12:00:14.458,316
2025-02-04 11:59:01,12:00:19.124,378
2025-02-04 11:59:01,12:00:22.207,333
2025-02-04 11:59:01,12:00:26.957,399
2025-02-04 11:59:01,12:00:29.973,383
2025-02-04 11:59:01,12:00:32.723,357
2025-02-04 11:59:01,12:00:34.939,416
2025-02-04 11:59:01,12:00:38.723,349
2025-02-04 11:59:01,12:00:41.222,499
2025-02-04 11:59:01,12:00:43.906,433
2025-02-04 11:59:01,12:00:47.172,316
2025-02-04 11:59:01,12:00:50.605,366
2025-02-04 11:59:01,12:00:52.755,449
2025-02-04 11:59:01,12:00:55.338,349
2025-02-04 11:59:01,12:00:58.905,366
2025-02-04 11:59:01,12:01:03.171,383
2025-02-04 11:59:01,12:01:05.354,533
2025-02-04 11:59:01,12:01:08.637,499
2025-02-04 11:59:01,12:01:11.187,333
2025-02-04 11:59:01,12:01:13.237,333
2025-02-04 11:59:01,12:01:16.420,361
2025-02-04 11:59:01,12:01:19.868,316
2025-02-04 11:59:01,12:01:24.086,339
2025-02-04 11:59:01,12:01:28.085,299
2025-02-04 11:59:01,12:01:32.702,299
2025-02-04 11:59:01,12:01:36.701,299
2025-02-04 11:59:01,12:01:40.784,316
2025-02-04 11:59:01,12:01:43.868,366
2025-02-04 11:59:01,12:01:47.434,383
2025-02-04 11:59:01,12:01:50.167,347
2025-02-04 11:59:01,12:01:54.167,420
2025-02-04 11:59:01,12:01:56.850,333
2025-02-04 11:59:01,12:02:00.500,349
2025-02-04 11:59:01,12:02:04.966,549
2025-02-04 11:59:01,12:02:07.433,433
2025-02-04 11:59:01,12:02:10.432,449
2025-02-04 11:59:01,12:02:14.682,449
