Task,TapTime,Milliseconds
2025-02-03 12:51:35,12:51:37.936,572
2025-02-03 12:51:35,12:51:41.603,0
2025-02-03 12:51:35,12:51:44.185,240
2025-02-03 12:51:35,12:51:47.002,349
2025-02-03 12:51:35,12:51:48.835,316
2025-02-03 12:51:35,12:51:51.069,0
2025-02-03 12:51:35,12:51:53.701,333
2025-02-03 12:51:35,12:51:56.434,299
2025-02-03 12:51:35,12:51:58.718,299
2025-02-03 12:51:35,12:52:00.517,249
2025-02-03 12:51:35,12:52:02.284,16
2025-02-03 12:51:35,12:52:04.334,383
2025-02-03 12:51:35,12:52:06.983,349
2025-02-03 12:51:35,12:52:10.017,0
2025-02-03 12:51:35,12:52:12.550,299
2025-02-03 12:51:35,12:52:15.816,466
2025-02-03 12:51:35,12:52:19.266,299
2025-02-03 12:51:35,12:52:21.399,399
2025-02-03 12:51:35,12:52:25.315,466
2025-02-03 12:51:35,12:52:27.315,333
2025-02-03 12:51:35,12:52:28.699,0
2025-02-03 12:51:35,12:52:30.715,333
2025-02-03 12:51:35,12:52:35.031,316
2025-02-03 12:51:35,12:52:39.514,333
2025-02-03 12:51:35,12:52:42.014,333
2025-02-03 12:51:35,12:52:44.664,916
2025-02-03 12:51:35,12:52:48.664,483
2025-02-03 12:51:35,12:52:53.696,349
2025-02-03 12:51:35,12:52:57.263,447
2025-02-03 12:51:35,12:53:01.579,233
2025-02-03 12:51:35,12:53:04.512,399
2025-02-03 12:51:35,12:53:06.263,0
2025-02-03 12:51:35,12:53:08.545,299
2025-02-03 12:51:35,12:53:11.995,299
2025-02-03 12:51:35,12:53:14.678,316
2025-02-03 12:51:35,12:53:19.278,333
2025-02-03 12:51:35,12:53:23.144,499
2025-02-03 12:51:35,12:53:27.294,399
2025-02-03 12:51:35,12:53:32.127,311
2025-02-03 12:51:35,12:53:36.077,399
2025-02-03 12:51:35,12:53:38.660,482
2025-02-03 12:51:35,12:53:42.259,299
2025-02-03 12:51:35,12:53:44.626,366
2025-02-03 12:51:35,12:53:46.243,0
2025-02-03 12:51:35,12:53:46.292,0
2025-02-03 12:51:35,12:53:51.109,283
2025-02-03 12:51:35,12:53:53.742,349
2025-02-03 12:51:35,12:53:58.525,449
2025-02-03 12:51:35,12:54:03.308,299
2025-02-03 12:51:35,12:54:06.241,266
2025-02-03 12:51:35,12:54:09.741,0
2025-02-03 12:51:35,12:54:12.558,0
2025-02-03 12:51:35,12:54:12.756,0
2025-02-03 12:51:35,12:54:17.407,283
2025-02-03 12:51:35,12:54:20.073,399
2025-02-03 12:51:35,12:54:23.956,449
2025-02-03 12:51:35,12:54:28.222,316
2025-02-03 12:51:35,12:54:33.055,416
2025-02-03 12:51:35,12:54:36.556,0
2025-02-03 12:51:35,12:54:40.555,482
2025-02-03 12:51:35,12:54:45.271,299
2025-02-03 12:51:35,12:54:49.204,249
2025-02-03 12:51:35,12:54:52.720,333
2025-02-03 12:51:35,12:54:55.370,282
2025-02-03 12:51:35,12:54:57.887,0
2025-02-03 12:51:35,12:55:02.803,549
2025-02-03 12:51:35,12:55:07.536,566
2025-02-03 12:51:35,12:55:10.419,399
2025-02-03 12:51:35,12:55:12.702,327
2025-02-03 12:51:35,12:55:17.135,319
2025-02-03 12:51:35,12:55:19.401,449
2025-02-03 12:51:35,12:55:20.685,0
2025-02-03 12:51:35,12:55:23.218,316
2025-02-03 12:51:35,12:55:25.518,433
2025-02-03 12:51:35,12:55:28.651,283
2025-02-03 12:51:35,12:55:31.568,0
2025-02-03 12:51:35,12:55:33.950,466
2025-02-03 12:51:35,12:55:38.400,699
2025-02-03 12:51:35,12:55:41.216,382
2025-02-03 12:51:35,12:55:44.099,416
2025-02-03 12:51:35,12:55:47.616,566
2025-02-03 12:51:35,12:55:50.849,282
2025-02-03 12:51:35,12:55:53.232,449
2025-02-03 12:51:35,12:55:54.932,0
2025-02-03 12:51:35,12:55:57.832,316
2025-02-03 12:51:35,12:56:00.415,0
2025-02-03 12:51:35,12:56:01.930,0
2025-02-03 12:51:35,12:56:02.081,0
2025-02-03 12:51:35,12:56:02.496,0
2025-02-03 12:51:35,12:56:06.598,449
2025-02-03 12:51:35,12:56:09.331,383
2025-02-03 12:51:35,12:56:13.830,349
2025-02-03 12:51:35,12:56:18.463,499
2025-02-03 12:51:35,12:56:19.462,0
2025-02-03 12:51:35,12:56:23.196,299
2025-02-03 12:51:35,12:56:26.546,399
2025-02-03 12:51:35,12:56:29.346,249
2025-02-03 12:51:35,12:56:31.662,316
2025-02-03 12:51:35,12:56:34.679,232
2025-02-03 12:51:35,12:56:36.862,0
2025-02-03 12:51:35,12:56:38.262,0
2025-02-03 12:51:35,12:56:39.529,0
2025-02-03 12:51:35,12:56:42.262,0
2025-02-03 12:51:35,12:56:46.261,299
2025-02-03 12:51:35,12:56:50.994,616
2025-02-03 12:51:35,12:56:55.410,449
2025-02-03 12:51:35,12:56:59.577,566
2025-02-03 12:51:35,12:57:02.927,0
2025-02-03 12:51:35,12:57:06.393,349
2025-02-03 12:51:35,12:57:09.292,849
2025-02-03 12:51:35,12:57:14.292,349
2025-02-03 12:51:35,12:57:16.925,449
2025-02-03 12:51:35,12:57:21.725,349
2025-02-03 12:51:35,12:57:25.258,666
2025-02-03 12:51:35,12:57:29.658,266
2025-02-03 12:51:35,12:57:31.557,349
2025-02-03 12:51:35,12:57:32.724,0
2025-02-03 12:51:35,12:57:36.790,266
2025-02-03 12:51:35,12:57:39.474,316
2025-02-03 12:51:35,12:57:43.723,316
2025-02-03 12:51:35,12:57:46.956,399
2025-02-03 12:51:35,12:57:51.306,332
2025-02-03 12:51:35,12:57:55.773,0
2025-02-03 12:51:35,12:58:00.655,399
2025-02-03 12:51:35,12:58:04.971,449
2025-02-03 12:51:35,12:58:09.871,499
2025-02-03 12:51:35,12:58:13.487,516
