Task,TapTime,Milliseconds
2025-02-05 10:53:20,10:53:23.429,996
2025-02-05 10:53:20,10:53:26.129,316
2025-02-05 10:53:20,10:53:30.895,332
2025-02-05 10:53:20,10:53:34.928,332
2025-02-05 10:53:20,10:53:36.429,0
2025-02-05 10:53:20,10:53:40.128,340
2025-02-05 10:53:20,10:53:43.744,299
2025-02-05 10:53:20,10:53:46.961,0
2025-02-05 10:53:20,10:53:49.861,249
2025-02-05 10:53:20,10:53:53.310,316
2025-02-05 10:53:20,10:53:56.244,0
2025-02-05 10:53:20,10:54:00.860,299
2025-02-05 10:53:20,10:54:01.794,0
2025-02-05 10:53:20,10:54:06.343,566
2025-02-05 10:53:20,10:54:10.859,299
2025-02-05 10:53:20,10:54:12.842,399
2025-02-05 10:53:20,10:54:17.325,333
2025-02-05 10:53:20,10:54:18.226,0
2025-02-05 10:53:20,10:54:20.242,349
2025-02-05 10:53:20,10:54:21.109,0
2025-02-05 10:53:20,10:54:25.008,349
2025-02-05 10:53:20,10:54:27.591,316
2025-02-05 10:53:20,10:54:32.007,299
2025-02-05 10:53:20,10:54:35.407,283
2025-02-05 10:53:20,10:54:40.340,283
2025-02-05 10:53:20,10:54:43.940,383
2025-02-05 10:53:20,10:54:47.006,299
2025-02-05 10:53:20,10:54:49.006,316
2025-02-05 10:53:20,10:54:50.573,0
2025-02-05 10:53:20,10:54:53.457,0
2025-02-05 10:53:20,10:54:58.522,433
2025-02-05 10:53:20,10:55:00.922,483
2025-02-05 10:53:20,10:55:03.055,349
2025-02-05 10:53:20,10:55:04.856,0
2025-02-05 10:53:20,10:55:09.638,349
2025-02-05 10:53:20,10:55:14.454,316
2025-02-05 10:53:20,10:55:16.888,0
2025-02-05 10:53:20,10:55:20.021,299
2025-02-05 10:53:20,10:55:22.020,449
2025-02-05 10:53:20,10:55:25.821,0
2025-02-05 10:53:20,10:55:28.853,316
2025-02-05 10:53:20,10:55:32.320,316
2025-02-05 10:53:20,10:55:34.586,316
2025-02-05 10:53:20,10:55:36.820,0
2025-02-05 10:53:20,10:55:40.819,283
2025-02-05 10:53:20,10:55:43.887,349
2025-02-05 10:53:20,10:55:45.969,399
2025-02-05 10:53:20,10:55:47.402,0
2025-02-05 10:53:20,10:55:50.052,299
2025-02-05 10:53:20,10:55:54.618,333
2025-02-05 10:53:20,10:55:58.068,366
2025-02-05 10:53:20,10:56:00.934,216
2025-02-05 10:53:20,10:56:01.051,0
2025-02-05 10:53:20,10:56:03.151,349
2025-02-05 10:53:20,10:56:03.768,0
2025-02-05 10:53:20,10:56:07.767,333
2025-02-05 10:53:20,10:56:12.467,282
2025-02-05 10:53:20,10:56:13.750,0
2025-02-05 10:53:20,10:56:16.383,370
2025-02-05 10:53:20,10:56:19.183,366
2025-02-05 10:53:20,10:56:20.333,0
2025-02-05 10:53:20,10:56:22.033,0
2025-02-05 10:53:20,10:56:26.066,0
2025-02-05 10:53:20,10:56:29.249,0
2025-02-05 10:53:20,10:56:31.766,333
2025-02-05 10:53:20,10:56:34.165,416
2025-02-05 10:53:20,10:56:34.749,0
2025-02-05 10:53:20,10:56:36.016,0
2025-02-05 10:53:20,10:56:38.615,303
2025-02-05 10:53:20,10:56:41.782,0
2025-02-05 10:53:20,10:56:44.631,299
2025-02-05 10:53:20,10:56:47.031,0
2025-02-05 10:53:20,10:56:49.764,299
2025-02-05 10:53:20,10:56:52.564,333
2025-02-05 10:53:20,10:56:54.214,0
2025-02-05 10:53:20,10:56:57.097,316
2025-02-05 10:53:20,10:56:58.247,0
2025-02-05 10:53:20,10:57:00.530,283
2025-02-05 10:53:20,10:57:03.630,318
2025-02-05 10:53:20,10:57:06.646,66
2025-02-05 10:53:20,10:57:09.996,416
2025-02-05 10:53:20,10:57:14.278,349
2025-02-05 10:53:20,10:57:17.412,316
2025-02-05 10:53:20,10:57:20.579,299
2025-02-05 10:53:20,10:57:24.779,333
2025-02-05 10:53:20,10:57:27.978,0
2025-02-05 10:53:20,10:57:31.011,333
2025-02-05 10:53:20,10:57:33.261,416
2025-02-05 10:53:20,10:57:35.977,416
2025-02-05 10:53:20,10:57:39.277,316
2025-02-05 10:53:20,10:57:42.993,299
2025-02-05 10:53:20,10:57:46.743,299
2025-02-05 10:53:20,10:57:48.160,0
2025-02-05 10:53:20,10:57:52.893,329
2025-02-05 10:53:20,10:57:56.342,316
2025-02-05 10:53:20,10:57:59.075,316
2025-02-05 10:53:20,10:58:02.625,299
2025-02-05 10:53:20,10:58:05.075,516
2025-02-05 10:53:20,10:58:07.475,349
2025-02-05 10:53:20,10:58:09.825,0
2025-02-05 10:53:20,10:58:10.124,0
2025-02-05 10:53:20,10:58:12.858,0
