Task,TapTime,Milliseconds
2025-02-05 10:04:23,10:04:24.907,599
2025-02-05 10:04:23,10:04:28.123,299
2025-02-05 10:04:23,10:04:32.139,316
2025-02-05 10:04:23,10:04:36.172,249
2025-02-05 10:04:23,10:04:39.889,299
2025-02-05 10:04:23,10:04:43.155,233
2025-02-05 10:04:23,10:04:46.955,249
2025-02-05 10:04:23,10:04:50.255,32
2025-02-05 10:04:23,10:04:54.221,299
2025-02-05 10:04:23,10:04:57.105,283
2025-02-05 10:04:23,10:04:59.588,0
2025-02-05 10:04:23,10:05:02.020,316
2025-02-05 10:04:23,10:05:07.003,276
2025-02-05 10:04:23,10:05:09.570,416
2025-02-05 10:04:23,10:05:12.120,299
2025-02-05 10:04:23,10:05:16.119,299
2025-02-05 10:04:23,10:05:18.836,316
2025-02-05 10:04:23,10:05:22.019,266
2025-02-05 10:04:23,10:05:24.319,333
2025-02-05 10:04:23,10:05:26.652,266
2025-02-05 10:04:23,10:05:29.435,249
2025-02-05 10:04:23,10:05:31.419,433
2025-02-05 10:04:23,10:05:35.102,0
2025-02-05 10:04:23,10:05:38.401,266
2025-02-05 10:04:23,10:05:41.668,283
2025-02-05 10:04:23,10:05:44.968,0
2025-02-05 10:04:23,10:05:49.900,299
2025-02-05 10:04:23,10:05:52.683,449
2025-02-05 10:04:23,10:05:56.650,266
2025-02-05 10:04:23,10:05:59.700,283
2025-02-05 10:04:23,10:06:03.083,249
2025-02-05 10:04:23,10:06:06.649,166
2025-02-05 10:04:23,10:06:10.365,266
2025-02-05 10:04:23,10:06:12.815,333
2025-02-05 10:04:23,10:06:17.765,283
2025-02-05 10:04:23,10:06:21.881,266
2025-02-05 10:04:23,10:06:24.864,249
2025-02-05 10:04:23,10:06:26.914,333
2025-02-05 10:04:23,10:06:28.831,299
2025-02-05 10:04:23,10:06:31.231,283
2025-02-05 10:04:23,10:06:33.114,266
2025-02-05 10:04:23,10:06:37.497,283
2025-02-05 10:04:23,10:06:39.963,283
2025-02-05 10:04:23,10:06:42.430,0
2025-02-05 10:04:23,10:06:45.463,283
2025-02-05 10:04:23,10:06:48.146,0
2025-02-05 10:04:23,10:06:52.029,483
2025-02-05 10:04:23,10:06:54.096,432
2025-02-05 10:04:23,10:06:58.412,349
2025-02-05 10:04:23,10:07:02.811,266
2025-02-05 10:04:23,10:07:06.211,266
2025-02-05 10:04:23,10:07:08.995,0
2025-02-05 10:04:23,10:07:12.144,316
2025-02-05 10:04:23,10:07:14.095,0
2025-02-05 10:04:23,10:07:18.360,299
2025-02-05 10:04:23,10:07:21.160,333
2025-02-05 10:04:23,10:07:23.543,283
2025-02-05 10:04:23,10:07:25.976,266
2025-02-05 10:04:23,10:07:28.926,266
2025-02-05 10:04:23,10:07:31.693,0
2025-02-05 10:04:23,10:07:34.459,283
2025-02-05 10:04:23,10:07:38.475,266
2025-02-05 10:04:23,10:07:42.426,0
2025-02-05 10:04:23,10:07:47.242,283
2025-02-05 10:04:23,10:07:51.841,283
2025-02-05 10:04:23,10:07:56.408,283
2025-02-05 10:04:23,10:08:00.374,283
2025-02-05 10:04:23,10:08:03.841,0
2025-02-05 10:04:23,10:08:07.973,274
2025-02-05 10:04:23,10:08:12.757,283
2025-02-05 10:04:23,10:08:17.223,399
2025-02-05 10:04:23,10:08:19.656,433
2025-02-05 10:04:23,10:08:22.522,310
2025-02-05 10:04:23,10:08:24.906,283
2025-02-05 10:04:23,10:08:26.772,299
2025-02-05 10:04:23,10:08:29.405,283
2025-02-05 10:04:23,10:08:32.355,266
2025-02-05 10:04:23,10:08:34.089,0
2025-02-05 10:04:23,10:08:36.971,316
2025-02-05 10:04:23,10:08:41.671,283
2025-02-05 10:04:23,10:08:44.554,316
2025-02-05 10:04:23,10:08:47.520,299
2025-02-05 10:04:23,10:08:51.937,316
2025-02-05 10:04:23,10:08:55.686,283
2025-02-05 10:04:23,10:08:59.669,249
2025-02-05 10:04:23,10:09:04.102,266
2025-02-05 10:04:23,10:09:06.469,399
2025-02-05 10:04:23,10:09:09.786,0
2025-02-05 10:04:23,10:09:12.969,269
2025-02-05 10:04:23,10:09:15.018,416
2025-02-05 10:04:23,10:09:18.585,266
2025-02-05 10:04:23,10:09:21.835,0
2025-02-05 10:04:23,10:09:26.351,278
2025-02-05 10:04:23,10:09:29.051,383
2025-02-05 10:04:23,10:09:32.568,0
2025-02-05 10:04:23,10:09:34.817,399
2025-02-05 10:04:23,10:09:37.084,599
2025-02-05 10:04:23,10:09:39.983,316
2025-02-05 10:04:23,10:09:42.383,283
2025-02-05 10:04:23,10:09:46.116,283
2025-02-05 10:04:23,10:09:49.399,266
2025-02-05 10:04:23,10:09:52.249,266
2025-02-05 10:04:23,10:09:55.349,0
2025-02-05 10:04:23,10:09:57.965,266
2025-02-05 10:04:23,10:10:02.731,249
2025-02-05 10:04:23,10:10:06.581,33
2025-02-05 10:04:23,10:10:09.048,516
2025-02-05 10:04:23,10:10:13.564,266
2025-02-05 10:04:23,10:10:15.881,333
2025-02-05 10:04:23,10:10:19.380,233
2025-02-05 10:04:23,10:10:22.430,249
2025-02-05 10:04:23,10:10:26.230,283
2025-02-05 10:04:23,10:10:28.979,216
2025-02-05 10:04:23,10:10:33.796,266
2025-02-05 10:04:23,10:10:36.312,299
2025-02-05 10:04:23,10:10:39.213,0
2025-02-05 10:04:23,10:10:42.112,283
2025-02-05 10:04:23,10:10:45.195,266
2025-02-05 10:04:23,10:10:49.478,266
2025-02-05 10:04:23,10:10:53.178,0
2025-02-05 10:04:23,10:10:55.661,366
2025-02-05 10:04:23,10:11:00.211,282
2025-02-05 10:04:23,10:11:04.477,266
2025-02-05 10:04:23,10:11:08.377,333
2025-02-05 10:04:23,10:11:13.010,309
2025-02-05 10:04:23,10:11:15.676,749
2025-02-05 10:04:23,10:11:18.593,333
2025-02-05 10:04:23,10:11:21.292,466
2025-02-05 10:04:23,10:11:25.159,333
2025-02-05 10:04:23,Sex,
2025-02-05 10:04:23,Test Duration in seconds,421
2025-02-05 10:04:23,Number of False Positives,17
2025-02-05 10:04:23,Average response time ,306
2025-02-05 10:04:23,Fastest response time ,32
2025-02-05 10:04:23,Slowest response time ,749
2025-02-05 10:04:23,Count of response time over 500ms ,4
