Task,TapTime,Milliseconds
2025-02-05 09:37:13,09:37:15.788,1132
2025-02-05 09:37:13,09:37:20.488,296
2025-02-05 09:37:13,09:37:24.055,0
2025-02-05 09:37:13,09:37:26.287,616
2025-02-05 09:37:13,09:37:28.721,546
2025-02-05 09:37:13,09:37:31.121,305
2025-02-05 09:37:13,09:37:34.071,0
2025-02-05 09:37:13,09:37:37.737,307
2025-02-05 09:37:13,09:37:39.137,0
2025-02-05 09:37:13,09:37:39.186,0
2025-02-05 09:37:13,09:37:41.953,749
2025-02-05 09:37:13,09:37:46.903,422
2025-02-05 09:37:13,09:37:48.853,399
2025-02-05 09:37:13,09:37:50.752,316
2025-02-05 09:37:13,09:37:55.302,274
2025-02-05 09:37:13,09:37:59.602,533
2025-02-05 09:37:13,09:38:01.718,16
2025-02-05 09:37:13,09:38:07.401,1521
2025-02-05 09:37:13,09:38:11.618,340
2025-02-05 09:37:13,09:38:15.517,316
2025-02-05 09:37:13,09:38:18.834,583
2025-02-05 09:37:13,09:38:23.151,0
2025-02-05 09:37:13,09:38:26.567,283
2025-02-05 09:37:13,09:38:30.916,316
2025-02-05 09:37:13,09:38:33.233,316
2025-02-05 09:37:13,09:38:36.466,290
2025-02-05 09:37:13,09:38:40.015,316
2025-02-05 09:37:13,09:38:43.133,0
2025-02-05 09:37:13,09:38:46.348,366
2025-02-05 09:37:13,09:38:51.215,299
2025-02-05 09:37:13,09:38:54.948,349
2025-02-05 09:37:13,09:38:58.981,283
2025-02-05 09:37:13,09:39:01.147,266
2025-02-05 09:37:13,09:39:05.730,299
2025-02-05 09:37:13,09:39:08.247,349
2025-02-05 09:37:13,09:39:10.697,283
2025-02-05 09:37:13,09:39:14.879,282
2025-02-05 09:37:13,09:39:19.613,316
2025-02-05 09:37:13,09:39:22.096,299
2025-02-05 09:37:13,09:39:23.995,266
2025-02-05 09:37:13,09:39:27.329,316
2025-02-05 09:37:13,09:39:30.196,0
2025-02-05 09:37:13,09:39:33.595,0
2025-02-05 09:37:13,09:39:38.178,316
2025-02-05 09:37:13,09:39:40.412,0
2025-02-05 09:37:13,09:39:42.944,333
