Task,TapTime,Milliseconds
2025-02-05 10:27:56,10:27:59.252,416
2025-02-05 10:27:56,10:28:03.035,333
2025-02-05 10:27:56,10:28:06.218,416
2025-02-05 10:27:56,10:28:10.985,408
2025-02-05 10:27:56,10:28:13.485,449
2025-02-05 10:27:56,10:28:17.320,366
2025-02-05 10:27:56,10:28:19.985,599
2025-02-05 10:27:56,10:28:22.800,699
2025-02-05 10:27:56,10:28:26.484,316
2025-02-05 10:27:56,10:28:30.733,366
2025-02-05 10:27:56,10:28:35.683,333
2025-02-05 10:27:56,10:28:37.983,416
2025-02-05 10:27:56,10:28:40.033,333
2025-02-05 10:27:56,10:28:42.966,0
2025-02-05 10:27:56,10:28:47.432,733
2025-02-05 10:27:56,10:28:50.148,449
2025-02-05 10:27:56,10:28:52.482,599
2025-02-05 10:27:56,10:28:56.482,466
2025-02-05 10:27:56,10:29:00.098,399
2025-02-05 10:27:56,10:29:04.847,466
2025-02-05 10:27:56,10:29:07.747,449
2025-02-05 10:27:56,10:29:10.180,466
2025-02-05 10:27:56,10:29:12.297,433
2025-02-05 10:27:56,10:29:16.180,466
2025-02-05 10:27:56,10:29:20.379,416
2025-02-05 10:27:56,10:29:23.862,466
2025-02-05 10:27:56,10:29:27.662,566
2025-02-05 10:27:56,10:29:32.229,399
2025-02-05 10:27:56,10:29:34.978,416
2025-02-05 10:27:56,10:29:37.378,349
2025-02-05 10:27:56,10:29:41.728,316
2025-02-05 10:27:56,10:29:45.161,333
2025-02-05 10:27:56,10:29:48.144,633
2025-02-05 10:27:56,10:29:50.511,549
2025-02-05 10:27:56,10:29:52.478,0
2025-02-05 10:27:56,10:29:56.060,483
2025-02-05 10:27:56,10:30:00.776,430
2025-02-05 10:27:56,10:30:04.676,416
2025-02-05 10:27:56,10:30:09.776,516
2025-02-05 10:27:56,10:30:11.943,533
2025-02-05 10:27:56,10:30:14.425,599
2025-02-05 10:27:56,10:30:19.342,516
2025-02-05 10:27:56,10:30:22.058,483
2025-02-05 10:27:56,10:30:25.509,483
2025-02-05 10:27:56,10:30:29.208,383
2025-02-05 10:27:56,10:30:31.391,616
2025-02-05 10:27:56,10:30:36.191,366
2025-02-05 10:27:56,10:30:39.890,399
2025-02-05 10:27:56,10:30:44.707,433
2025-02-05 10:27:56,10:30:44.740,0
2025-02-05 10:27:56,10:30:49.273,566
2025-02-05 10:27:56,10:30:54.223,399
2025-02-05 10:27:56,10:30:57.922,366
2025-02-05 10:27:56,10:31:00.506,449
2025-02-05 10:27:56,10:31:05.389,416
2025-02-05 10:27:56,10:31:07.605,483
2025-02-05 10:27:56,10:31:12.038,483
2025-02-05 10:27:56,10:31:14.738,533
2025-02-05 10:27:56,10:31:18.721,441
2025-02-05 10:27:56,10:31:22.271,466
2025-02-05 10:27:56,10:31:25.637,433
2025-02-05 10:27:56,10:31:29.520,396
2025-02-05 10:27:56,10:31:34.270,566
2025-02-05 10:27:56,10:31:38.286,433
2025-02-05 10:27:56,10:31:42.152,449
2025-02-05 10:27:56,10:31:44.820,983
2025-02-05 10:27:56,10:31:48.202,499
2025-02-05 10:27:56,10:31:50.335,483
2025-02-05 10:27:56,10:31:54.918,566
