Task,TapTime,Milliseconds
2025-02-05 01:27:21,13:27:22.942,448
2025-02-05 01:27:21,13:27:25.609,0
2025-02-05 01:27:21,13:27:27.625,0
2025-02-05 01:27:21,13:27:31.591,330
2025-02-05 01:27:21,13:27:35.441,263
2025-02-05 01:27:21,13:27:38.140,413
2025-02-05 01:27:21,13:27:40.091,0
2025-02-05 01:27:21,13:27:42.857,333
2025-02-05 01:27:21,13:27:46.057,1016
2025-02-05 01:27:21,13:27:49.140,457
2025-02-05 01:27:21,13:27:53.539,266
2025-02-05 01:27:21,13:27:56.472,299
2025-02-05 01:27:21,13:27:59.606,299
2025-02-05 01:27:21,13:28:02.756,409
2025-02-05 01:27:21,13:28:04.905,316
2025-02-05 01:27:21,13:28:08.172,299
2025-02-05 01:27:21,13:28:11.871,283
2025-02-05 01:27:21,13:28:14.254,499
2025-02-05 01:27:21,13:28:17.938,0
2025-02-05 01:27:21,13:28:21.687,316
2025-02-05 01:27:21,13:28:26.020,397
2025-02-05 01:27:21,13:28:30.687,283
2025-02-05 01:27:21,13:28:33.853,383
2025-02-05 01:27:21,13:28:36.170,304
2025-02-05 01:27:21,13:28:39.337,0
2025-02-05 01:27:21,13:28:41.536,299
2025-02-05 01:27:21,13:28:46.185,316
2025-02-05 01:27:21,13:28:48.452,583
2025-02-05 01:27:21,13:28:51.785,317
2025-02-05 01:27:21,13:28:55.718,249
2025-02-05 01:27:21,13:28:59.068,318
2025-02-05 01:27:21,13:29:01.618,0
2025-02-05 01:27:21,13:29:06.234,383
2025-02-05 01:27:21,13:29:09.217,366
2025-02-05 01:27:21,13:29:12.133,366
2025-02-05 01:27:21,13:29:14.984,283
2025-02-05 01:27:21,13:29:19.516,316
2025-02-05 01:27:21,13:29:22.933,416
2025-02-05 01:27:21,13:29:26.782,316
2025-02-05 01:27:21,13:29:30.315,304
2025-02-05 01:27:21,13:29:32.849,0
2025-02-05 01:27:21,13:29:35.682,0
2025-02-05 01:27:21,13:29:38.198,299
2025-02-05 01:27:21,13:29:40.348,449
2025-02-05 01:27:21,13:29:44.348,283
2025-02-05 01:27:21,13:29:48.598,0
2025-02-05 01:27:21,13:29:51.548,0
2025-02-05 01:27:21,13:29:55.947,322
2025-02-05 01:27:21,13:29:58.697,366
2025-02-05 01:27:21,13:30:03.413,283
2025-02-05 01:27:21,13:30:07.646,299
2025-02-05 01:27:21,13:30:12.046,299
2025-02-05 01:27:21,13:30:14.879,1166
2025-02-05 01:27:21,13:30:16.929,349
2025-02-05 01:27:21,13:30:20.328,316
2025-02-05 01:27:21,13:30:22.778,316
2025-02-05 01:27:21,13:30:26.478,316
2025-02-05 01:27:21,13:30:29.494,482
2025-02-05 01:27:21,13:30:32.111,633
2025-02-05 01:27:21,13:30:35.861,299
2025-02-05 01:27:21,13:30:39.261,0
2025-02-05 01:27:21,13:30:44.027,316
2025-02-05 01:27:21,13:30:46.226,466
2025-02-05 01:27:21,13:30:50.760,366
2025-02-05 01:27:21,13:30:52.793,449
2025-02-05 01:27:21,13:30:55.976,0
2025-02-05 01:27:21,13:30:59.225,299
2025-02-05 01:27:21,13:31:02.359,349
2025-02-05 01:27:21,13:31:05.159,0
2025-02-05 01:27:21,13:31:08.242,283
2025-02-05 01:27:21,13:31:11.141,349
2025-02-05 01:27:21,13:31:14.725,283
2025-02-05 01:27:21,13:31:19.891,582
2025-02-05 01:27:21,13:31:22.540,666
2025-02-05 01:27:21,13:31:25.591,0
2025-02-05 01:27:21,13:31:27.657,316
2025-02-05 01:27:21,13:31:31.973,333
2025-02-05 01:27:21,13:31:34.540,466
2025-02-05 01:27:21,13:31:37.007,0
2025-02-05 01:27:21,13:31:40.473,616
2025-02-05 01:27:21,13:31:45.089,337
2025-02-05 01:27:21,13:31:49.172,305
2025-02-05 01:27:21,13:31:53.206,0
2025-02-05 01:27:21,13:31:56.605,433
2025-02-05 01:27:21,13:32:00.338,266
2025-02-05 01:27:21,13:32:04.071,316
2025-02-05 01:27:21,13:32:07.804,283
2025-02-05 01:27:21,13:32:11.270,283
2025-02-05 01:27:21,13:32:13.537,483
2025-02-05 01:27:21,13:32:15.037,0
2025-02-05 01:27:21,13:32:19.320,466
2025-02-05 01:27:21,13:32:21.653,449
2025-02-05 01:27:21,13:32:23.820,633
2025-02-05 01:27:21,13:32:25.520,0
2025-02-05 01:27:21,13:32:30.219,466
2025-02-05 01:27:21,13:32:31.103,0
2025-02-05 01:27:21,13:32:32.019,0
2025-02-05 01:27:21,13:32:33.236,0
2025-02-05 01:27:21,13:32:37.486,0
2025-02-05 01:27:21,13:32:39.552,233
2025-02-05 01:27:21,13:32:40.768,0
2025-02-05 01:27:21,13:32:43.235,0
2025-02-05 01:27:21,13:32:43.484,0
2025-02-05 01:27:21,13:32:45.918,292
2025-02-05 01:27:21,13:32:49.318,299
2025-02-05 01:27:21,13:32:50.701,0
2025-02-05 01:27:21,13:32:53.651,0
2025-02-05 01:27:21,13:32:53.767,0
2025-02-05 01:27:21,13:32:55.901,0
2025-02-05 01:27:21,13:32:56.150,0
2025-02-05 01:27:21,13:33:00.367,283
2025-02-05 01:27:21,13:33:02.916,399
2025-02-05 01:27:21,13:33:05.733,0
2025-02-05 01:27:21,13:33:08.216,116
2025-02-05 01:27:21,13:33:08.316,0
2025-02-05 01:27:21,13:33:09.867,0
2025-02-05 01:27:21,13:33:11.483,0
2025-02-05 01:27:21,13:33:15.149,266
2025-02-05 01:27:21,13:33:18.249,383
2025-02-05 01:27:21,13:33:20.832,382
2025-02-05 01:27:21,13:33:22.432,0
2025-02-05 01:27:21,13:33:25.582,333
2025-02-05 01:27:21,13:33:28.349,0
2025-02-05 01:27:21,13:33:28.564,0
2025-02-05 01:27:21,13:33:30.182,0
