Task,TapTime,Milliseconds
2025-02-05 11:16:50,11:16:53.452,1532
2025-02-05 11:16:50,11:16:55.951,349
2025-02-05 11:16:50,11:17:00.318,314
2025-02-05 11:16:50,11:17:03.751,316
2025-02-05 11:16:50,11:17:08.467,316
2025-02-05 11:16:50,11:17:11.400,366
2025-02-05 11:16:50,11:17:14.250,316
2025-02-05 11:16:50,11:17:17.633,349
2025-02-05 11:16:50,11:17:22.483,341
2025-02-05 11:16:50,11:17:24.666,516
2025-02-05 11:16:50,11:17:26.733,333
2025-02-05 11:16:50,11:17:28.883,0
2025-02-05 11:16:50,11:17:33.466,283
2025-02-05 11:16:50,11:17:35.665,366
2025-02-05 11:16:50,11:17:40.415,273
2025-02-05 11:16:50,11:17:42.714,366
2025-02-05 11:16:50,11:17:44.882,0
2025-02-05 11:16:50,11:17:48.665,0
2025-02-05 11:16:50,11:17:53.231,330
2025-02-05 11:16:50,11:17:57.347,316
2025-02-05 11:16:50,11:17:59.547,349
2025-02-05 11:16:50,11:18:01.930,466
2025-02-05 11:16:50,11:18:04.513,299
2025-02-05 11:16:50,11:18:07.947,283
2025-02-05 11:16:50,11:18:10.646,283
2025-02-05 11:16:50,11:18:13.080,0
2025-02-05 11:16:50,11:18:15.112,316
2025-02-05 11:16:50,11:18:18.446,0
2025-02-05 11:16:50,11:18:20.513,0
2025-02-05 11:16:50,11:18:23.128,99
2025-02-05 11:16:50,11:18:27.695,333
2025-02-05 11:16:50,11:18:30.361,333
2025-02-05 11:16:50,11:18:32.711,299
2025-02-05 11:16:50,11:18:35.161,316
2025-02-05 11:16:50,11:18:37.361,0
2025-02-05 11:16:50,11:18:40.810,199
2025-02-05 11:16:50,11:18:44.477,0
2025-02-05 11:16:50,11:18:47.026,349
2025-02-05 11:16:50,11:18:51.610,249
2025-02-05 11:16:50,11:18:53.676,432
2025-02-05 11:16:50,11:18:56.126,378
2025-02-05 11:16:50,11:18:58.726,266
2025-02-05 11:16:50,11:19:01.393,0
2025-02-05 11:16:50,11:19:03.409,283
2025-02-05 11:16:50,11:19:08.208,307
2025-02-05 11:16:50,11:19:10.525,399
2025-02-05 11:16:50,11:19:12.458,282
2025-02-05 11:16:50,11:19:14.858,0
2025-02-05 11:16:50,11:19:16.808,383
2025-02-05 11:16:50,11:19:20.225,0
2025-02-05 11:16:50,11:19:22.558,0
2025-02-05 11:16:50,11:19:24.924,482
2025-02-05 11:16:50,11:19:29.507,299
2025-02-05 11:16:50,11:19:31.540,399
2025-02-05 11:16:50,11:19:33.473,333
2025-02-05 11:16:50,11:19:35.973,316
2025-02-05 11:16:50,11:19:37.790,299
2025-02-05 11:16:50,11:19:40.923,282
2025-02-05 11:16:50,11:19:44.190,0
2025-02-05 11:16:50,11:19:48.673,0
2025-02-05 11:16:50,11:19:53.572,316
2025-02-05 11:16:50,11:19:58.271,370
2025-02-05 11:16:50,11:20:00.621,349
2025-02-05 11:16:50,11:20:04.188,499
2025-02-05 11:16:50,11:20:08.788,283
2025-02-05 11:16:50,11:20:11.537,382
2025-02-05 11:16:50,11:20:15.920,316
2025-02-05 11:16:50,11:20:20.487,333
2025-02-05 11:16:50,11:20:25.203,349
2025-02-05 11:16:50,11:20:28.936,383
2025-02-05 11:16:50,11:20:31.135,332
2025-02-05 11:16:50,11:20:33.469,0
2025-02-05 11:16:50,11:20:37.069,0
2025-02-05 11:16:50,11:20:40.902,282
2025-02-05 11:16:50,11:20:43.685,349
2025-02-05 11:16:50,11:20:47.451,282
2025-02-05 11:16:50,11:20:51.268,0
2025-02-05 11:16:50,11:20:54.617,266
2025-02-05 11:16:50,11:20:56.884,383
2025-02-05 11:16:50,11:21:00.717,316
2025-02-05 11:16:50,11:21:04.950,332
2025-02-05 11:16:50,11:21:08.467,0
2025-02-05 11:16:50,11:21:11.350,0
2025-02-05 11:16:50,11:21:14.066,0
2025-02-05 11:16:50,11:21:17.783,0
2025-02-05 11:16:50,11:21:20.065,356
2025-02-05 11:16:50,11:21:23.965,449
2025-02-05 11:16:50,11:21:27.881,349
2025-02-05 11:16:50,11:21:31.098,349
2025-02-05 11:16:50,11:21:33.414,512
2025-02-05 11:16:50,11:21:35.797,432
2025-02-05 11:16:50,11:21:40.130,310
2025-02-05 11:16:50,11:21:42.764,382
2025-02-05 11:16:50,11:21:45.530,316
2025-02-05 11:16:50,11:21:49.313,399
2025-02-05 11:16:50,11:21:50.347,0
2025-02-05 11:16:50,11:21:53.696,349
2025-02-05 11:16:50,11:21:55.813,0
2025-02-05 11:16:50,11:21:57.762,349
2025-02-05 11:16:50,11:22:00.879,266
2025-02-05 11:16:50,11:22:03.212,309
2025-02-05 11:16:50,11:22:05.829,0
2025-02-05 11:16:50,11:22:08.478,299
2025-02-05 11:16:50,11:22:10.912,0
2025-02-05 11:16:50,11:22:14.728,299
2025-02-05 11:16:50,11:22:19.527,299
2025-02-05 11:16:50,11:22:22.411,340
2025-02-05 11:16:50,11:22:24.578,333
2025-02-05 11:16:50,11:22:28.210,307
2025-02-05 11:16:50,11:22:31.560,282
2025-02-05 11:16:50,11:22:34.693,316
2025-02-05 11:16:50,11:22:38.260,0
2025-02-05 11:16:50,11:22:40.226,432
2025-02-05 11:16:50,11:22:44.042,316
2025-02-05 11:16:50,11:22:47.759,299
2025-02-05 11:16:50,11:22:51.442,299
2025-02-05 11:16:50,11:22:54.258,328
2025-02-05 11:16:50,11:22:57.541,366
2025-02-05 11:16:50,11:23:00.075,282
2025-02-05 11:16:50,11:23:04.924,299
2025-02-05 11:16:50,11:23:09.657,282
2025-02-05 11:16:50,11:23:13.757,349
2025-02-05 11:16:50,11:23:17.857,566
2025-02-05 11:16:50,11:23:20.056,516
2025-02-05 11:16:50,11:23:22.190,349
2025-02-05 11:16:50,11:23:26.607,0
2025-02-05 11:16:50,11:23:29.172,316
2025-02-05 11:16:50,11:23:31.222,466
2025-02-05 11:16:50,11:23:34.539,299
2025-02-05 11:16:50,11:23:37.238,332
2025-02-05 11:16:50,11:23:41.188,266
2025-02-05 11:16:50,11:23:45.021,282
2025-02-05 11:16:50,11:23:47.754,333
2025-02-05 11:16:50,11:23:51.387,232
2025-02-05 11:16:50,Sex,
2025-02-05 11:16:50,Test Duration in seconds,421
2025-02-05 11:16:50,Number of False Positives,27
2025-02-05 11:16:50,Average response time ,347
2025-02-05 11:16:50,Fastest response time ,99
2025-02-05 11:16:50,Slowest response time ,1532
2025-02-05 11:16:50,Count of response time over 500ms ,5
