Task,TapTime,Milliseconds
2024-12-12 09:31:04,12/12/24 09:31:07,372
2024-12-12 09:31:04,12/12/24 09:31:11,361
2024-12-12 09:31:04,12/12/24 09:31:16,323
2024-12-12 09:31:04,12/12/24 09:31:19,363
2024-12-12 09:31:04,12/12/24 09:31:23,340
2024-12-12 09:31:04,12/12/24 09:31:27,337
2024-12-12 09:31:04,12/12/24 09:31:29,373
2024-12-12 09:31:04,12/12/24 09:31:34,313
2024-12-12 09:31:04,12/12/24 09:31:37,287
2024-12-12 09:31:04,12/12/24 09:31:41,340
2024-12-12 09:31:04,12/12/24 09:31:45,320
2024-12-12 09:31:04,12/12/24 09:31:49,261
2024-12-12 09:31:04,12/12/24 09:31:54,384
2024-12-12 09:31:04,12/12/24 09:31:58,299
2024-12-12 09:31:04,12/12/24 09:32:00,517
2024-12-12 09:31:04,12/12/24 09:32:05,333
2024-12-12 09:31:04,12/12/24 09:32:08,304
2024-12-12 09:31:04,12/12/24 09:32:11,338
2024-12-12 09:31:04,12/12/24 09:32:15,296
2024-12-12 09:31:04,12/12/24 09:32:17,358
2024-12-12 09:31:04,12/12/24 09:32:22,314
2024-12-12 09:31:04,12/12/24 09:32:26,350
2024-12-12 09:31:04,12/12/24 09:32:28,360
2024-12-12 09:31:04,12/12/24 09:32:33,285
2024-12-12 09:31:04,12/12/24 09:32:37,317
2024-12-12 09:31:04,12/12/24 09:32:41,284
2024-12-12 09:31:04,12/12/24 09:32:44,298
2024-12-12 09:31:04,12/12/24 09:32:47,288
2024-12-12 09:31:04,12/12/24 09:32:51,300
2024-12-12 09:31:04,12/12/24 09:32:53,435
2024-12-12 09:31:04,12/12/24 09:32:56,330
2024-12-12 09:31:04,12/12/24 09:32:59,303
2024-12-12 09:31:04,12/12/24 09:33:02,291
2024-12-12 09:31:04,12/12/24 09:33:05,304
2024-12-12 09:31:04,12/12/24 09:33:08,302
2024-12-12 09:31:04,12/12/24 09:33:12,312
2024-12-12 09:31:04,12/12/24 09:33:15,337
2024-12-12 09:31:04,12/12/24 09:33:19,295
2024-12-12 09:31:04,12/12/24 09:33:23,254
2024-12-12 09:31:04,12/12/24 09:33:27,320
2024-12-12 09:31:04,12/12/24 09:33:31,289
2024-12-12 09:31:04,12/12/24 09:33:33,332
2024-12-12 09:31:04,12/12/24 09:33:36,351
2024-12-12 09:31:04,12/12/24 09:33:40,289
2024-12-12 09:31:04,12/12/24 09:33:44,321
2024-12-12 09:31:04,12/12/24 09:33:48,309
2024-12-12 09:31:04,12/12/24 09:33:50,427
2024-12-12 09:31:04,12/12/24 09:33:54,283
2024-12-12 09:31:04,12/12/24 09:33:57,291
2024-12-12 09:31:04,12/12/24 09:34:01,296
2024-12-12 09:31:04,12/12/24 09:34:03,353
2024-12-12 09:31:04,12/12/24 09:34:08,289
2024-12-12 09:31:04,Sex,
2024-12-12 09:31:04,Test Duration in seconds,184
2024-12-12 09:31:04,Number of False Positives,0
2024-12-12 09:31:04,Average response time ,325
2024-12-12 09:31:04,Fastest response time ,254
2024-12-12 09:31:04,Slowest response time ,517
2024-12-12 09:31:04,Count of response time over 500ms ,1
