Task,TapTime,Milliseconds
2025-01-29 12:50:32,12:50:34.359,399
2025-01-29 12:50:32,12:50:35.809,0
2025-01-29 12:50:32,12:50:39.008,403
2025-01-29 12:50:32,12:50:44.074,409
2025-01-29 12:50:32,12:50:47.374,378
2025-01-29 12:50:32,12:50:51.324,394
2025-01-29 12:50:32,12:50:54.608,0
2025-01-29 12:50:32,12:50:58.857,345
2025-01-29 12:50:32,12:51:01.290,334
2025-01-29 12:50:32,12:51:03.656,345
2025-01-29 12:50:32,12:51:07.856,628
2025-01-29 12:50:32,12:51:12.805,320
2025-01-29 12:50:32,12:51:15.989,433
2025-01-29 12:50:32,12:51:18.922,357
2025-01-29 12:50:32,12:51:23.072,311
2025-01-29 12:50:32,12:51:26.638,294
2025-01-29 12:50:32,12:51:30.454,308
2025-01-29 12:50:32,12:51:32.604,342
2025-01-29 12:50:32,12:51:35.004,318
2025-01-29 12:50:32,12:51:39.853,339
2025-01-29 12:50:32,12:51:42.686,380
2025-01-29 12:50:32,12:51:45.036,591
2025-01-29 12:50:32,12:51:49.336,463
2025-01-29 12:50:32,12:51:52.469,332
2025-01-29 12:50:32,12:51:54.303,0
2025-01-29 12:50:32,12:51:58.335,348
2025-01-29 12:50:32,12:52:00.518,466
2025-01-29 12:50:32,12:52:04.334,295
2025-01-29 12:50:32,12:52:09.301,428
2025-01-29 12:50:32,12:52:13.267,427
2025-01-29 12:50:32,12:52:16.550,310
2025-01-29 12:50:32,12:52:21.117,380
2025-01-29 12:50:32,12:52:21.217,0
2025-01-29 12:50:32,12:52:24.299,638
2025-01-29 12:50:32,12:52:27.566,343
2025-01-29 12:50:32,12:52:30.232,401
2025-01-29 12:50:32,12:52:32.899,329
2025-01-29 12:50:32,12:52:37.048,330
2025-01-29 12:50:32,12:52:41.264,304
2025-01-29 12:50:32,12:52:43.448,401
2025-01-29 12:50:32,12:52:48.364,378
2025-01-29 12:50:32,12:52:52.847,378
2025-01-29 12:50:32,12:52:56.847,388
2025-01-29 12:50:32,12:52:59.263,345
2025-01-29 12:50:32,12:53:01.680,336
2025-01-29 12:50:32,12:53:06.329,411
2025-01-29 12:50:32,12:53:11.195,434
2025-01-29 12:50:32,12:53:15.762,317
2025-01-29 12:50:32,12:53:18.895,450
2025-01-29 12:50:32,12:53:21.211,472
2025-01-29 12:50:32,12:53:24.261,333
2025-01-29 12:50:32,12:53:28.544,391
2025-01-29 12:50:32,12:53:33.327,341
2025-01-29 12:50:32,12:53:35.560,350
2025-01-29 12:50:32,12:53:37.727,384
2025-01-29 12:50:32,12:53:42.476,468
2025-01-29 12:50:32,12:53:44.559,406
2025-01-29 12:50:32,12:53:48.809,364
2025-01-29 12:50:32,12:53:51.175,439
2025-01-29 12:50:32,12:53:53.309,0
2025-01-29 12:50:32,12:53:57.041,302
2025-01-29 12:50:32,12:54:00.191,339
2025-01-29 12:50:32,12:54:04.824,338
2025-01-29 12:50:32,12:54:09.774,431
2025-01-29 12:50:32,12:54:14.707,364
2025-01-29 12:50:32,12:54:18.190,586
2025-01-29 12:50:32,12:54:21.989,353
2025-01-29 12:50:32,12:54:24.823,378
2025-01-29 12:50:32,12:54:28.522,370
2025-01-29 12:50:32,12:54:32.206,0
2025-01-29 12:50:32,12:54:34.288,457
2025-01-29 12:50:32,12:54:35.722,0
2025-01-29 12:50:32,12:54:38.488,374
2025-01-29 12:50:32,12:54:41.504,446
2025-01-29 12:50:32,12:54:46.254,1145
2025-01-29 12:50:32,12:54:49.037,228
2025-01-29 12:50:32,12:54:53.753,624
2025-01-29 12:50:32,12:54:57.886,317
2025-01-29 12:50:32,12:55:00.919,312
2025-01-29 12:50:32,12:55:04.802,358
2025-01-29 12:50:32,12:55:08.102,340
2025-01-29 12:50:32,12:55:11.686,0
2025-01-29 12:50:32,12:55:15.768,325
2025-01-29 12:50:32,12:55:18.435,0
2025-01-29 12:50:32,12:55:22.084,253
2025-01-29 12:50:32,12:55:24.284,453
2025-01-29 12:50:32,12:55:27.834,389
2025-01-29 12:50:32,12:55:31.683,341
2025-01-29 12:50:32,12:55:34.917,0
2025-01-29 12:50:32,12:55:38.350,368
2025-01-29 12:50:32,12:55:41.782,338
2025-01-29 12:50:32,12:55:46.215,297
2025-01-29 12:50:32,12:55:50.382,330
2025-01-29 12:50:32,12:55:52.681,376
2025-01-29 12:50:32,12:55:56.265,0
2025-01-29 12:50:32,12:55:59.581,296
2025-01-29 12:50:32,12:56:03.781,336
2025-01-29 12:50:32,12:56:06.464,334
2025-01-29 12:50:32,12:56:09.064,0
2025-01-29 12:50:32,12:56:12.030,374
2025-01-29 12:50:32,12:56:14.580,408
2025-01-29 12:50:32,12:56:16.463,0
2025-01-29 12:50:32,12:56:17.713,0
2025-01-29 12:50:32,12:56:18.129,0
2025-01-29 12:50:32,12:56:18.311,0
2025-01-29 12:50:32,12:56:18.495,0
2025-01-29 12:50:32,12:56:18.662,0
2025-01-29 12:50:32,12:56:18.813,0
2025-01-29 12:50:32,12:56:18.962,0
2025-01-29 12:50:32,12:56:19.129,0
2025-01-29 12:50:32,12:56:19.296,0
2025-01-29 12:50:32,12:56:19.446,0
