Task,TapTime,Milliseconds
2025-01-29 10:06:01,10:06:02.995,505
2025-01-29 10:06:01,10:06:06.328,293
2025-01-29 10:06:01,10:06:10.028,300
2025-01-29 10:06:01,10:06:13.611,497
2025-01-29 10:06:01,10:06:16.661,1000
2025-01-29 10:06:01,10:06:19.894,0
2025-01-29 10:06:01,10:06:24.510,460
2025-01-29 10:06:01,10:06:27.743,303
2025-01-29 10:06:01,10:06:31.626,288
2025-01-29 10:06:01,10:06:35.393,289
2025-01-29 10:06:01,10:06:38.692,967
2025-01-29 10:06:01,10:06:41.609,331
2025-01-29 10:06:01,10:06:44.342,354
2025-01-29 10:06:01,10:06:46.775,436
2025-01-29 10:06:01,10:06:50.608,269
2025-01-29 10:06:01,10:06:52.958,517
2025-01-29 10:06:01,10:06:56.275,0
2025-01-29 10:06:01,10:07:00.790,325
2025-01-29 10:06:01,10:07:04.690,352
2025-01-29 10:06:01,10:07:06.807,341
2025-01-29 10:06:01,10:07:09.724,0
2025-01-29 10:06:01,10:07:13.190,0
2025-01-29 10:06:01,10:07:16.372,337
2025-01-29 10:06:01,10:07:19.522,419
2025-01-29 10:06:01,10:07:23.705,265
2025-01-29 10:06:01,10:07:26.488,319
2025-01-29 10:06:01,10:07:28.838,313
2025-01-29 10:06:01,10:07:31.588,0
2025-01-29 10:06:01,10:07:36.171,284
2025-01-29 10:06:01,10:07:38.754,573
2025-01-29 10:06:01,10:07:41.304,0
2025-01-29 10:06:01,10:07:46.170,317
2025-01-29 10:06:01,10:07:49.553,314
2025-01-29 10:06:01,10:07:52.736,277
2025-01-29 10:06:01,10:07:54.702,280
2025-01-29 10:06:01,10:07:58.752,270
2025-01-29 10:06:01,10:08:03.169,0
2025-01-29 10:06:01,10:08:06.767,303
2025-01-29 10:06:01,10:08:09.002,0
2025-01-29 10:06:01,10:08:11.784,344
2025-01-29 10:06:01,10:08:16.301,266
2025-01-29 10:06:01,10:08:18.650,312
2025-01-29 10:06:01,10:08:21.033,305
2025-01-29 10:06:01,10:08:23.100,0
2025-01-29 10:06:01,10:08:26.150,260
2025-01-29 10:06:01,10:08:29.150,0
2025-01-29 10:06:01,10:08:32.416,369
2025-01-29 10:06:01,10:08:35.415,434
2025-01-29 10:06:01,10:08:44.598,4617
2025-01-29 10:06:01,10:08:47.631,326
2025-01-29 10:06:01,10:08:51.897,307
2025-01-29 10:06:01,10:08:54.430,303
2025-01-29 10:06:01,10:08:56.964,300
2025-01-29 10:06:01,10:08:59.997,261
2025-01-29 10:06:01,10:09:02.230,387
2025-01-29 10:06:01,10:09:07.046,278
2025-01-29 10:06:01,10:09:10.246,466
2025-01-29 10:06:01,10:09:11.680,0
2025-01-29 10:06:01,10:09:14.079,0
2025-01-29 10:06:01,10:09:15.929,118
2025-01-29 10:06:01,10:09:20.279,297
2025-01-29 10:06:01,10:09:23.245,306
2025-01-29 10:06:01,10:09:25.978,318
2025-01-29 10:06:01,10:09:30.694,212
2025-01-29 10:06:01,10:09:33.844,503
2025-01-29 10:06:01,10:09:36.194,286
2025-01-29 10:06:01,10:09:39.260,272
2025-01-29 10:06:01,10:09:40.927,0
2025-01-29 10:06:01,10:09:44.794,0
2025-01-29 10:06:01,10:09:45.359,0
2025-01-29 10:06:01,10:09:45.592,0
2025-01-29 10:06:01,10:09:45.826,0
2025-01-29 10:06:01,10:09:46.059,0
2025-01-29 10:06:01,10:09:46.276,0
2025-01-29 10:06:01,10:09:46.476,0
2025-01-29 10:06:01,10:09:46.726,0
2025-01-29 10:06:01,10:09:46.959,0
2025-01-29 10:06:01,10:09:47.176,0
2025-01-29 10:06:01,10:09:50.760,0
2025-01-29 10:06:01,10:09:55.409,306
2025-01-29 10:06:01,10:10:00.325,283
2025-01-29 10:06:01,10:10:05.091,334
2025-01-29 10:06:01,10:10:07.391,453
2025-01-29 10:06:01,10:10:10.641,303
2025-01-29 10:06:01,10:10:14.357,285
2025-01-29 10:06:01,10:10:18.723,385
2025-01-29 10:06:01,10:10:22.123,526
2025-01-29 10:06:01,10:10:25.256,528
2025-01-29 10:06:01,10:10:28.223,0
2025-01-29 10:06:01,10:10:30.222,322
2025-01-29 10:06:01,10:10:31.672,0
2025-01-29 10:06:01,10:10:34.939,374
2025-01-29 10:06:01,10:10:37.988,808
2025-01-29 10:06:01,10:10:41.172,500
2025-01-29 10:06:01,10:10:42.405,0
2025-01-29 10:06:01,10:10:43.421,0
2025-01-29 10:06:01,10:10:47.971,308
2025-01-29 10:06:01,10:10:48.936,0
2025-01-29 10:06:01,10:10:51.354,395
2025-01-29 10:06:01,10:10:54.454,517
2025-01-29 10:06:01,10:10:56.137,0
2025-01-29 10:06:01,10:10:59.120,520
2025-01-29 10:06:01,10:11:01.936,977
2025-01-29 10:06:01,10:11:05.019,292
2025-01-29 10:06:01,10:11:08.469,449
2025-01-29 10:06:01,10:11:10.903,0
2025-01-29 10:06:01,10:11:11.218,0
2025-01-29 10:06:01,10:11:14.302,314
2025-01-29 10:06:01,10:11:18.702,346
2025-01-29 10:06:01,10:11:22.418,371
2025-01-29 10:06:01,10:11:26.818,353
2025-01-29 10:06:01,10:11:26.984,0
2025-01-29 10:06:01,10:11:31.084,644
2025-01-29 10:06:01,10:11:34.333,1106
2025-01-29 10:06:01,10:11:42.555,0
2025-01-29 10:06:01,10:11:46.382,372
2025-01-29 10:06:01,10:11:49.649,0
2025-01-29 10:06:01,10:11:52.765,292
2025-01-29 10:06:01,10:11:57.748,410
2025-01-29 10:06:01,10:12:00.481,433
2025-01-29 10:06:01,10:12:04.514,297
2025-01-29 10:06:01,10:12:06.631,504
2025-01-29 10:06:01,10:12:13.097,3055
2025-01-29 10:06:01,10:12:20.113,3010
2025-01-29 10:06:01,10:12:22.346,417
2025-01-29 10:06:01,10:12:25.146,165
2025-01-29 10:06:01,10:12:28.645,308
2025-01-29 10:06:01,10:12:31.196,0
2025-01-29 10:06:01,10:12:35.828,1930
2025-01-29 10:06:01,10:12:35.945,0
2025-01-29 10:06:01,10:12:38.811,372
2025-01-29 10:06:01,10:12:44.244,3093
2025-01-29 10:06:01,10:12:47.860,293
2025-01-29 10:06:01,10:12:57.045,0
2025-01-29 10:06:01,10:13:01.076,420
2025-01-29 10:06:01,10:13:09.142,3702
2025-01-29 10:06:01,Sex,
2025-01-29 10:06:01,Test Duration in seconds,427
2025-01-29 10:06:01,Number of False Positives,38
2025-01-29 10:06:01,Average response time ,561
2025-01-29 10:06:01,Fastest response time ,118
2025-01-29 10:06:01,Slowest response time ,4617
2025-01-29 10:06:01,Count of response time over 500ms ,22
