Task,TapTime,Milliseconds
2025-01-29 01:19:31,13:19:34.491,433
2025-01-29 01:19:31,13:19:38.058,530
2025-01-29 01:19:31,13:19:40.424,351
2025-01-29 01:19:31,13:19:42.791,0
2025-01-29 01:19:31,13:19:47.790,455
2025-01-29 01:19:31,13:19:50.240,616
2025-01-29 01:19:31,13:19:54.990,319
2025-01-29 01:19:31,13:19:58.373,410
2025-01-29 01:19:31,13:20:02.922,366
2025-01-29 01:19:31,13:20:07.238,491
2025-01-29 01:19:31,13:20:09.655,709
2025-01-29 01:19:31,13:20:14.005,476
2025-01-29 01:19:31,13:20:17.638,0
2025-01-29 01:19:31,13:20:22.321,372
2025-01-29 01:19:31,13:20:25.337,364
2025-01-29 01:19:31,13:20:28.870,338
2025-01-29 01:19:31,13:20:32.570,357
2025-01-29 01:19:31,13:20:35.203,0
2025-01-29 01:19:31,13:20:38.436,356
2025-01-29 01:19:31,13:20:42.069,391
2025-01-29 01:19:31,13:20:45.019,473
2025-01-29 01:19:31,13:20:47.318,475
2025-01-29 01:19:31,13:20:50.585,319
2025-01-29 01:19:31,13:20:53.652,0
2025-01-29 01:19:31,13:20:56.734,385
2025-01-29 01:19:31,13:21:01.234,440
2025-01-29 01:19:31,13:21:05.400,673
2025-01-29 01:19:31,13:21:09.066,458
2025-01-29 01:19:31,13:21:12.083,405
2025-01-29 01:19:31,13:21:15.050,323
2025-01-29 01:19:31,13:21:19.116,541
2025-01-29 01:19:31,13:21:22.916,0
2025-01-29 01:19:31,13:21:23.465,0
2025-01-29 01:19:31,13:21:25.782,193
2025-01-29 01:19:31,13:21:31.098,2251
2025-01-29 01:19:31,13:21:34.365,416
2025-01-29 01:19:31,13:21:37.831,393
2025-01-29 01:19:31,13:21:40.064,334
2025-01-29 01:19:31,13:21:42.747,333
2025-01-29 01:19:31,13:21:45.131,0
2025-01-29 01:19:31,13:21:47.014,0
2025-01-29 01:19:31,13:21:50.596,523
2025-01-29 01:19:31,13:21:54.479,357
2025-01-29 01:19:31,13:21:57.529,469
2025-01-29 01:19:31,13:22:00.029,437
2025-01-29 01:19:31,13:22:04.562,430
2025-01-29 01:19:31,13:22:08.328,383
2025-01-29 01:19:31,13:22:12.861,423
2025-01-29 01:19:31,13:22:16.161,361
2025-01-29 01:19:31,13:22:20.610,344
2025-01-29 01:19:31,13:22:23.943,415
2025-01-29 01:19:31,13:22:26.610,446
2025-01-29 01:19:31,13:22:29.809,313
2025-01-29 01:19:31,13:22:32.109,641
2025-01-29 01:19:31,13:22:34.842,346
2025-01-29 01:19:31,13:22:39.159,314
2025-01-29 01:19:31,13:22:42.159,312
2025-01-29 01:19:31,13:22:44.408,387
2025-01-29 01:19:31,13:22:49.241,395
2025-01-29 01:19:31,13:22:51.842,0
2025-01-29 01:19:31,13:22:53.774,352
2025-01-29 01:19:31,13:22:57.990,378
2025-01-29 01:19:31,13:23:00.257,526
2025-01-29 01:19:31,13:23:03.757,470
2025-01-29 01:19:31,13:23:06.823,378
2025-01-29 01:19:31,13:23:09.023,601
2025-01-29 01:19:31,13:23:13.606,1928
2025-01-29 01:19:31,13:23:17.205,359
2025-01-29 01:19:31,13:23:19.422,474
2025-01-29 01:19:31,13:23:21.839,0
2025-01-29 01:19:31,13:23:25.388,315
2025-01-29 01:19:31,13:23:29.238,391
2025-01-29 01:19:31,13:23:32.254,306
2025-01-29 01:19:31,13:23:35.737,113
2025-01-29 01:19:31,13:23:38.970,0
2025-01-29 01:19:31,13:23:41.287,0
2025-01-29 01:19:31,13:23:45.953,356
2025-01-29 01:19:31,13:23:48.270,423
2025-01-29 01:19:31,13:23:50.803,0
2025-01-29 01:19:31,13:23:54.802,306
2025-01-29 01:19:31,13:23:57.135,458
2025-01-29 01:19:31,13:24:01.185,341
2025-01-29 01:19:31,13:24:05.185,458
2025-01-29 01:19:31,13:24:08.718,430
2025-01-29 01:19:31,13:24:09.468,0
2025-01-29 01:19:31,13:24:13.017,405
2025-01-29 01:19:31,13:24:16.617,464
2025-01-29 01:19:31,13:24:21.550,385
2025-01-29 01:19:31,13:24:25.933,363
2025-01-29 01:19:31,13:24:31.116,566
2025-01-29 01:19:31,13:24:37.149,2747
2025-01-29 01:19:31,13:24:42.048,1202
2025-01-29 01:19:31,13:24:43.982,349
2025-01-29 01:19:31,13:24:46.465,0
2025-01-29 01:19:31,13:24:48.065,0
2025-01-29 01:19:31,13:24:52.997,385
2025-01-29 01:19:31,13:24:56.513,0
2025-01-29 01:19:31,13:24:56.930,0
2025-01-29 01:19:31,13:25:02.012,546
2025-01-29 01:19:31,13:25:08.379,3883
2025-01-29 01:19:31,13:25:11.062,513
2025-01-29 01:19:31,13:25:15.695,430
2025-01-29 01:19:31,13:25:19.828,494
2025-01-29 01:19:31,13:25:24.161,315
2025-01-29 01:19:31,13:25:26.278,499
2025-01-29 01:19:31,13:25:30.277,431
2025-01-29 01:19:31,13:25:33.460,334
2025-01-29 01:19:31,13:25:35.761,0
2025-01-29 01:19:31,13:25:38.643,455
2025-01-29 01:19:31,13:25:40.843,600
2025-01-29 01:19:31,13:25:43.693,434
2025-01-29 01:19:31,13:25:48.742,1896
2025-01-29 01:19:31,13:25:50.825,0
2025-01-29 01:19:31,13:25:54.175,376
2025-01-29 01:19:31,13:25:57.658,685
2025-01-29 01:19:31,13:25:58.476,0
2025-01-29 01:19:31,13:26:01.192,0
2025-01-29 01:19:31,13:26:04.175,328
2025-01-29 01:19:31,13:26:08.357,288
2025-01-29 01:19:31,13:26:10.674,409
2025-01-29 01:19:31,13:26:13.357,221
2025-01-29 01:19:31,13:26:15.974,0
2025-01-29 01:19:31,13:26:20.207,361
2025-01-29 01:19:31,13:26:23.940,345
2025-01-29 01:19:31,13:26:26.173,0
2025-01-29 01:19:31,13:26:29.072,385
2025-01-29 01:19:31,13:26:33.072,433
2025-01-29 01:19:31,Sex,
2025-01-29 01:19:31,Test Duration in seconds,421
2025-01-29 01:19:31,Number of False Positives,24
2025-01-29 01:19:31,Average response time ,523
2025-01-29 01:19:31,Fastest response time ,113
2025-01-29 01:19:31,Slowest response time ,3883
2025-01-29 01:19:31,Count of response time over 500ms ,20
