Task,TapTime,Milliseconds
2025-01-29 10:30:11,10:30:13.539,916
2025-01-29 10:30:11,10:30:17.705,275
2025-01-29 10:30:11,10:30:22.505,291
2025-01-29 10:30:11,10:30:25.704,317
2025-01-29 10:30:11,10:30:28.438,300
2025-01-29 10:30:11,10:30:31.654,273
2025-01-29 10:30:11,10:30:36.137,273
2025-01-29 10:30:11,10:30:40.887,321
2025-01-29 10:30:11,10:30:43.203,338
2025-01-29 10:30:11,10:30:46.619,238
2025-01-29 10:30:11,10:30:49.652,314
2025-01-29 10:30:11,10:30:53.585,247
2025-01-29 10:30:11,10:30:55.919,302
2025-01-29 10:30:11,10:30:56.019,0
2025-01-29 10:30:11,10:30:58.735,317
2025-01-29 10:30:11,10:31:02.535,233
2025-01-29 10:30:11,10:31:05.951,288
2025-01-29 10:30:11,10:31:08.784,280
2025-01-29 10:30:11,10:31:11.551,170
2025-01-29 10:30:11,10:31:16.000,262
2025-01-29 10:30:11,10:31:19.283,129
2025-01-29 10:30:11,10:31:22.016,279
2025-01-29 10:30:11,10:31:24.166,286
2025-01-29 10:30:11,10:31:26.817,0
2025-01-29 10:30:11,10:31:29.732,274
2025-01-29 10:30:11,10:31:32.866,0
2025-01-29 10:30:11,10:31:33.832,0
2025-01-29 10:30:11,10:31:36.098,235
2025-01-29 10:30:11,10:31:39.565,434
2025-01-29 10:30:11,10:31:41.664,452
2025-01-29 10:30:11,10:31:43.914,298
2025-01-29 10:30:11,10:31:46.864,129
2025-01-29 10:30:11,10:31:49.764,426
2025-01-29 10:30:11,10:31:51.697,316
2025-01-29 10:30:11,10:31:54.731,0
2025-01-29 10:30:11,10:31:57.713,279
2025-01-29 10:30:11,10:32:01.330,199
2025-01-29 10:30:11,10:32:04.196,311
2025-01-29 10:30:11,10:32:07.430,0
2025-01-29 10:30:11,10:32:09.979,288
2025-01-29 10:30:11,10:32:11.962,302
2025-01-29 10:30:11,10:32:14.746,0
2025-01-29 10:30:11,10:32:18.428,280
2025-01-29 10:30:11,10:32:20.678,409
2025-01-29 10:30:11,10:32:24.461,287
2025-01-29 10:30:11,10:32:28.011,273
2025-01-29 10:30:11,10:32:31.177,314
