Task,TapTime,Milliseconds
2025-01-29 11:25:16,11:25:20.307,367
2025-01-29 11:25:16,11:25:22.706,299
2025-01-29 11:25:16,11:25:26.206,267
2025-01-29 11:25:16,11:25:31.105,292
2025-01-29 11:25:16,11:25:35.088,275
2025-01-29 11:25:16,11:25:39.072,0
2025-01-29 11:25:16,11:25:43.505,390
2025-01-29 11:25:16,11:25:47.438,306
2025-01-29 11:25:16,11:25:50.354,285
2025-01-29 11:25:16,11:25:53.804,0
2025-01-29 11:25:16,11:25:56.587,547
2025-01-29 11:25:16,11:25:58.853,331
2025-01-29 11:25:16,11:26:01.869,280
2025-01-29 11:25:16,11:26:04.053,473
2025-01-29 11:25:16,11:26:07.586,283
2025-01-29 11:25:16,11:26:10.502,352
2025-01-29 11:25:16,11:26:14.702,0
2025-01-29 11:25:16,11:26:17.085,378
2025-01-29 11:25:16,11:26:21.201,263
2025-01-29 11:25:16,11:26:24.635,246
2025-01-29 11:25:16,11:26:28.184,371
2025-01-29 11:25:16,11:26:32.633,281
2025-01-29 11:25:16,11:26:35.467,315
2025-01-29 11:25:16,11:26:38.400,271
2025-01-29 11:25:16,11:26:40.833,295
2025-01-29 11:25:16,11:26:43.333,230
2025-01-29 11:25:16,11:26:45.683,256
2025-01-29 11:25:16,11:26:48.249,306
2025-01-29 11:25:16,11:26:51.399,325
2025-01-29 11:25:16,11:26:56.348,309
2025-01-29 11:25:16,11:26:58.381,279
2025-01-29 11:25:16,11:27:01.131,193
2025-01-29 11:25:16,11:27:03.648,0
2025-01-29 11:25:16,11:27:05.581,335
2025-01-29 11:25:16,11:27:09.914,315
2025-01-29 11:25:16,11:27:12.513,286
2025-01-29 11:25:16,11:27:14.680,94
2025-01-29 11:25:16,11:27:16.596,287
2025-01-29 11:25:16,11:27:19.930,0
2025-01-29 11:25:16,11:27:21.597,0
2025-01-29 11:25:16,11:27:24.362,311
2025-01-29 11:25:16,11:27:27.246,433
2025-01-29 11:25:16,11:27:31.929,296
2025-01-29 11:25:16,11:27:35.795,332
2025-01-29 11:25:16,11:27:40.745,417
2025-01-29 11:25:16,11:27:43.961,252
2025-01-29 11:25:16,11:27:46.094,0
2025-01-29 11:25:16,11:27:48.411,0
2025-01-29 11:25:16,11:27:50.494,0
2025-01-29 11:25:16,11:27:54.077,264
2025-01-29 11:25:16,11:27:57.410,279
2025-01-29 11:25:16,11:27:59.876,288
2025-01-29 11:25:16,11:28:01.793,0
2025-01-29 11:25:16,11:28:03.410,0
2025-01-29 11:25:16,11:28:06.276,0
2025-01-29 11:25:16,11:28:09.076,0
2025-01-29 11:25:16,11:28:12.375,283
2025-01-29 11:25:16,11:28:16.258,320
2025-01-29 11:25:16,11:28:19.724,212
2025-01-29 11:25:16,11:28:21.708,0
2025-01-29 11:25:16,11:28:25.391,293
2025-01-29 11:25:16,11:28:29.857,284
2025-01-29 11:25:16,11:28:32.423,361
2025-01-29 11:25:16,11:28:34.374,0
2025-01-29 11:25:16,11:28:36.973,58
2025-01-29 11:25:16,11:28:40.656,193
2025-01-29 11:25:16,11:28:41.956,0
2025-01-29 11:25:16,11:28:44.040,0
2025-01-29 11:25:16,11:28:46.105,253
2025-01-29 11:25:16,11:28:46.906,0
2025-01-29 11:25:16,11:28:49.105,414
2025-01-29 11:25:16,11:28:51.337,299
2025-01-29 11:25:16,11:28:53.455,0
2025-01-29 11:25:16,11:28:55.439,0
2025-01-29 11:25:16,11:28:57.122,0
2025-01-29 11:25:16,11:28:58.822,0
2025-01-29 11:25:16,11:29:01.104,292
2025-01-29 11:25:16,11:29:01.921,0
2025-01-29 11:25:16,11:29:05.421,0
2025-01-29 11:25:16,11:29:07.554,326
2025-01-29 11:25:16,11:29:11.903,301
2025-01-29 11:25:16,11:29:13.820,299
2025-01-29 11:25:16,11:29:17.803,294
2025-01-29 11:25:16,11:29:20.137,0
2025-01-29 11:25:16,11:29:22.869,208
2025-01-29 11:25:16,11:29:25.135,323
2025-01-29 11:25:16,11:29:27.386,0
2025-01-29 11:25:16,11:29:30.286,0
2025-01-29 11:25:16,11:29:32.085,0
2025-01-29 11:25:16,11:29:33.935,0
2025-01-29 11:25:16,11:29:35.668,4
2025-01-29 11:25:16,11:29:37.734,382
2025-01-29 11:25:16,11:29:40.751,0
2025-01-29 11:25:16,11:29:42.768,0
2025-01-29 11:25:16,11:29:44.718,0
2025-01-29 11:25:16,11:29:46.384,0
2025-01-29 11:25:16,11:29:48.651,0
2025-01-29 11:25:16,11:29:50.784,0
2025-01-29 11:25:16,11:29:52.933,292
2025-01-29 11:25:16,11:29:56.266,454
2025-01-29 11:25:16,11:29:59.899,315
2025-01-29 11:25:16,11:30:02.182,268
2025-01-29 11:25:16,11:30:04.165,251
2025-01-29 11:25:16,11:30:06.199,0
2025-01-29 11:25:16,11:30:08.183,0
2025-01-29 11:25:16,11:30:09.499,0
2025-01-29 11:25:16,11:30:10.615,0
2025-01-29 11:25:16,11:30:11.982,0
2025-01-29 11:25:16,11:30:13.599,0
2025-01-29 11:25:16,11:30:15.515,0
2025-01-29 11:25:16,11:30:17.914,247
2025-01-29 11:25:16,11:30:22.164,250
2025-01-29 11:25:16,11:30:25.764,301
2025-01-29 11:25:16,11:30:27.897,0
2025-01-29 11:25:16,11:30:29.997,280
2025-01-29 11:25:16,11:30:33.380,307
2025-01-29 11:25:16,11:30:36.946,344
2025-01-29 11:25:16,11:30:40.513,0
2025-01-29 11:25:16,11:30:42.979,266
2025-01-29 11:25:16,11:30:47.312,398
2025-01-29 11:25:16,11:30:51.228,290
2025-01-29 11:25:16,11:30:54.761,284
2025-01-29 11:25:16,11:30:56.711,0
2025-01-29 11:25:16,11:31:01.227,289
2025-01-29 11:25:16,11:31:03.244,380
2025-01-29 11:25:16,11:31:06.394,691
2025-01-29 11:25:16,11:31:08.977,208
2025-01-29 11:25:16,11:31:10.943,296
2025-01-29 11:25:16,11:31:13.927,0
2025-01-29 11:25:16,11:31:16.327,0
2025-01-29 11:25:16,11:31:18.443,0
2025-01-29 11:25:16,11:31:20.292,249
2025-01-29 11:25:16,11:31:23.959,380
2025-01-29 11:25:16,11:31:26.975,353
2025-01-29 11:25:16,11:31:29.126,0
2025-01-29 11:25:16,11:31:30.459,0
2025-01-29 11:25:16,11:31:32.859,0
2025-01-29 11:25:16,11:31:35.042,0
2025-01-29 11:25:16,11:31:37.624,317
2025-01-29 11:25:16,11:31:40.291,377
2025-01-29 11:25:16,11:31:44.824,236
2025-01-29 11:25:16,11:31:48.390,12
2025-01-29 11:25:16,11:31:50.457,303
2025-01-29 11:25:16,11:31:52.807,0
2025-01-29 11:25:16,11:31:56.373,334
2025-01-29 11:25:16,11:32:00.722,260
2025-01-29 11:25:16,11:32:04.522,389
2025-01-29 11:25:16,11:32:08.072,262
2025-01-29 11:25:16,11:32:10.655,287
2025-01-29 11:25:16,11:32:12.921,278
2025-01-29 11:25:16,11:32:14.288,0
2025-01-29 11:25:16,11:32:18.137,327
2025-01-29 11:25:16,Sex,
2025-01-29 11:25:16,Test Duration in seconds,421
2025-01-29 11:25:16,Number of False Positives,54
2025-01-29 11:25:16,Average response time ,300
2025-01-29 11:25:16,Fastest response time ,4
2025-01-29 11:25:16,Slowest response time ,691
2025-01-29 11:25:16,Count of response time over 500ms ,2
