Task,TapTime,Milliseconds
2025-01-29 10:58:32,10:58:35.650,566
2025-01-29 10:58:32,10:58:38.450,310
2025-01-29 10:58:32,10:58:41.533,272
2025-01-29 10:58:32,10:58:44.966,287
2025-01-29 10:58:32,10:58:47.433,338
2025-01-29 10:58:32,10:58:51.582,318
2025-01-29 10:58:32,10:58:54.432,322
2025-01-29 10:58:32,10:58:59.065,284
2025-01-29 10:58:32,10:59:03.215,310
2025-01-29 10:58:32,10:59:06.098,317
2025-01-29 10:58:32,10:59:08.514,354
2025-01-29 10:58:32,10:59:12.297,289
2025-01-29 10:58:32,10:59:16.064,283
2025-01-29 10:58:32,10:59:18.847,306
2025-01-29 10:58:32,10:59:20.930,370
2025-01-29 10:58:32,10:59:25.346,275
2025-01-29 10:58:32,10:59:29.846,267
2025-01-29 10:58:32,10:59:32.812,283
2025-01-29 10:58:32,10:59:36.979,300
2025-01-29 10:58:32,10:59:39.245,339
2025-01-29 10:58:32,10:59:43.661,339
2025-01-29 10:58:32,10:59:46.578,299
2025-01-29 10:58:32,10:59:48.627,354
2025-01-29 10:58:32,10:59:50.911,632
2025-01-29 10:58:32,10:59:55.094,300
2025-01-29 10:58:32,10:59:59.543,309
2025-01-29 10:58:32,11:00:04.243,246
2025-01-29 10:58:32,11:00:07.759,292
2025-01-29 10:58:32,11:00:10.743,0
2025-01-29 10:58:32,11:00:13.909,321
2025-01-29 10:58:32,11:00:16.808,529
2025-01-29 10:58:32,11:00:19.058,278
2025-01-29 10:58:32,11:00:23.108,304
2025-01-29 10:58:32,11:00:27.058,277
2025-01-29 10:58:32,11:00:29.407,310
2025-01-29 10:58:32,11:00:33.407,309
2025-01-29 10:58:32,11:00:36.540,286
2025-01-29 10:58:32,11:00:41.090,309
2025-01-29 10:58:32,11:00:43.423,350
2025-01-29 10:58:32,11:00:46.539,260
2025-01-29 10:58:32,11:00:49.439,273
2025-01-29 10:58:32,11:00:51.572,318
2025-01-29 10:58:32,11:00:54.222,225
2025-01-29 10:58:32,11:00:57.238,260
2025-01-29 10:58:32,11:00:58.972,0
2025-01-29 10:58:32,11:01:01.021,343
2025-01-29 10:58:32,11:01:02.522,0
2025-01-29 10:58:32,11:01:07.004,373
2025-01-29 10:58:32,11:01:09.137,357
2025-01-29 10:58:32,11:01:11.670,274
2025-01-29 10:58:32,11:01:14.320,20
2025-01-29 10:58:32,11:01:18.736,326
2025-01-29 10:58:32,11:01:21.986,308
2025-01-29 10:58:32,11:01:24.586,286
2025-01-29 10:58:32,11:01:27.486,279
2025-01-29 10:58:32,11:01:29.785,276
2025-01-29 10:58:32,11:01:31.985,307
2025-01-29 10:58:32,11:01:34.852,342
2025-01-29 10:58:32,11:01:39.318,318
2025-01-29 10:58:32,11:01:40.985,0
2025-01-29 10:58:32,11:01:41.268,0
2025-01-29 10:58:32,11:01:46.051,270
