Task,TapTime,Milliseconds
2025-01-29 11:45:08,11:45:10.126,383
2025-01-29 11:45:08,11:45:13.925,305
2025-01-29 11:45:08,11:45:16.491,313
2025-01-29 11:45:08,11:45:18.408,287
2025-01-29 11:45:08,11:45:20.375,0
2025-01-29 11:45:08,11:45:22.525,0
2025-01-29 11:45:08,11:45:25.008,0
2025-01-29 11:45:08,11:45:27.441,0
2025-01-29 11:45:08,11:45:29.407,388
2025-01-29 11:45:08,11:45:32.657,357
2025-01-29 11:45:08,11:45:35.657,0
2025-01-29 11:45:08,11:45:39.173,330
2025-01-29 11:45:08,11:45:41.989,370
2025-01-29 11:45:08,11:45:44.523,0
2025-01-29 11:45:08,11:45:48.256,933
2025-01-29 11:45:08,11:45:52.788,339
2025-01-29 11:45:08,11:45:55.605,0
2025-01-29 11:45:08,11:45:55.854,0
2025-01-29 11:45:08,11:45:56.038,0
2025-01-29 11:45:08,11:45:56.722,0
2025-01-29 11:45:08,11:45:57.122,0
2025-01-29 11:45:08,11:45:59.172,0
2025-01-29 11:45:08,11:45:59.587,0
2025-01-29 11:45:08,11:46:00.405,0
2025-01-29 11:45:08,11:46:00.621,0
2025-01-29 11:45:08,11:46:01.155,0
2025-01-29 11:45:08,11:46:01.354,0
2025-01-29 11:45:08,11:46:02.271,0
2025-01-29 11:45:08,11:46:05.188,0
2025-01-29 11:45:08,11:46:05.387,0
2025-01-29 11:45:08,11:46:05.553,0
2025-01-29 11:45:08,11:46:09.054,647
2025-01-29 11:45:08,11:46:11.853,732
2025-01-29 11:45:08,11:46:13.137,0
2025-01-29 11:45:08,11:46:14.270,0
2025-01-29 11:45:08,11:46:17.570,435
2025-01-29 11:45:08,11:46:21.569,310
2025-01-29 11:45:08,11:46:24.403,0
2025-01-29 11:45:08,11:46:25.503,0
2025-01-29 11:45:08,11:46:26.352,0
2025-01-29 11:45:08,11:46:27.086,0
2025-01-29 11:45:08,11:46:28.503,0
2025-01-29 11:45:08,11:46:30.302,0
2025-01-29 11:45:08,11:46:32.618,293
2025-01-29 11:45:08,11:46:34.819,0
2025-01-29 11:45:08,11:46:37.035,334
2025-01-29 11:45:08,11:46:40.685,299
2025-01-29 11:45:08,11:46:43.601,0
2025-01-29 11:45:08,11:46:46.068,0
2025-01-29 11:45:08,11:46:48.917,0
2025-01-29 11:45:08,11:46:53.517,358
2025-01-29 11:45:08,11:46:55.650,536
2025-01-29 11:45:08,11:46:59.766,585
2025-01-29 11:45:08,11:47:04.099,479
2025-01-29 11:45:08,11:47:08.765,327
2025-01-29 11:45:08,11:47:12.581,338
2025-01-29 11:45:08,11:47:15.731,360
2025-01-29 11:45:08,11:47:18.764,326
2025-01-29 11:45:08,11:47:21.498,0
2025-01-29 11:45:08,11:47:23.780,342
2025-01-29 11:45:08,11:47:27.914,294
2025-01-29 11:45:08,11:47:32.896,322
2025-01-29 11:45:08,11:47:36.680,324
2025-01-29 11:45:08,11:47:38.663,417
2025-01-29 11:45:08,11:47:41.729,355
2025-01-29 11:45:08,11:47:46.062,363
2025-01-29 11:45:08,11:47:49.045,322
2025-01-29 11:45:08,11:47:52.178,269
2025-01-29 11:45:08,11:47:54.661,355
2025-01-29 11:45:08,11:47:57.944,275
2025-01-29 11:45:08,11:48:01.294,275
2025-01-29 11:45:08,11:48:04.094,293
2025-01-29 11:45:08,11:48:06.360,239
2025-01-29 11:45:08,11:48:09.144,0
2025-01-29 11:45:08,11:48:13.876,351
2025-01-29 11:45:08,11:48:16.943,349
2025-01-29 11:45:08,11:48:20.426,305
2025-01-29 11:45:08,11:48:23.959,297
2025-01-29 11:45:08,11:48:27.625,267
2025-01-29 11:45:08,11:48:29.875,0
2025-01-29 11:45:08,11:48:34.175,413
2025-01-29 11:45:08,11:48:37.091,311
2025-01-29 11:45:08,11:48:41.691,306
2025-01-29 11:45:08,11:48:46.407,286
2025-01-29 11:45:08,11:48:48.806,12
2025-01-29 11:45:08,11:48:51.873,279
2025-01-29 11:45:08,11:48:54.273,0
2025-01-29 11:45:08,11:48:57.073,249
2025-01-29 11:45:08,11:49:00.590,0
2025-01-29 11:45:08,11:49:03.272,128
2025-01-29 11:45:08,11:49:05.306,456
2025-01-29 11:45:08,11:49:08.905,335
2025-01-29 11:45:08,11:49:13.021,353
2025-01-29 11:45:08,11:49:17.404,283
2025-01-29 11:45:08,11:49:20.755,0
2025-01-29 11:45:08,11:49:22.654,0
2025-01-29 11:45:08,11:49:25.954,0
2025-01-29 11:45:08,11:49:30.353,334
2025-01-29 11:45:08,11:49:33.453,309
2025-01-29 11:45:08,11:49:36.153,368
2025-01-29 11:45:08,11:49:38.819,383
2025-01-29 11:45:08,11:49:41.619,0
2025-01-29 11:45:08,11:49:44.353,0
2025-01-29 11:45:08,11:49:46.885,867
2025-01-29 11:45:08,11:49:49.769,0
2025-01-29 11:45:08,11:49:51.551,201
2025-01-29 11:45:08,11:49:51.751,0
2025-01-29 11:45:08,11:49:56.351,332
2025-01-29 11:45:08,11:50:00.784,340
2025-01-29 11:45:08,11:50:05.033,318
2025-01-29 11:45:08,11:50:07.050,435
2025-01-29 11:45:08,11:50:11.283,498
2025-01-29 11:45:08,11:50:13.967,0
2025-01-29 11:45:08,11:50:17.332,255
2025-01-29 11:45:08,11:50:20.415,295
2025-01-29 11:45:08,11:50:24.632,262
2025-01-29 11:45:08,11:50:28.265,323
2025-01-29 11:45:08,11:50:30.965,355
2025-01-29 11:45:08,11:50:35.881,345
2025-01-29 11:45:08,11:50:38.447,433
2025-01-29 11:45:08,11:50:42.314,0
2025-01-29 11:45:08,11:50:44.463,265
2025-01-29 11:45:08,11:50:47.596,383
2025-01-29 11:45:08,11:50:51.896,277
2025-01-29 11:45:08,11:50:55.562,307
2025-01-29 11:45:08,11:50:58.729,229
2025-01-29 11:45:08,11:51:02.295,277
2025-01-29 11:45:08,11:51:04.896,0
2025-01-29 11:45:08,11:51:08.045,282
2025-01-29 11:45:08,11:51:11.195,410
2025-01-29 11:45:08,11:51:14.061,362
2025-01-29 11:45:08,11:51:16.695,0
2025-01-29 11:45:08,11:51:19.310,292
2025-01-29 11:45:08,11:51:22.243,272
2025-01-29 11:45:08,11:51:25.010,295
2025-01-29 11:45:08,11:51:27.644,0
2025-01-29 11:45:08,11:51:29.843,0
2025-01-29 11:45:08,11:51:31.977,0
2025-01-29 11:45:08,11:51:34.742,310
2025-01-29 11:45:08,11:51:38.909,384
2025-01-29 11:45:08,11:51:42.442,322
2025-01-29 11:45:08,11:51:46.041,314
2025-01-29 11:45:08,11:51:49.374,356
2025-01-29 11:45:08,11:51:53.141,317
2025-01-29 11:45:08,11:51:55.407,389
2025-01-29 11:45:08,11:51:58.574,295
2025-01-29 11:45:08,11:52:02.673,350
2025-01-29 11:45:08,11:52:05.140,425
2025-01-29 11:45:08,11:52:09.423,303
2025-01-29 11:45:08,Sex,
2025-01-29 11:45:08,Test Duration in seconds,420
2025-01-29 11:45:08,Number of False Positives,52
2025-01-29 11:45:08,Average response time ,349
2025-01-29 11:45:08,Fastest response time ,12
2025-01-29 11:45:08,Slowest response time ,933
2025-01-29 11:45:08,Count of response time over 500ms ,6
